,ZBH
2018-06-29,103.09258270263672
2018-07-02,103.444091796875
2018-07-03,103.54586791992188
2018-07-05,104.40621185302734
2018-07-06,105.4607925415039
2018-07-09,106.07138061523438
2018-07-10,106.2009048461914
2018-07-11,105.60883331298828
2018-07-12,105.49781036376953
2018-07-13,106.28414916992188
2018-07-16,104.19345092773438
2018-07-17,105.23880004882812
2018-07-18,103.962158203125
2018-07-19,103.8326416015625
2018-07-20,103.29608917236328
2018-07-23,104.4432144165039
2018-07-24,106.0251235961914
2018-07-25,108.36561584472656
2018-07-26,108.33784484863281
2018-07-27,116.74696350097656
2018-07-30,117.03375244140625
2018-07-31,116.11791229248047
2018-08-01,116.025390625
2018-08-02,115.08179473876953
2018-08-03,116.47871398925781
2018-08-06,116.58042907714844
2018-08-07,116.0439224243164
2018-08-08,114.69325256347656
2018-08-09,114.47124481201172
2018-08-10,113.38887786865234
2018-08-13,113.27786254882812
2018-08-14,113.2131118774414
2018-08-15,113.51838684082031
2018-08-16,113.56463623046875
2018-08-17,114.58226776123047
2018-08-20,115.33158874511719
2018-08-21,114.96153259277344
2018-08-22,115.48883819580078
2018-08-23,115.15581512451172
2018-08-24,116.00691223144531
2018-08-27,115.91437530517578
2018-08-28,116.54344177246094
2018-08-29,117.03375244140625
2018-08-30,114.4990005493164
2018-08-31,114.3694839477539
2018-09-04,112.83382415771484
2018-09-05,113.34263610839844
2018-09-06,114.30473327636719
2018-09-07,114.50824737548828
2018-09-10,113.96244812011719
2018-09-11,114.03644561767578
2018-09-12,116.73771667480469
2018-09-13,119.94779205322266
2018-09-14,120.32709503173828
2018-09-17,119.84603118896484
2018-09-18,120.67862701416016
2018-09-19,120.11431884765625
2018-09-20,120.92840576171875
2018-09-21,121.58522033691406
2018-09-24,121.4094467163086
2018-09-25,120.73413848876953
2018-09-26,120.29009246826172
2018-09-27,120.2159423828125
2018-09-28,121.84712219238281
2018-10-01,121.00372314453125
2018-10-02,120.41984558105469
2018-10-03,119.94715881347656
2018-10-04,119.53009796142578
2018-10-05,119.17792510986328
2018-10-08,118.04718780517578
2018-10-09,117.6208724975586
2018-10-10,114.55315399169922
2018-10-11,112.28250122070312
2018-10-12,114.27513122558594
2018-10-15,114.46048736572266
2018-10-16,118.33453369140625
2018-10-17,118.92768859863281
2018-10-18,117.07406616210938
2018-10-19,115.29459381103516
2018-10-22,115.03509521484375
2018-10-23,114.9887466430664
2018-10-24,112.23614501953125
2018-10-25,113.20929718017578
2018-10-26,106.70310974121094
2018-10-29,106.85138702392578
2018-10-30,106.19338989257812
2018-10-31,105.27582550048828
2018-11-01,108.17674255371094
2018-11-02,106.71239471435547
2018-11-05,106.6104507446289
2018-11-06,106.61968994140625
2018-11-07,109.5113296508789
2018-11-08,110.49376678466797
2018-11-09,109.01087951660156
2018-11-12,106.06360626220703
2018-11-13,104.64559936523438
2018-11-14,104.1080551147461
2018-11-15,106.22117614746094
2018-11-16,108.48258972167969
2018-11-19,105.19244384765625
2018-11-20,104.1729507446289
2018-11-21,104.44171142578125
2018-11-23,104.45097351074219
2018-11-26,104.96070861816406
2018-11-27,104.84024047851562
2018-11-28,106.30458068847656
2018-11-29,106.54554748535156
2018-11-30,108.45477294921875
2018-12-03,107.91724395751953
2018-12-04,103.79293823242188
2018-12-06,104.64559936523438
2018-12-07,101.87445068359375
2018-12-10,102.96807861328125
2018-12-11,103.81147766113281
2018-12-12,104.68269348144531
2018-12-13,104.1358642578125
2018-12-14,101.01253509521484
2018-12-17,99.3998794555664
2018-12-18,98.03746032714844
2018-12-19,96.90677642822266
2018-12-20,94.32099151611328
2018-12-21,92.10594177246094
2018-12-24,90.11328887939453
2018-12-26,94.55269622802734
2018-12-27,94.48766326904297
2018-12-28,95.36092376708984
2018-12-31,96.35492706298828
2019-01-02,95.01719665527344
2019-01-03,93.29855346679688
2019-01-04,96.48499298095703
2019-01-07,96.52217102050781
2019-01-08,94.35759735107422
2019-01-09,95.12866973876953
2019-01-10,96.35492706298828
2019-01-11,96.87517547607422
2019-01-14,95.39807891845703
2019-01-15,96.77298736572266
2019-01-16,97.54405212402344
2019-01-17,98.67739868164062
2019-01-18,97.85989379882812
2019-01-22,96.5407485961914
2019-01-23,97.33967590332031
2019-01-24,97.76701354980469
2019-01-25,99.78292846679688
2019-01-28,98.32439422607422
2019-01-29,98.15717315673828
2019-01-30,100.75836181640625
2019-01-31,101.78026580810547
2019-02-01,108.32035064697266
2019-02-04,109.69525909423828
2019-02-05,109.91820526123047
2019-02-06,109.78813934326172
2019-02-07,109.89031219482422
2019-02-08,112.01773071289062
2019-02-11,113.55057525634766
2019-02-12,115.14844512939453
2019-02-13,114.78611755371094
2019-02-14,113.79212951660156
2019-02-15,114.8697280883789
2019-02-19,114.78611755371094
2019-02-20,115.17628479003906
2019-02-21,114.7117919921875
2019-02-22,115.6036376953125
2019-02-25,115.10196685791016
2019-02-26,114.60030364990234
2019-02-27,115.65009307861328
2019-02-28,115.30635070800781
2019-03-01,116.50476837158203
2019-03-04,115.59435272216797
2019-03-05,115.29707336425781
2019-03-06,114.48884582519531
2019-03-07,112.77021789550781
2019-03-08,112.97457885742188
2019-03-11,112.7887954711914
2019-03-12,113.96859741210938
2019-03-13,114.38664245605469
2019-03-14,114.21015167236328
2019-03-15,116.97853088378906
2019-03-18,116.42115020751953
2019-03-19,116.79270935058594
2019-03-20,118.38131713867188
2019-03-21,120.36006927490234
2019-03-22,117.68453979492188
2019-03-25,117.6009750366211
2019-03-26,117.90753173828125
2019-03-27,117.87965393066406
2019-03-28,118.1681900024414
2019-03-29,118.85694885253906
2019-04-01,118.91279602050781
2019-04-02,118.67081451416016
2019-04-03,117.72142028808594
2019-04-04,117.7958984375
2019-04-05,118.40087890625
2019-04-08,119.8435287475586
2019-04-09,119.75045776367188
2019-04-10,119.91799926757812
2019-04-11,119.63877868652344
2019-04-12,119.06172180175781
2019-04-15,119.04308319091797
2019-04-16,116.82791137695312
2019-04-17,111.40162658691406
2019-04-18,111.69017028808594
2019-04-22,112.80707550048828
2019-04-23,114.259033203125
2019-04-24,115.83199310302734
2019-04-25,116.08330535888672
2019-04-26,115.28286743164062
2019-04-29,112.46267700195312
2019-04-30,114.63131713867188
2019-05-01,112.82566833496094
2019-05-02,114.67787170410156
2019-05-03,115.70170593261719
2019-05-06,116.85581970214844
2019-05-07,114.84539031982422
2019-05-08,114.07289123535156
2019-05-09,113.46788024902344
2019-05-10,113.52374267578125
2019-05-13,110.44293212890625
2019-05-14,110.52672576904297
2019-05-15,110.34056091308594
2019-05-16,109.90312957763672
2019-05-17,108.35810089111328
2019-05-20,107.89268493652344
2019-05-21,108.06952667236328
2019-05-22,107.176025390625
2019-05-23,106.06842803955078
2019-05-24,106.58964538574219
2019-05-28,104.37445068359375
2019-05-29,104.44891357421875
2019-05-30,105.072509765625
2019-05-31,106.04051208496094
2019-06-03,106.38488006591797
2019-06-04,109.27951049804688
2019-06-05,110.33125305175781
2019-06-06,111.97868347167969
2019-06-07,112.36959838867188
2019-06-10,113.28173828125
2019-06-11,112.13692474365234
2019-06-12,112.33236694335938
2019-06-13,111.49470520019531
2019-06-14,109.3167495727539
2019-06-17,109.57734680175781
2019-06-18,109.94035339355469
2019-06-19,111.10376739501953
2019-06-20,111.42024230957031
2019-06-21,110.09854888916016
2019-06-24,109.288818359375
2019-06-25,108.6186752319336
