,SRE
2017-03-30,43.1056022644043
2017-03-31,43.211181640625
2017-04-03,42.96091842651367
2017-04-04,43.164268493652344
2017-04-05,42.79668045043945
2017-04-06,42.91790771484375
2017-04-07,42.89052963256836
2017-04-10,43.26984786987305
2017-04-11,43.203365325927734
2017-04-12,43.58659744262695
2017-04-13,43.602237701416016
2017-04-17,43.89944076538086
2017-04-18,43.993289947509766
2017-04-19,43.602237701416016
2017-04-20,43.91117477416992
2017-04-21,44.0011100769043
2017-04-24,44.3061408996582
2017-04-25,44.427364349365234
2017-04-26,44.184906005859375
2017-04-27,44.34914779663086
2017-04-28,44.1966438293457
2017-05-01,43.715641021728516
2017-05-02,43.852500915527344
2017-05-03,43.57094192504883
2017-05-04,43.55140686035156
2017-05-05,43.856414794921875
2017-05-08,43.77431106567383
2017-05-09,43.613975524902344
2017-05-10,43.66089630126953
2017-05-11,43.55140686035156
2017-05-12,43.64525604248047
2017-05-15,43.78212356567383
2017-05-16,43.258113861083984
2017-05-17,43.234642028808594
2017-05-18,43.312862396240234
2017-05-19,43.602237701416016
2017-05-22,44.13798141479492
2017-05-23,44.29439926147461
2017-05-24,44.486019134521484
2017-05-25,44.79494094848633
2017-05-26,44.767574310302734
2017-05-30,45.22901153564453
2017-05-31,45.5535888671875
2017-06-01,45.807762145996094
2017-06-02,45.94853591918945
2017-06-05,45.921173095703125
2017-06-06,45.7803955078125
2017-06-07,45.93290328979492
2017-06-08,45.17817306518555
2017-06-09,44.970909118652344
2017-06-12,44.85751724243164
2017-06-13,44.755836486816406
2017-06-14,44.740203857421875
2017-06-15,44.963104248046875
2017-06-16,45.51447677612305
2017-06-19,45.35415267944336
2017-06-20,45.17426681518555
2017-06-21,44.53294372558594
2017-06-22,44.333492279052734
2017-06-23,44.1145133972168
2017-06-26,44.59550094604492
2017-06-27,44.470375061035156
2017-06-28,44.25920104980469
2017-06-29,44.184906005859375
2017-06-30,44.091060638427734
2017-07-03,43.868141174316406
2017-07-05,43.78266906738281
2017-07-06,43.69599914550781
2017-07-07,43.5423698425293
2017-07-10,43.636905670166016
2017-07-11,43.676307678222656
2017-07-12,43.92448425292969
2017-07-13,43.96781921386719
2017-07-14,44.1805534362793
2017-07-17,44.133270263671875
2017-07-18,44.20024871826172
2017-07-19,44.491764068603516
2017-07-20,44.932979583740234
2017-07-21,45.27571105957031
2017-07-24,44.6453971862793
2017-07-25,44.42085647583008
2017-07-26,44.6453971862793
2017-07-27,44.54692077636719
2017-07-28,44.53116226196289
2017-07-31,44.51934814453125
2017-08-01,45.10236740112305
2017-08-02,45.31904602050781
2017-08-03,45.70903778076172
2017-08-04,46.166011810302734
2017-08-07,46.13844680786133
2017-08-08,46.28419876098633
2017-08-09,45.98480987548828
2017-08-10,45.720855712890625
2017-08-11,45.5435905456543
2017-08-14,45.86662292480469
2017-08-15,46.01238250732422
2017-08-16,46.07540512084961
2017-08-17,45.614505767822266
2017-08-18,45.91389465332031
2017-08-21,46.64268493652344
2017-08-22,46.595420837402344
2017-08-23,46.73328399658203
2017-08-24,46.90663146972656
2017-08-25,46.8908805847168
2017-08-28,46.961769104003906
2017-08-29,46.79237365722656
2017-08-30,46.386619567871094
2017-08-31,46.45753860473633
2017-09-01,46.46147155761719
2017-09-05,46.343292236328125
2017-09-06,46.169960021972656
2017-09-07,46.86724090576172
2017-09-08,46.94207763671875
2017-09-11,47.296627044677734
2017-09-12,46.619049072265625
2017-09-13,46.532379150390625
2017-09-14,46.914512634277344
2017-09-15,46.993289947509766
2017-09-18,46.35117721557617
2017-09-19,46.31966018676758
2017-09-20,45.92572021484375
2017-09-21,45.986412048339844
2017-09-22,45.99831008911133
2017-09-25,46.37125778198242
2017-09-26,46.12528610229492
2017-09-27,45.427001953125
2017-09-28,45.458740234375
2017-09-29,45.28020095825195
2017-10-02,45.220699310302734
2017-10-03,45.177059173583984
2017-10-04,45.45079803466797
2017-10-05,44.443084716796875
2017-10-06,44.415306091308594
2017-10-09,44.685096740722656
2017-10-10,45.15324783325195
2017-10-11,45.6015739440918
2017-10-12,46.006248474121094
2017-10-13,45.57379913330078
2017-10-16,45.411128997802734
2017-10-17,45.24451446533203
2017-10-18,44.85172653198242
2017-10-19,45.264339447021484
2017-10-20,45.28020095825195
2017-10-23,45.39924621582031
2017-10-24,45.60950469970703
2017-10-25,45.35162353515625
2017-10-26,45.66901779174805
2017-10-27,45.879295349121094
2017-10-30,46.59739303588867
2017-10-31,46.61722946166992
2017-11-01,46.272064208984375
2017-11-02,46.74021911621094
2017-11-03,47.204410552978516
2017-11-06,47.1607666015625
2017-11-07,47.81539535522461
2017-11-08,48.01773452758789
2017-11-09,48.15658950805664
2017-11-10,48.05739974975586
2017-11-13,48.38669967651367
2017-11-14,48.49382400512695
2017-11-15,47.77174758911133
2017-11-16,47.55354309082031
2017-11-17,47.414676666259766
2017-11-20,47.13299560546875
2017-11-21,47.140933990478516
2017-11-22,47.077449798583984
2017-11-24,47.093326568603516
2017-11-27,47.38295364379883
2017-11-28,47.44245910644531
2017-11-29,47.71224594116211
2017-11-30,48.001861572265625
2017-12-01,47.79951858520508
2017-12-04,47.8034782409668
2017-12-05,46.109405517578125
2017-12-06,46.145111083984375
2017-12-07,46.19271469116211
2017-12-08,46.295867919921875
2017-12-11,46.8275032043457
2017-12-12,45.50239181518555
2017-12-13,45.72059631347656
2017-12-14,45.93483352661133
2017-12-15,46.23239517211914
2017-12-18,45.65315628051758
2017-12-19,44.510528564453125
2017-12-20,44.40737533569336
2017-12-21,42.41572952270508
2017-12-22,42.971160888671875
2017-12-26,42.82437515258789
2017-12-27,42.780731201171875
2017-12-28,42.80991744995117
2017-12-29,42.74595260620117
2018-01-02,42.1182746887207
2018-01-03,43.233707427978516
2018-01-04,42.94585037231445
2018-01-05,43.357635498046875
2018-01-08,43.36962127685547
2018-01-09,43.02580261230469
2018-01-10,42.85388946533203
2018-01-11,42.65799331665039
2018-01-12,42.73394775390625
2018-01-16,42.80191421508789
2018-01-17,42.61402130126953
2018-01-18,42.38613510131836
2018-01-19,42.3741455078125
2018-01-22,41.99833297729492
2018-01-23,42.46609878540039
2018-01-24,42.25019836425781
2018-01-25,42.53805160522461
2018-01-26,42.19023132324219
2018-01-29,41.75846481323242
2018-01-30,42.310184478759766
2018-01-31,42.78593826293945
2018-02-01,42.59003829956055
2018-02-02,42.21023178100586
2018-02-05,41.678497314453125
2018-02-06,41.33867263793945
2018-02-07,41.614540100097656
2018-02-08,41.322689056396484
2018-02-09,42.42212677001953
2018-02-12,42.62601089477539
2018-02-13,42.701969146728516
2018-02-14,42.16624069213867
2018-02-15,43.169734954833984
2018-02-16,43.58152389526367
2018-02-20,42.99382781982422
2018-02-21,42.15026092529297
2018-02-22,42.63401412963867
2018-02-23,43.80540466308594
2018-02-26,43.781402587890625
2018-02-27,43.99330520629883
2018-02-28,43.56952667236328
2018-03-01,43.03380584716797
2018-03-02,42.81391525268555
2018-03-05,44.25316619873047
2018-03-06,43.7214469909668
2018-03-07,43.401607513427734
2018-03-08,43.893348693847656
2018-03-09,43.609500885009766
2018-03-12,43.87736892700195
2018-03-13,44.25715255737305
2018-03-14,45.120723724365234
2018-03-15,44.856868743896484
2018-03-16,45.1846923828125
2018-03-19,44.94880676269531
2018-03-20,44.217193603515625
2018-03-21,44.141239166259766
2018-03-22,44.54228973388672
2018-03-23,43.92155838012695
2018-03-26,44.32864761352539
2018-03-27,44.81232833862305
2018-03-28,44.469722747802734
2018-03-29,44.828453063964844
2018-04-02,44.38910675048828
2018-04-03,44.08681869506836
2018-04-04,44.4737548828125
2018-04-05,44.95339584350586
2018-04-06,44.79217529296875
2018-04-09,45.05415725708008
2018-04-10,45.013858795166016
2018-04-11,44.73575210571289
2018-04-12,44.445533752441406
2018-04-13,44.58661651611328
2018-04-16,45.05819320678711
2018-04-17,45.38467788696289
2018-04-18,44.98161697387695
2018-04-19,44.485836029052734
2018-04-20,44.26013946533203
2018-04-23,44.05457305908203
2018-04-24,44.29237365722656
2018-04-25,44.0586051940918
2018-04-26,44.489871978759766
2018-04-27,44.99370574951172
2018-04-30,45.06222915649414
2018-05-01,45.00580596923828
2018-05-02,44.804283142089844
2018-05-03,44.905033111572266
2018-05-04,45.06222915649414
2018-05-07,44.61079788208008
2018-05-08,42.901817321777344
2018-05-09,42.37784194946289
2018-05-10,42.88167953491211
2018-05-11,43.15977478027344
2018-05-14,42.930030822753906
2018-05-15,42.418148040771484
2018-05-16,41.65233612060547
2018-05-17,41.184776306152344
2018-05-18,41.10014343261719
2018-05-21,41.37018966674805
2018-05-22,41.6885986328125
2018-05-23,42.264984130859375
2018-05-24,42.40605545043945
2018-05-25,42.39799118041992
2018-05-29,42.639835357666016
2018-05-30,42.82120132446289
2018-05-31,42.93809509277344
2018-06-01,42.039268493652344
2018-06-04,41.67650604248047
2018-06-05,41.43870544433594
2018-06-06,40.59228515625
2018-06-07,40.61243438720703
2018-06-08,40.882476806640625
2018-06-11,47.234718322753906
2018-06-12,47.21054458618164
2018-06-13,45.95299530029297
2018-06-14,45.67486572265625
2018-06-15,45.10657501220703
2018-06-18,45.41287612915039
2018-06-19,45.65472412109375
2018-06-20,45.36854934692383
2018-06-21,45.582176208496094
2018-06-22,46.40843963623047
2018-06-25,47.000946044921875
2018-06-26,46.646270751953125
2018-06-27,46.72686767578125
2018-06-28,46.396366119384766
2018-06-29,47.16614532470703
2018-07-02,46.93460464477539
2018-07-03,47.17020797729492
2018-07-05,47.6495475769043
2018-07-06,47.84452438354492
