,EOG
2021-10-08,75.80557250976562
2021-10-11,75.49571990966797
2021-10-12,75.46224975585938
2021-10-13,75.70506286621094
2021-10-14,76.18707275390625
2021-10-15,75.38795471191406
2021-10-18,75.1271743774414
2021-10-19,75.84220123291016
2021-10-20,78.31529998779297
2021-10-21,76.46466827392578
2021-10-22,77.39000701904297
2021-10-25,79.10603332519531
2021-10-26,79.91357421875
2021-10-27,78.26483917236328
2021-10-28,78.91255187988281
2021-10-29,77.77693176269531
2021-11-01,78.61812591552734
2021-11-02,78.07975769042969
2021-11-03,76.5067367553711
2021-11-04,76.46466827392578
2021-11-05,80.01451110839844
2021-11-08,81.5875473022461
2021-11-09,81.68848419189453
2021-11-10,79.31632232666016
2021-11-11,79.8462905883789
2021-11-12,79.77898406982422
2021-11-15,78.39942932128906
2021-11-16,77.30586242675781
2021-11-17,75.77489471435547
2021-11-18,75.38795471191406
2021-11-19,72.07362365722656
2021-11-22,72.94007873535156
2021-11-23,77.18810272216797
2021-11-24,78.27323913574219
2021-11-26,73.53732299804688
2021-11-29,74.35325622558594
2021-11-30,73.18402099609375
2021-12-01,71.79603576660156
2021-12-02,72.81388854980469
2021-12-03,72.33439636230469
2021-12-06,73.66349029541016
2021-12-07,76.17868041992188
2021-12-08,75.77489471435547
2021-12-09,74.76545715332031
2021-12-10,75.43841552734375
2021-12-13,74.05043029785156
2021-12-14,73.4220962524414
2021-12-15,73.00032043457031
2021-12-16,74.18817901611328
2021-12-17,72.30310821533203
2021-12-20,71.94160461425781
2021-12-21,74.32587432861328
2021-12-22,75.0747299194336
2021-12-23,75.04029846191406
2021-12-27,78.1390151977539
2021-12-28,77.65699768066406
2021-12-29,77.33850860595703
2021-12-30,76.76180267333984
2021-12-31,76.46055603027344
2022-01-03,78.46611022949219
2022-01-04,82.07263946533203
2022-01-05,80.56632995605469
2022-01-06,82.21896362304688
2022-01-07,84.4913558959961
2022-01-10,84.40528106689453
2022-01-11,87.96882629394531
2022-01-12,88.45941925048828
2022-01-13,88.44208526611328
2022-01-14,91.58956909179688
2022-01-18,91.62425231933594
2022-01-19,91.15603637695312
2022-01-20,89.7426986694336
2022-01-21,87.25418090820312
2022-01-24,88.71088409423828
2022-01-25,92.72545623779297
2022-01-26,93.23702239990234
2022-01-27,95.16193389892578
2022-01-28,95.11859130859375
2022-01-31,96.66199493408203
2022-02-01,98.13604736328125
2022-02-02,97.91058349609375
2022-02-03,96.92211151123047
2022-02-04,98.58692169189453
2022-02-07,99.44532775878906
2022-02-08,96.70533752441406
2022-02-09,98.24873352050781
2022-02-10,97.68514251708984
2022-02-11,101.23149108886719
2022-02-14,98.33545684814453
2022-02-15,96.1590805053711
2022-02-16,96.91344451904297
2022-02-17,97.63313293457031
2022-02-18,96.78337860107422
2022-02-22,94.97117614746094
2022-02-23,95.66485595703125
2022-02-24,95.4654312133789
2022-02-25,93.02027130126953
2022-02-28,99.64472961425781
2022-03-01,100.93669891357422
2022-03-02,101.22283172607422
2022-03-03,100.8326644897461
2022-03-04,102.96564483642578
2022-03-07,104.17957305908203
2022-03-08,102.15059661865234
2022-03-09,98.64759826660156
2022-03-10,103.94546508789062
2022-03-11,101.1707992553711
2022-03-14,101.31072235107422
2022-03-15,99.54409790039062
2022-03-16,98.82694244384766
2022-03-17,103.08611297607422
2022-03-18,101.2757568359375
2022-03-21,107.10042572021484
2022-03-22,105.67487335205078
2022-03-23,108.05370330810547
2022-03-24,105.8322982788086
2022-03-25,108.89330291748047
2022-03-28,105.70109558105469
2022-03-29,105.49994659423828
2022-03-30,105.90225219726562
2022-03-31,104.27555847167969
2022-04-01,105.2375717163086
2022-04-04,105.67487335205078
2022-04-05,103.0511474609375
2022-04-06,103.5933837890625
2022-04-07,105.49119567871094
2022-04-08,110.9660415649414
2022-04-11,106.12088012695312
2022-04-12,108.94576263427734
2022-04-13,108.71699523925781
2022-04-14,108.17149353027344
2022-04-18,108.50584411621094
2022-04-19,107.13323974609375
2022-04-20,107.9515151977539
2022-04-21,105.13592529296875
2022-04-22,102.17076110839844
2022-04-25,98.34331512451172
2022-04-26,98.1849365234375
2022-04-27,99.25838470458984
2022-04-28,103.62254333496094
2022-04-29,102.73387145996094
2022-05-02,102.33794403076172
2022-05-03,106.25337982177734
2022-05-04,109.78165435791016
2022-05-05,108.59381103515625
2022-05-06,116.33670806884766
2022-05-09,103.7721176147461
2022-05-10,105.197509765625
2022-05-11,106.71968841552734
2022-05-12,106.03340148925781
2022-05-13,109.35052490234375
2022-05-16,111.18064880371094
2022-05-17,112.1133041381836
2022-05-18,107.85472869873047
2022-05-19,107.08043670654297
2022-05-20,107.3884048461914
2022-05-23,112.68521881103516
2022-05-24,113.72348022460938
2022-05-25,117.0845947265625
2022-05-26,117.65652465820312
2022-05-27,120.41051483154297
2022-05-31,120.5073013305664
2022-06-01,123.12049865722656
2022-06-02,122.68934631347656
2022-06-03,125.36418914794922
2022-06-06,124.15875244140625
2022-06-07,128.39974975585938
2022-06-08,128.23257446289062
2022-06-09,125.37299346923828
2022-06-10,126.70162200927734
2022-06-13,116.78543090820312
2022-06-14,117.07978820800781
2022-06-15,113.69032287597656
2022-06-16,106.64374542236328
2022-06-17,99.60611724853516
2022-06-21,104.9400863647461
2022-06-22,98.80333709716797
2022-06-23,95.5922622680664
2022-06-24,98.6427993774414
2022-06-27,101.4703369140625
2022-06-28,105.52879333496094
2022-06-29,100.9886703491211
2022-06-30,98.5090103149414
2022-07-01,99.5615234375
2022-07-05,93.49614715576172
2022-07-06,90.008544921875
2022-07-07,93.7191390991211
2022-07-08,94.12051391601562
2022-07-11,92.49711608886719
2022-07-12,88.741943359375
2022-07-13,88.65274047851562
2022-07-14,85.48912048339844
2022-07-15,87.43043518066406
2022-07-18,89.45262145996094
2022-07-19,93.12853240966797
2022-07-20,94.88107299804688
2022-07-21,93.07459259033203
2022-07-22,90.77378845214844
2022-07-25,94.8001937866211
2022-07-26,93.24535369873047
2022-07-27,97.2358169555664
2022-07-28,96.51680755615234
2022-07-29,99.95902252197266
2022-08-01,96.68756103515625
2022-08-02,96.33706665039062
2022-08-03,93.11953735351562
2022-08-04,89.71327209472656
2022-08-05,96.17527770996094
2022-08-08,96.33706665039062
2022-08-09,97.28076171875
2022-08-10,97.95481872558594
2022-08-11,102.04412841796875
2022-08-12,102.89793395996094
2022-08-15,100.91171264648438
2022-08-16,101.02853393554688
2022-08-17,102.1789321899414
2022-08-18,106.94231414794922
2022-08-19,106.72663116455078
2022-08-22,106.8614273071289
2022-08-23,109.44983673095703
2022-08-24,111.35519409179688
2022-08-25,112.54154205322266
2022-08-26,111.95733642578125
2022-08-29,113.75484466552734
2022-08-30,109.521728515625
2022-08-31,109.01842498779297
2022-09-01,106.690673828125
2022-09-02,109.21615600585938
2022-09-06,108.12866973876953
2022-09-07,105.3155746459961
2022-09-08,106.33116912841797
2022-09-09,110.86985778808594
2022-09-12,113.61105346679688
2022-09-13,110.46541595458984
2022-09-14,115.30584716796875
2022-09-15,111.51175689697266
2022-09-16,110.50181579589844
2022-09-19,109.57376861572266
2022-09-20,108.84587860107422
2022-09-21,107.58119201660156
2022-09-22,107.6812744140625
2022-09-23,99.28331756591797
2022-09-26,95.69849395751953
2022-09-27,95.94413757324219
2022-09-28,101.65803527832031
2022-09-29,102.78623962402344
2022-09-30,101.65803527832031
2022-10-03,109.11885070800781
