,TSN
2020-09-11,56.32889175415039
2020-09-14,57.73445129394531
2020-09-15,57.681419372558594
2020-09-16,57.646053314208984
2020-09-17,56.35540008544922
2020-09-18,54.83491516113281
2020-09-21,52.90777587890625
2020-09-22,52.50113296508789
2020-09-23,50.467918395996094
2020-09-24,50.299957275390625
2020-09-25,52.31549835205078
2020-09-28,52.828224182128906
2020-09-29,52.12100601196289
2020-09-30,52.5806999206543
2020-10-01,52.350852966308594
2020-10-02,52.430419921875
2020-10-05,52.1563720703125
2020-10-06,51.81161117553711
2020-10-07,51.95304870605469
2020-10-08,52.14753723144531
2020-10-09,51.25468444824219
2020-10-12,52.129859924316406
2020-10-13,52.12100601196289
2020-10-14,52.40390396118164
2020-10-15,53.473541259765625
2020-10-16,52.78401184082031
2020-10-19,51.546409606933594
2020-10-20,51.14860916137695
2020-10-21,52.3066520690918
2020-10-22,52.54533386230469
2020-10-23,53.08458709716797
2020-10-26,50.795005798339844
2020-10-27,50.98065185546875
2020-10-28,50.17620849609375
2020-10-29,50.600521087646484
2020-10-30,50.59168243408203
2020-11-02,50.945281982421875
2020-11-03,49.93751907348633
2020-11-04,49.981719970703125
2020-11-05,51.01600646972656
2020-11-06,50.68008041381836
2020-11-09,53.34978103637695
2020-11-10,53.447017669677734
2020-11-11,54.021629333496094
2020-11-12,53.77411651611328
2020-11-13,55.1177864074707
2020-11-16,57.230567932128906
2020-11-17,56.381919860839844
2020-11-18,56.09020233154297
2020-11-19,55.10895919799805
2020-11-20,53.69455337524414
2020-11-23,55.807315826416016
2020-11-24,57.283607482910156
2020-11-25,57.45156478881836
2020-11-27,57.460411071777344
2020-11-30,58.03451919555664
2020-12-01,59.42308807373047
2020-12-02,58.835609436035156
2020-12-03,61.532615661621094
2020-12-04,62.395999908447266
2020-12-07,61.14985656738281
2020-12-08,60.891754150390625
2020-12-09,61.559329986572266
2020-12-10,61.781864166259766
2020-12-11,61.67504119873047
2020-12-14,62.11119079589844
2020-12-15,60.74933624267578
2020-12-16,58.070133209228516
2020-12-17,57.85651397705078
2020-12-18,57.81200408935547
2020-12-21,56.8328857421875
2020-12-22,55.61345672607422
2020-12-23,57.455963134765625
2020-12-24,57.669586181640625
2020-12-28,57.30464172363281
2020-12-29,56.52135467529297
2020-12-30,56.60146713256836
2020-12-31,57.35805130004883
2021-01-04,56.52135467529297
2021-01-05,56.47685241699219
2021-01-06,58.176944732666016
2021-01-07,57.509361267089844
2021-01-08,56.99311065673828
2021-01-11,57.65178298950195
2021-01-12,56.97530746459961
2021-01-13,57.046512603759766
2021-01-14,57.64289093017578
2021-01-15,57.63397979736328
2021-01-19,56.87739181518555
2021-01-20,58.969120025634766
2021-01-21,58.6575927734375
2021-01-22,59.20945358276367
2021-01-25,59.28065872192383
2021-01-26,59.25395202636719
2021-01-27,57.660675048828125
2021-01-28,57.820892333984375
2021-01-29,57.24233627319336
2021-02-01,57.13552474975586
2021-02-02,57.1622314453125
2021-02-03,58.27485275268555
2021-02-04,58.94242858886719
2021-02-05,58.90681838989258
2021-02-08,60.4822998046875
2021-02-09,61.86195755004883
2021-02-10,61.66613006591797
2021-02-11,58.15913772583008
2021-02-12,58.35496520996094
2021-02-16,58.452877044677734
2021-02-17,59.83253860473633
2021-02-18,60.19747543334961
2021-02-19,60.099552154541016
2021-02-22,60.847251892089844
2021-02-23,60.69594192504883
2021-02-24,61.30118942260742
2021-02-25,60.802734375
2021-02-26,60.62802505493164
2021-03-01,61.40749740600586
2021-03-02,61.53292465209961
2021-03-03,62.679725646972656
2021-03-04,64.67766571044922
2021-03-05,65.14354705810547
2021-03-08,66.02157592773438
2021-03-09,64.85684967041016
2021-03-10,66.34410858154297
2021-03-11,66.28141021728516
2021-03-12,67.65217590332031
2021-03-15,68.61083221435547
2021-03-16,68.3241195678711
2021-03-17,68.43163299560547
2021-03-18,68.92440032958984
2021-03-19,68.76311492919922
2021-03-22,67.6163330078125
2021-03-23,65.77069854736328
2021-03-24,65.91405487060547
2021-03-25,67.50882720947266
2021-03-26,68.07328033447266
2021-03-29,68.44955444335938
2021-03-30,68.04637908935547
2021-03-31,66.56808471679688
2021-04-01,67.07878112792969
2021-04-05,66.85478973388672
2021-04-06,67.99263000488281
2021-04-07,67.8403091430664
2021-04-08,68.38685607910156
2021-04-09,68.59290313720703
2021-04-12,69.48883819580078
2021-04-13,68.96024322509766
2021-04-14,70.11600494384766
2021-04-15,70.15184020996094
2021-04-16,70.70730590820312
2021-04-19,70.37581634521484
2021-04-20,70.35791015625
2021-04-21,71.29862976074219
2021-04-22,70.81483459472656
2021-04-23,70.51021575927734
2021-04-26,69.83826446533203
2021-04-27,68.70938110351562
2021-04-28,69.28277587890625
2021-04-29,69.25591278076172
2021-04-30,69.39029693603516
2021-05-03,70.33100891113281
2021-05-04,69.68594360351562
2021-05-05,69.76657104492188
2021-05-06,70.23246765136719
2021-05-07,70.61770629882812
2021-05-10,70.61770629882812
2021-05-11,71.17321014404297
2021-05-12,70.92234802246094
2021-05-13,72.17665100097656
2021-05-14,71.97954559326172
2021-05-17,72.2214584350586
2021-05-18,71.54950714111328
2021-05-19,71.35238647460938
2021-05-20,72.19457244873047
2021-05-21,72.29312133789062
2021-05-24,72.17665100097656
2021-05-25,71.8630599975586
2021-05-26,71.3165512084961
2021-05-27,71.23592376708984
2021-05-28,71.62785339355469
2021-06-01,72.16841125488281
2021-06-02,72.32160186767578
2021-06-03,71.33052825927734
2021-06-04,70.86202239990234
2021-06-07,70.5737075805664
2021-06-08,70.56468963623047
2021-06-09,69.73577117919922
2021-06-10,69.32134246826172
2021-06-11,69.70877075195312
2021-06-14,69.69073486328125
2021-06-15,68.22213745117188
2021-06-16,67.24908447265625
2021-06-17,66.56433868408203
2021-06-18,65.55524444580078
2021-06-21,66.28504180908203
2021-06-22,66.86165618896484
2021-06-23,66.51930236816406
2021-06-24,66.92472076416016
2021-06-25,67.1229476928711
2021-06-28,66.31205749511719
2021-06-29,66.05980682373047
2021-06-30,66.45623016357422
2021-07-01,66.52828216552734
2021-07-02,66.33008575439453
2021-07-06,65.79850769042969
2021-07-07,66.12286376953125
2021-07-08,65.44712829589844
2021-07-09,66.26701354980469
2021-07-12,65.36602020263672
2021-07-13,64.66326141357422
2021-07-14,64.12268829345703
2021-07-15,64.66326141357422
2021-07-16,64.32990264892578
2021-07-19,63.8974494934082
2021-07-20,64.27584838867188
2021-07-21,64.39298248291016
2021-07-22,63.71724319458008
2021-07-23,64.2578353881836
2021-07-26,64.19477081298828
2021-07-27,64.66326141357422
2021-07-28,64.51911926269531
2021-07-29,64.79841613769531
2021-07-30,64.38397216796875
2021-08-02,64.64524841308594
2021-08-03,64.60919952392578
2021-08-04,63.39288330078125
2021-08-05,63.194679260253906
2021-08-06,64.07765197753906
2021-08-09,69.64570617675781
2021-08-10,71.67288970947266
2021-08-11,72.24050903320312
2021-08-12,72.11436462402344
2021-08-13,73.79920196533203
2021-08-16,73.07841491699219
2021-08-17,72.76307678222656
2021-08-18,72.2134780883789
2021-08-19,72.3396224975586
