,PNW
2017-06-26,65.1801986694336
2017-06-27,64.51509857177734
2017-06-28,63.93130111694336
2017-06-29,62.955806732177734
2017-06-30,62.93363571166992
2017-07-03,62.68236541748047
2017-07-05,62.54933166503906
2017-07-06,62.34244155883789
2017-07-07,62.571529388427734
2017-07-10,62.22417449951172
2017-07-11,62.33502197265625
2017-07-12,62.88190841674805
2017-07-13,62.60847473144531
2017-07-14,62.91146469116211
2017-07-17,63.22923278808594
2017-07-18,63.377044677734375
2017-07-19,63.56180191040039
2017-07-20,63.968231201171875
2017-07-21,64.46337890625
2017-07-24,63.909149169921875
2017-07-25,63.6283073425293
2017-07-26,64.21210479736328
2017-07-27,64.26384735107422
2017-07-28,64.14098358154297
2017-07-31,64.58029174804688
2017-08-01,64.8781509399414
2017-08-02,64.96003723144531
2017-08-03,66.06207275390625
2017-08-04,65.57064819335938
2017-08-07,65.96527099609375
2017-08-08,66.06951904296875
2017-08-09,65.76424407958984
2017-08-10,66.24825286865234
2017-08-11,65.92060852050781
2017-08-14,66.15144348144531
2017-08-15,66.44183349609375
2017-08-16,66.73223114013672
2017-08-17,66.18122863769531
2017-08-18,66.48651123046875
2017-08-21,66.41950225830078
2017-08-22,66.62798309326172
2017-08-23,66.95560455322266
2017-08-24,66.94070434570312
2017-08-25,67.03005981445312
2017-08-28,67.34283447265625
2017-08-29,67.32049560546875
2017-08-30,67.00773620605469
2017-08-31,66.99284362792969
2017-09-01,66.91094207763672
2017-09-05,66.78437042236328
2017-09-06,66.27056121826172
2017-09-07,66.67266845703125
2017-09-08,67.02265167236328
2017-09-11,67.57366180419922
2017-09-12,66.20356750488281
2017-09-13,65.61531829833984
2017-09-14,66.24825286865234
2017-09-15,66.47161865234375
2017-09-18,65.77912902832031
2017-09-19,65.73445129394531
2017-09-20,65.00472259521484
2017-09-21,64.8707046508789
2017-09-22,64.14842224121094
2017-09-25,64.6696548461914
2017-09-26,64.39417266845703
2017-09-27,63.11338806152344
2017-09-28,63.225101470947266
2017-09-29,62.96449661254883
2017-10-02,63.50806427001953
2017-10-03,63.2921257019043
2017-10-04,63.8729133605957
2017-10-05,63.7016487121582
