,ALLE
2022-10-28,103.34774017333984
2022-10-31,101.96573638916016
2022-11-01,103.70782470703125
2022-11-02,99.27962493896484
2022-11-03,99.60078430175781
2022-11-04,100.35990905761719
2022-11-07,104.20418548583984
2022-11-08,103.92195129394531
2022-11-09,101.5764389038086
2022-11-10,110.92923736572266
2022-11-11,110.53019714355469
2022-11-14,107.9803237915039
2022-11-15,109.62508392333984
2022-11-16,108.07765197753906
2022-11-17,107.80514526367188
2022-11-18,109.9365234375
2022-11-21,109.64456176757812
2022-11-22,110.89030456542969
2022-11-23,110.93895721435547
2022-11-25,111.26012420654297
2022-11-28,109.24552917480469
2022-11-29,107.80514526367188
2022-11-30,110.60806274414062
2022-12-01,111.00708770751953
2022-12-02,111.45476531982422
2022-12-05,108.04845428466797
2022-12-06,106.24798583984375
2022-12-07,106.22850799560547
2022-12-08,107.89273834228516
2022-12-09,106.20904541015625
2022-12-12,107.29907989501953
2022-12-13,108.83676147460938
2022-12-14,106.8319091796875
2022-12-15,102.88058471679688
2022-12-16,101.0801010131836
2022-12-19,101.77110290527344
2022-12-20,101.68350219726562
2022-12-21,103.89274597167969
2022-12-22,102.36476135253906
2022-12-23,102.21878814697266
2022-12-27,103.14335632324219
2022-12-28,101.52779388427734
2022-12-29,103.88300323486328
2022-12-30,102.44261932373047
2023-01-03,104.81732177734375
2023-01-04,106.31610107421875
2023-01-05,104.86598205566406
2023-01-06,108.43775177001953
2023-01-09,109.2649917602539
2023-01-10,109.0411605834961
2023-01-11,111.05574798583984
2023-01-12,110.47181701660156
2023-01-13,110.71512603759766
2023-01-17,109.77108764648438
2023-01-18,107.99006652832031
2023-01-19,105.3623275756836
2023-01-20,108.32097625732422
2023-01-23,109.0898208618164
2023-01-24,110.35501861572266
2023-01-25,110.31609344482422
2023-01-26,110.21876525878906
2023-01-27,111.22119903564453
2023-01-30,111.38664245605469
2023-01-31,114.4036865234375
2023-02-01,116.83676147460938
2023-02-02,118.48152160644531
2023-02-03,119.6396713256836
2023-02-06,117.63481140136719
2023-02-07,117.0411376953125
2023-02-08,116.93408203125
2023-02-09,115.40612030029297
2023-02-10,114.91948699951172
2023-02-13,116.71024322509766
2023-02-14,116.65184020996094
2023-02-15,118.3258056640625
2023-02-16,115.5715560913086
2023-02-17,115.42557525634766
2023-02-21,111.93165588378906
2023-02-22,110.11170196533203
2023-02-23,110.73458099365234
2023-02-24,109.98519134521484
2023-02-27,109.97545623779297
2023-02-28,109.6932144165039
2023-03-01,109.40125274658203
2023-03-02,109.49857330322266
2023-03-03,111.6883544921875
