,PWR
2020-03-30,30.142189025878906
2020-03-31,31.34748649597168
2020-04-01,30.4188175201416
2020-04-02,30.448457717895508
2020-04-03,30.24064826965332
2020-04-06,32.78379440307617
2020-04-07,32.23954391479492
2020-04-08,33.44679641723633
2020-04-09,33.19940185546875
2020-04-13,31.982250213623047
2020-04-14,33.347843170166016
2020-04-15,32.2098503112793
2020-04-16,32.30881118774414
2020-04-17,34.54519271850586
2020-04-20,33.288455963134766
2020-04-21,32.10099792480469
2020-04-22,32.74421310424805
2020-04-23,33.02128219604492
2020-04-24,33.62490463256836
2020-04-27,34.59466552734375
2020-04-28,36.73209762573242
2020-04-29,36.14825439453125
2020-04-30,35.980045318603516
2020-05-01,34.60457229614258
2020-05-04,34.3670654296875
2020-05-05,34.60457229614258
2020-05-06,33.55563735961914
2020-05-07,32.86296081542969
2020-05-08,34.00093460083008
2020-05-11,32.62546920776367
2020-05-12,31.5765438079834
2020-05-13,30.013046264648438
2020-05-14,30.586986541748047
2020-05-15,31.01249885559082
2020-05-18,33.041072845458984
2020-05-19,32.655147552490234
2020-05-20,33.18950653076172
2020-05-21,33.49626922607422
2020-05-22,33.892093658447266
2020-05-26,35.900875091552734
2020-05-27,36.89042663574219
2020-05-28,36.227420806884766
2020-05-29,36.54408645629883
2020-06-01,37.533626556396484
2020-06-02,39.186180114746094
2020-06-03,39.96792984008789
2020-06-04,40.591339111328125
2020-06-05,41.947025299072266
2020-06-08,42.85740280151367
2020-06-09,41.09600830078125
2020-06-10,39.25545120239258
2020-06-11,36.405540466308594
2020-06-12,36.66282272338867
2020-06-15,37.66228485107422
2020-06-16,38.35495376586914
2020-06-17,38.513282775878906
2020-06-18,37.95914077758789
2020-06-19,38.30548095703125
2020-06-22,38.820045471191406
2020-06-23,39.09712600708008
2020-06-24,37.56330871582031
2020-06-25,38.5429801940918
2020-06-26,38.2362060546875
2020-06-29,38.71118927001953
2020-06-30,38.869728088378906
2020-07-01,37.9879035949707
2020-07-02,38.51302719116211
2020-07-06,38.64183807373047
2020-07-07,38.136531829833984
2020-07-08,37.00699234008789
2020-07-09,35.82791519165039
2020-07-10,36.4620475769043
2020-07-13,36.96736145019531
2020-07-14,37.977989196777344
2020-07-15,39.652469635009766
2020-07-16,39.66238021850586
2020-07-17,40.16769790649414
2020-07-20,39.77136993408203
2020-07-21,40.26677703857422
2020-07-22,40.54421615600586
2020-07-23,40.74237060546875
2020-07-24,40.30641174316406
2020-07-27,40.702735900878906
2020-07-28,39.60293197631836
2020-07-29,40.7720947265625
2020-07-30,39.75155258178711
2020-07-31,39.60293197631836
2020-08-03,40.82164001464844
2020-08-04,41.14860534667969
2020-08-05,42.38711929321289
2020-08-06,45.01279830932617
2020-08-07,45.93424987792969
2020-08-10,47.75735092163086
2020-08-11,49.40210723876953
2020-08-12,49.025596618652344
2020-08-13,48.81753158569336
2020-08-14,48.99586868286133
2020-08-17,50.32356643676758
2020-08-18,49.87770080566406
2020-08-19,49.3922004699707
2020-08-20,49.31293487548828
2020-08-21,49.12467575073242
2020-08-24,50.432559967041016
2020-08-25,50.670345306396484
2020-08-26,50.95767593383789
2020-08-27,50.531639099121094
2020-08-28,50.918052673339844
2020-08-31,50.77934265136719
2020-09-01,52.087215423583984
2020-09-02,52.85014343261719
2020-09-03,51.02704620361328
2020-09-04,51.502628326416016
2020-09-08,50.88833236694336
2020-09-09,51.750335693359375
2020-09-10,50.69017028808594
2020-09-11,51.086490631103516
2020-09-14,51.78006362915039
2020-09-15,51.51253890991211
2020-09-16,52.047584533691406
2020-09-17,52.09712600708008
2020-09-18,51.42337417602539
2020-09-21,48.76798629760742
2020-09-22,49.620086669921875
2020-09-23,50.818973541259766
2020-09-24,50.94778060913086
2020-09-25,51.23511505126953
2020-09-28,52.40427780151367
2020-09-29,52.25566101074219
2020-09-30,52.42425537109375
2020-10-01,53.118492126464844
2020-10-02,54.744964599609375
2020-10-05,56.43095397949219
2020-10-06,56.272274017333984
2020-10-07,57.87892532348633
2020-10-08,58.51363754272461
2020-10-09,58.74175262451172
2020-10-12,60.8343505859375
2020-10-13,59.872344970703125
2020-10-14,60.31863784790039
2020-10-15,61.53850173950195
2020-10-16,61.46907424926758
2020-10-19,61.37982177734375
2020-10-20,62.52034378051758
2020-10-21,61.06245803833008
2020-10-22,60.61616134643555
2020-10-23,61.756690979003906
2020-10-26,60.636016845703125
2020-10-27,60.26906204223633
2020-10-28,60.37815475463867
2020-10-29,62.14348220825195
2020-10-30,61.91537094116211
2020-11-02,65.90222930908203
2020-11-03,66.76504516601562
2020-11-04,62.93687438964844
2020-11-05,63.9583854675293
2020-11-06,64.58319091796875
2020-11-09,64.95013427734375
2020-11-10,66.03116607666016
2020-11-11,66.98326873779297
2020-11-12,66.51713562011719
2020-11-13,68.37169647216797
2020-11-16,68.77832794189453
2020-11-17,66.83448791503906
2020-11-18,67.02290344238281
2020-11-19,67.65764617919922
2020-11-20,66.32868194580078
2020-11-23,68.34194946289062
2020-11-24,70.04777526855469
2020-11-25,69.11551666259766
2020-11-27,69.35355377197266
2020-11-30,67.77664947509766
2020-12-01,69.38330078125
2020-12-02,68.0047378540039
2020-12-03,68.79815673828125
2020-12-04,70.14695739746094
2020-12-07,70.92052459716797
2020-12-08,71.13871002197266
2020-12-09,72.4974136352539
2020-12-10,72.40815734863281
2020-12-11,71.47590637207031
2020-12-14,67.94525146484375
2020-12-15,68.6692123413086
2020-12-16,67.83615112304688
2020-12-17,68.2527084350586
2020-12-18,67.72705078125
2020-12-21,68.01468658447266
2020-12-22,68.56013488769531
2020-12-23,70.22626495361328
2020-12-24,70.3453140258789
2020-12-28,70.12712097167969
2020-12-29,70.03784942626953
2020-12-30,70.5634994506836
