,HUBB
2020-07-21,121.17687225341797
2020-07-22,122.0519027709961
2020-07-23,123.03744506835938
2020-07-24,122.12557220458984
2020-07-27,122.45718383789062
2020-07-28,120.56895446777344
2020-07-29,123.36902618408203
2020-07-30,122.309814453125
2020-07-31,124.31773376464844
2020-08-03,125.80986785888672
2020-08-04,126.26124572753906
2020-08-05,128.30601501464844
2020-08-06,129.29156494140625
2020-08-07,131.00474548339844
2020-08-10,133.16929626464844
2020-08-11,133.1324462890625
2020-08-12,135.44436645507812
2020-08-13,135.0574951171875
2020-08-14,134.75355529785156
2020-08-17,135.06674194335938
2020-08-18,133.37193298339844
2020-08-19,133.5009002685547
2020-08-20,131.76002502441406
2020-08-21,132.66273498535156
2020-08-24,134.4403839111328
2020-08-25,134.34828186035156
2020-08-26,135.4719696044922
2020-08-27,135.78514099121094
2020-08-28,135.3310089111328
2020-08-31,134.3115692138672
2020-09-01,135.65541076660156
2020-09-02,138.10211181640625
2020-09-03,135.68319702148438
2020-09-04,133.8018035888672
2020-09-08,128.54685974121094
2020-09-09,131.01214599609375
2020-09-10,130.1873016357422
2020-09-11,130.45606994628906
2020-09-14,132.4579620361328
2020-09-15,133.0511016845703
2020-09-16,132.68963623046875
2020-09-17,132.66184997558594
2020-09-18,128.85269165039062
2020-09-21,124.50601196289062
2020-09-22,125.82209014892578
2020-09-23,122.35584259033203
2020-09-24,123.22704315185547
2020-09-25,124.02407836914062
2020-09-28,126.93424987792969
2020-09-29,126.77667999267578
2020-09-30,126.8230209350586
2020-10-01,126.20210266113281
2020-10-02,127.44397735595703
2020-10-05,129.96487426757812
2020-10-06,129.03807067871094
2020-10-07,130.91018676757812
2020-10-08,132.624755859375
2020-10-09,133.53306579589844
2020-10-12,135.77587890625
2020-10-13,134.05203247070312
2020-10-14,133.96861267089844
2020-10-15,133.76473999023438
2020-10-16,133.9871826171875
2020-10-19,135.39590454101562
2020-10-20,136.7026824951172
2020-10-21,136.508056640625
2020-10-22,138.7045440673828
2020-10-23,142.1614990234375
2020-10-26,138.09288024902344
2020-10-27,137.50897216796875
2020-10-28,133.68133544921875
2020-10-29,134.05203247070312
2020-10-30,134.8583526611328
2020-11-02,138.96408081054688
2020-11-03,142.40248107910156
2020-11-04,138.7045440673828
2020-11-05,142.05027770996094
2020-11-06,142.2542266845703
2020-11-09,146.99942016601562
2020-11-10,148.36178588867188
2020-11-11,145.692626953125
2020-11-12,141.49423217773438
2020-11-13,144.09849548339844
2020-11-16,147.50917053222656
2020-11-17,144.33950805664062
2020-11-18,143.97805786132812
2020-11-19,146.20236206054688
2020-11-20,145.94287109375
2020-11-23,148.61204528808594
2020-11-24,152.1245880126953
2020-11-25,150.6602783203125
2020-11-27,151.26632690429688
2020-11-30,150.6695556640625
2020-12-01,150.76283264160156
2020-12-02,146.57626342773438
2020-12-03,145.69046020507812
2020-12-04,150.5856475830078
2020-12-07,148.19866943359375
2020-12-08,150.17539978027344
2020-12-09,150.69752502441406
2020-12-10,149.1404266357422
2020-12-11,149.55999755859375
2020-12-14,147.05181884765625
2020-12-15,149.05650329589844
2020-12-16,145.90492248535156
2020-12-17,148.2266387939453
2020-12-18,145.11239624023438
2020-12-21,146.38973999023438
2020-12-22,147.2103271484375
2020-12-23,148.78611755371094
2020-12-24,149.96095275878906
2020-12-28,147.5925750732422
2020-12-29,146.19395446777344
2020-12-30,145.7464141845703
2020-12-31,146.19395446777344
2021-01-04,145.51327514648438
2021-01-05,147.71383666992188
2021-01-06,156.71163940429688
2021-01-07,157.11260986328125
2021-01-08,156.1242218017578
2021-01-11,157.86785888671875
2021-01-12,160.3014373779297
2021-01-13,154.4645538330078
2021-01-14,153.3735809326172
2021-01-15,151.5833740234375
2021-01-19,154.35263061523438
2021-01-20,155.29440307617188
2021-01-21,154.36195373535156
2021-01-22,155.1824951171875
2021-01-25,153.0006103515625
2021-01-26,152.35723876953125
2021-01-27,150.26866149902344
2021-01-28,149.03782653808594
2021-01-29,145.08441162109375
2021-02-01,148.21730041503906
2021-02-02,147.7417755126953
2021-02-03,150.51104736328125
2021-02-04,148.18934631347656
2021-02-05,150.9679718017578
2021-02-08,153.13116455078125
2021-02-09,151.56472778320312
2021-02-10,151.01458740234375
2021-02-11,153.25238037109375
2021-02-12,154.04495239257812
2021-02-16,155.31304931640625
2021-02-17,156.9727783203125
2021-02-18,156.47853088378906
2021-02-19,158.95877075195312
2021-02-22,166.147705078125
2021-02-23,168.06854248046875
2021-02-24,165.96124267578125
2021-02-25,166.42068481445312
2021-02-26,166.43003845214844
2021-03-01,170.76165771484375
