,NKE
2020-06-19,90.9037857055664
2020-06-22,94.44389343261719
2020-06-23,96.73120880126953
2020-06-24,94.98487854003906
2020-06-25,96.23768615722656
2020-06-26,88.90120697021484
2020-06-29,90.98919677734375
2020-06-30,93.05823516845703
2020-07-01,92.44132232666016
2020-07-02,93.41886901855469
2020-07-06,94.86148071289062
2020-07-07,92.12811279296875
2020-07-08,93.80799865722656
2020-07-09,92.05220031738281
2020-07-10,93.00126647949219
2020-07-13,91.54916381835938
2020-07-14,91.83390808105469
2020-07-15,93.52327728271484
2020-07-16,92.30844116210938
2020-07-17,91.37833404541016
2020-07-20,90.78041076660156
2020-07-21,93.3524398803711
2020-07-22,93.87445068359375
2020-07-23,93.29550170898438
2020-07-24,93.41886901855469
2020-07-27,92.26099395751953
2020-07-28,91.36884307861328
2020-07-29,92.0332260131836
2020-07-30,91.89085388183594
2020-07-31,92.640625
2020-08-03,93.323974609375
2020-08-04,92.37488555908203
2020-08-05,95.80109405517578
2020-08-06,95.33602142333984
2020-08-07,96.67424774169922
2020-08-10,100.04353332519531
2020-08-11,99.76830291748047
2020-08-12,99.86319732666016
2020-08-13,101.09701538085938
2020-08-14,101.01158142089844
2020-08-17,100.28080749511719
2020-08-18,101.52412414550781
2020-08-19,102.87181091308594
2020-08-20,102.51117706298828
2020-08-21,104.16256713867188
2020-08-24,106.13667297363281
2020-08-25,105.83296203613281
2020-08-26,105.8519515991211
2020-08-27,105.19709777832031
2020-08-28,106.8093490600586
2020-08-31,106.42889404296875
2020-09-01,109.2348861694336
2020-09-02,111.09923553466797
2020-09-03,107.3420181274414
2020-09-04,106.91397857666016
2020-09-08,107.21835327148438
2020-09-09,109.29195404052734
2020-09-10,109.18733215332031
2020-09-11,112.24065399169922
2020-09-14,113.45817565917969
2020-09-15,113.44867706298828
2020-09-16,112.80184936523438
2020-09-17,110.68070220947266
2020-09-18,109.06369018554688
2020-09-21,107.83663940429688
2020-09-22,111.16581726074219
2020-09-23,120.906005859375
2020-09-24,118.66119384765625
2020-09-25,118.16657257080078
2020-09-28,118.25218963623047
2020-09-29,120.18311309814453
2020-09-30,119.41264343261719
2020-10-01,120.45894622802734
2020-10-02,120.45894622802734
2020-10-05,121.66697692871094
2020-10-06,121.4196548461914
2020-10-07,123.71204376220703
2020-10-08,123.37911987304688
2020-10-09,124.5871353149414
2020-10-12,123.14131927490234
2020-10-13,122.89400482177734
2020-10-14,121.4291763305664
2020-10-15,122.70376586914062
2020-10-16,121.75260162353516
2020-10-19,121.21041870117188
2020-10-20,122.2186508178711
2020-10-21,123.1127700805664
2020-10-22,123.6739730834961
2020-10-23,123.64545440673828
2020-10-26,122.1045150756836
2020-10-27,121.74305725097656
2020-10-28,116.12152862548828
2020-10-29,116.86345672607422
2020-10-30,114.2191390991211
2020-11-02,116.41638946533203
2020-11-03,118.5090103149414
2020-11-04,121.12478637695312
2020-11-05,123.36959838867188
2020-11-06,122.60863494873047
2020-11-09,122.65620422363281
2020-11-10,121.47673034667969
2020-11-11,121.4291763305664
2020-11-12,120.45894622802734
2020-11-13,122.01889038085938
2020-11-16,123.75960540771484
2020-11-17,125.75708770751953
2020-11-18,125.20541381835938
2020-11-19,125.47172546386719
2020-11-20,126.48950958251953
2020-11-23,127.58338928222656
2020-11-24,128.12557983398438
2020-11-25,128.924560546875
2020-11-27,127.69754791259766
2020-11-30,128.12557983398438
2020-12-01,128.8294219970703
2020-12-02,128.96263122558594
2020-12-03,130.2752227783203
2020-12-04,130.75657653808594
2020-12-07,132.24343872070312
2020-12-08,132.5960693359375
2020-12-09,132.28152465820312
2020-12-10,131.12831115722656
2020-12-11,130.9662628173828
2020-12-14,129.8892364501953
2020-12-15,132.8534393310547
2020-12-16,131.8526611328125
2020-12-17,133.911376953125
2020-12-18,130.84234619140625
2020-12-21,137.2662811279297
2020-12-22,135.76992797851562
2020-12-23,135.11227416992188
2020-12-24,134.9597625732422
2020-12-28,135.75086975097656
2020-12-29,134.93118286132812
2020-12-30,134.9407196044922
2020-12-31,134.8358612060547
2021-01-04,133.53012084960938
2021-01-05,134.60716247558594
2021-01-06,135.67459106445312
2021-01-07,138.1526641845703
2021-01-08,139.48703002929688
2021-01-11,140.15423583984375
2021-01-12,138.2480010986328
2021-01-13,136.33221435546875
2021-01-14,134.673828125
2021-01-15,134.12103271484375
2021-01-19,132.73904418945312
2021-01-20,136.1034698486328
2021-01-21,134.96929931640625
2021-01-22,132.81529235839844
