,SJM
2018-04-03,99.70237731933594
2018-04-04,101.32421112060547
2018-04-05,101.5699462890625
2018-04-06,101.52079772949219
2018-04-09,102.47917175292969
2018-04-10,101.889404296875
2018-04-11,101.25050354003906
2018-04-12,100.45597076416016
2018-04-13,100.62796020507812
2018-04-16,99.07166290283203
2018-04-17,98.7440185546875
2018-04-18,98.44094848632812
2018-04-19,95.86893463134766
2018-04-20,94.13238525390625
2018-04-23,93.84571838378906
2018-04-24,93.82935333251953
2018-04-25,94.64026641845703
2018-04-26,94.4928207397461
2018-04-27,95.16448211669922
2018-04-30,93.44435119628906
2018-05-01,94.20612335205078
2018-05-02,93.23957824707031
2018-05-03,91.25732421875
2018-05-04,92.81362915039062
2018-05-07,92.27302551269531
2018-05-08,92.43682861328125
2018-05-09,93.2068099975586
2018-05-10,94.15530395507812
2018-05-11,93.21505737304688
2018-05-14,92.02739715576172
2018-05-15,91.5407943725586
2018-05-16,92.40677642822266
2018-05-17,91.8129653930664
2018-05-18,89.02526092529297
2018-05-21,89.31391906738281
2018-05-22,90.23765563964844
2018-05-23,90.90570068359375
2018-05-24,90.59231567382812
2018-05-25,90.50983428955078
2018-05-29,89.63557434082031
2018-05-30,89.56134033203125
2018-05-31,88.66236114501953
2018-06-01,87.59013366699219
2018-06-04,88.28294372558594
2018-06-05,87.50768280029297
2018-06-06,87.85408020019531
2018-06-07,83.13641357421875
2018-06-08,84.55500793457031
2018-06-11,87.5654296875
2018-06-12,87.34273529052734
2018-06-13,85.63545227050781
2018-06-14,85.56947326660156
2018-06-15,87.2025146484375
2018-06-18,85.93236541748047
2018-06-19,86.20454406738281
2018-06-20,87.72212982177734
2018-06-21,86.92210388183594
2018-06-22,87.18601989746094
2018-06-25,89.26443481445312
2018-06-26,89.99847412109375
2018-06-27,90.75726318359375
2018-06-28,89.94074249267578
2018-06-29,88.64585876464844
2018-07-02,86.73240661621094
2018-07-03,88.48915100097656
2018-07-05,91.25212097167969
2018-07-06,92.15937805175781
2018-07-09,91.47480773925781
2018-07-10,90.01497650146484
2018-07-11,90.60054779052734
2018-07-12,90.50157165527344
2018-07-13,91.59851837158203
2018-07-16,89.41287994384766
2018-07-17,91.5407943725586
2018-07-18,89.90774536132812
2018-07-19,90.36962127685547
2018-07-20,90.28713989257812
2018-07-23,89.65208435058594
2018-07-24,88.75306701660156
2018-07-25,89.50360870361328
2018-07-26,90.84798431396484
2018-07-27,90.74076080322266
2018-07-30,91.58203125
2018-07-31,91.64801025390625
2018-08-01,90.22940063476562
2018-08-02,92.63774108886719
2018-08-03,95.87080383300781
2018-08-06,94.41097259521484
2018-08-07,93.0418472290039
2018-08-08,92.2995834350586
2018-08-09,91.30159759521484
2018-08-10,91.40882110595703
2018-08-13,91.63150024414062
2018-08-14,91.91193389892578
2018-08-15,92.86040496826172
2018-08-16,93.1512680053711
2018-08-17,95.22886657714844
2018-08-20,96.29261016845703
2018-08-21,89.91850280761719
2018-08-22,87.59162139892578
2018-08-23,86.80211639404297
2018-08-24,87.30076599121094
2018-08-27,87.94895935058594
2018-08-28,86.63594055175781
2018-08-29,86.14561462402344
