,RVTY
2016-10-04,54.45302200317383
2016-10-05,55.08766174316406
2016-10-06,55.09743881225586
2016-10-07,54.384666442871094
2016-10-10,54.15032958984375
2016-10-11,52.549072265625
2016-10-12,51.698509216308594
2016-10-13,50.89683151245117
2016-10-14,50.945716857910156
2016-10-17,50.65241622924805
2016-10-18,51.317222595214844
2016-10-19,51.63008499145508
2016-10-20,51.74739074707031
2016-10-21,51.51275634765625
2016-10-24,51.894046783447266
2016-10-25,50.01693344116211
2016-10-26,49.4792366027832
2016-10-27,49.77253341674805
2016-10-28,49.664981842041016
2016-10-31,49.75297927856445
2016-11-01,49.3912467956543
2016-11-02,48.902408599853516
2016-11-03,49.049049377441406
2016-11-04,49.928955078125
2016-11-07,50.71107864379883
2016-11-08,49.58677673339844
2016-11-09,49.65521240234375
2016-11-10,50.06582260131836
2016-11-11,49.76274871826172
2016-11-14,49.14681625366211
2016-11-15,49.78229522705078
2016-11-16,50.310237884521484
2016-11-17,49.801856994628906
2016-11-18,48.8339729309082
2016-11-21,49.44990921020508
2016-11-22,49.528106689453125
2016-11-23,50.75017166137695
2016-11-25,50.388458251953125
2016-11-28,49.801856994628906
2016-11-29,50.02670669555664
2016-11-30,49.58677673339844
2016-12-01,49.60633087158203
2016-12-02,49.85074234008789
2016-12-05,50.00716781616211
2016-12-06,50.935935974121094
2016-12-07,51.5616455078125
2016-12-08,51.86471939086914
2016-12-09,52.36331558227539
2016-12-12,52.36331558227539
2016-12-13,52.80326461791992
2016-12-14,52.36331558227539
2016-12-15,52.78371047973633
2016-12-16,52.66638946533203
2016-12-19,52.24598693847656
2016-12-20,52.32421875
2016-12-21,51.9038200378418
2016-12-22,51.17057800292969
2016-12-23,51.483421325683594
2016-12-27,51.50297927856445
2016-12-28,51.02391815185547
2016-12-29,51.0141487121582
2016-12-30,50.984825134277344
2017-01-03,51.806053161621094
2017-01-04,52.10912322998047
2017-01-05,51.55186462402344
2017-01-06,51.92336654663086
2017-01-09,52.353546142578125
2017-01-10,52.14823532104492
2017-01-11,51.85494613647461
2017-01-12,51.7767219543457
2017-01-13,52.69572830200195
2017-01-17,51.74739074707031
2017-01-18,51.326446533203125
2017-01-19,51.022972106933594
2017-01-20,50.62160873413086
2017-01-23,50.602020263671875
2017-01-24,50.484535217285156
2017-01-25,51.179603576660156
2017-01-26,50.964229583740234
2017-01-27,51.218753814697266
2017-01-30,50.709712982177734
2017-01-31,52.07045364379883
2017-02-01,52.628448486328125
2017-02-02,52.7165641784668
2017-02-03,51.07191467285156
2017-02-06,51.218753814697266
2017-02-07,51.58097457885742
2017-02-08,52.090030670166016
2017-02-09,52.59907531738281
2017-02-10,52.83401870727539
2017-02-13,53.24519348144531
2017-02-14,53.254974365234375
2017-02-15,54.38077163696289
2017-02-16,54.15562057495117
2017-02-17,54.76256561279297
2017-02-21,54.48845291137695
2017-02-22,54.03813552856445
2017-02-23,53.95003890991211
2017-02-24,53.881507873535156
2017-02-27,53.832557678222656
2017-02-28,53.117916107177734
2017-03-01,54.08708953857422
2017-03-02,53.4703483581543
2017-03-03,53.783607482910156
2017-03-06,53.13750457763672
2017-03-07,52.94171905517578
2017-03-08,53.24519348144531
2017-03-09,53.61720275878906
2017-03-10,54.41992950439453
2017-03-13,54.664676666259766
2017-03-14,54.64508819580078
2017-03-15,55.62403869628906
2017-03-16,54.93877410888672
2017-03-17,56.064571380615234
2017-03-20,55.93730926513672
2017-03-21,56.064571380615234
2017-03-22,55.98625564575195
2017-03-23,56.37783432006836
2017-03-24,56.30931854248047
2017-03-27,56.808570861816406
2017-03-28,56.740047454833984
2017-03-29,56.69109344482422
2017-03-30,56.69109344482422
2017-03-31,56.83794403076172
2017-04-03,56.779205322265625
2017-04-04,56.25057601928711
2017-04-05,56.05478286743164
2017-04-06,56.63237762451172
2017-04-07,56.63237762451172
2017-04-10,56.41698455810547
2017-04-11,56.31898498535156
2017-04-12,55.99553298950195
2017-04-13,55.81909942626953
2017-04-17,56.63261413574219
2017-04-18,56.45620346069336
2017-04-19,56.26996994018555
2017-04-20,56.10335159301758
2017-04-21,56.08374786376953
2017-04-24,57.05409622192383
2017-04-25,57.4853630065918
2017-04-26,58.788944244384766
2017-04-27,58.72032928466797
2017-04-28,58.23024368286133
2017-05-01,58.73994064331055
2017-05-02,58.4556884765625
2017-05-03,58.4556884765625
2017-05-04,59.2888069152832
2017-05-05,60.37675857543945
2017-05-08,60.661006927490234
2017-05-09,61.31770324707031
2017-05-10,61.42552185058594
2017-05-11,61.31770324707031
2017-05-12,61.14128494262695
2017-05-15,61.513736724853516
2017-05-16,61.29811096191406
2017-05-17,60.38656997680664
2017-05-18,60.43558120727539
2017-05-19,60.759029388427734
2017-05-22,60.93544387817383
2017-05-23,60.82764434814453
2017-05-24,61.16088104248047
2017-05-25,61.55293273925781
2017-05-26,61.55293273925781
2017-05-30,61.70975112915039
2017-05-31,61.80778121948242
2017-06-01,62.709503173828125
2017-06-02,63.58184814453125
2017-06-05,63.59163284301758
2017-06-06,63.46421432495117
2017-06-07,63.415199279785156
2017-06-08,62.94473648071289
2017-06-09,62.64090347290039
2017-06-12,62.43506622314453
2017-06-13,62.85652160644531
2017-06-14,62.74871063232422
2017-06-15,62.591888427734375
2017-06-16,62.30765151977539
2017-06-19,66.38502502441406
2017-06-20,66.74767303466797
2017-06-21,66.77709197998047
2017-06-22,66.45364379882812
2017-06-23,67.09073638916016
2017-06-26,66.74767303466797
2017-06-27,66.2086181640625
2017-06-28,66.92411041259766
2017-06-29,66.38502502441406
2017-06-30,66.78691101074219
2017-07-03,66.38502502441406
2017-07-05,66.89473724365234
2017-07-06,66.18901824951172
2017-07-07,66.62027740478516
2017-07-10,67.10052490234375
2017-07-11,67.30635070800781
2017-07-12,67.62003326416016
2017-07-13,67.87486267089844
2017-07-14,68.08069610595703
2017-07-17,68.55117797851562
2017-07-18,68.03169250488281
2017-07-19,68.08074188232422
2017-07-20,68.14939880371094
2017-07-21,68.20828247070312
2017-07-24,68.06110382080078
2017-07-25,66.94261169433594
2017-07-26,64.843017578125
2017-07-27,64.54867553710938
2017-07-28,64.64678192138672
2017-07-31,64.58792877197266
2017-08-01,64.9705581665039
2017-08-02,65.46112060546875
2017-08-03,65.09809112548828
2017-08-04,63.076969146728516
2017-08-07,64.55846405029297
2017-08-08,62.821876525878906
2017-08-09,63.037723541259766
2017-08-10,61.76224899291992
2017-08-11,62.72376251220703
2017-08-14,62.79243850708008
2017-08-15,62.92980194091797
2017-08-16,63.420352935791016
2017-08-17,62.45885467529297
2017-08-18,62.27243423461914
2017-08-21,62.939605712890625
2017-08-22,63.7147102355957
2017-08-23,63.80299377441406
2017-08-24,63.95017623901367
2017-08-25,64.11698150634766
2017-08-28,64.47018432617188
2017-08-29,64.63695526123047
