,MDLZ
2020-08-06,50.32371139526367
2020-08-07,50.4234619140625
2020-08-10,50.32371139526367
2020-08-11,50.06070327758789
2020-08-12,50.81343460083008
2020-08-13,50.7952880859375
2020-08-14,50.895042419433594
2020-08-17,51.25780487060547
2020-08-18,51.93798065185547
2020-08-19,51.4754638671875
2020-08-20,51.9107780456543
2020-08-21,52.11936569213867
2020-08-24,52.581871032714844
2020-08-25,52.500247955322266
2020-08-26,52.92648696899414
2020-08-27,52.71792221069336
2020-08-28,52.88115310668945
2020-08-31,52.98091506958008
2020-09-01,52.781394958496094
2020-09-02,53.5159797668457
2020-09-03,52.44584274291992
2020-09-04,52.491188049316406
2020-09-08,51.13991928100586
2020-09-09,52.14656448364258
2020-09-10,51.7838020324707
2020-09-11,52.19190979003906
2020-09-14,52.60908508300781
2020-09-15,52.68163299560547
2020-09-16,52.57280731201172
2020-09-17,51.883567810058594
2020-09-18,51.25780487060547
2020-09-21,50.65018081665039
2020-09-22,50.61391830444336
2020-09-23,49.71608352661133
2020-09-24,50.43252944946289
2020-09-25,50.931331634521484
2020-09-28,51.70218276977539
2020-09-29,51.50612258911133
2020-09-30,52.39070510864258
2020-10-01,52.81018829345703
2020-10-02,51.8526611328125
2020-10-05,52.05328369140625
2020-10-06,51.15046310424805
2020-10-07,51.24166488647461
2020-10-08,51.524356842041016
2020-10-09,52.25390625
2020-10-12,53.48503112792969
2020-10-13,53.7130126953125
2020-10-14,53.4302978515625
2020-10-15,53.20232009887695
2020-10-16,52.86490249633789
2020-10-19,52.13535690307617
2020-10-20,51.962093353271484
2020-10-21,51.816184997558594
2020-10-22,51.816184997558594
2020-10-23,51.624671936035156
2020-10-26,50.3662109375
2020-10-27,50.16557312011719
2020-10-28,48.46937942504883
2020-10-29,48.50585174560547
2020-10-30,48.4420166015625
2020-11-02,49.55457305908203
2020-11-03,49.62753677368164
2020-11-04,50.10173797607422
2020-11-05,50.74009323120117
2020-11-06,50.92247772216797
2020-11-09,50.99542999267578
2020-11-10,52.062400817871094
2020-11-11,52.6551628112793
2020-11-12,52.408939361572266
2020-11-13,52.94697952270508
2020-11-16,53.51237869262695
2020-11-17,53.384708404541016
2020-11-18,52.673397064208984
2020-11-19,52.52748489379883
2020-11-20,52.108001708984375
2020-11-23,52.29950714111328
2020-11-24,52.72811508178711
2020-11-25,52.42717742919922
2020-11-27,52.39981460571289
2020-11-30,52.39070510864258
2020-12-01,53.31175231933594
2020-12-02,53.01993942260742
2020-12-03,53.4029541015625
2020-12-04,53.83156204223633
2020-12-07,53.266151428222656
2020-12-08,53.15672302246094
2020-12-09,52.63692855834961
2020-12-10,52.144474029541016
2020-12-11,52.3451042175293
2020-12-14,52.244789123535156
2020-12-15,52.39070510864258
2020-12-16,52.162723541259766
2020-12-17,52.828426361083984
2020-12-18,53.18408966064453
2020-12-21,52.600440979003906
2020-12-22,52.12623596191406
2020-12-23,52.29950714111328
2020-12-24,52.75547409057617
2020-12-28,53.13848114013672
2020-12-29,53.3026237487793
2020-12-30,53.17884826660156
2020-12-31,53.60978317260742
2021-01-04,53.105499267578125
2021-01-05,53.1605224609375
2021-01-06,53.05966567993164
2021-01-07,52.95880126953125
2021-01-08,53.353065490722656
2021-01-11,52.34449768066406
2021-01-12,52.555381774902344
2021-01-13,52.60122299194336
2021-01-14,52.54621887207031
2021-01-15,52.46369552612305
2021-01-19,52.390342712402344
2021-01-20,52.35365676879883
2021-01-21,51.45512771606445
2021-01-22,51.57432556152344
2021-01-25,52.142784118652344
2021-01-26,52.802947998046875
2021-01-27,51.73019027709961
2021-01-28,52.372005462646484
2021-01-29,50.83164596557617
2021-02-01,50.65745162963867
2021-02-02,51.4918098449707
2021-02-03,50.68494415283203
2021-02-04,51.3451042175293
2021-02-05,51.53764343261719
2021-02-08,51.36343765258789
2021-02-09,50.88666534423828
2021-02-10,50.65745162963867
2021-02-11,51.05170440673828
2021-02-12,50.6024284362793
2021-02-16,50.31819534301758
2021-02-17,50.3548698425293
2021-02-18,51.46429443359375
2021-02-19,49.79558181762695
2021-02-22,49.80474853515625
2021-02-23,50.244850158691406
2021-02-24,49.81391906738281
2021-02-25,49.54802703857422
2021-02-26,48.74116516113281
2021-03-01,49.19961166381836
2021-03-02,49.21794891357422
2021-03-03,48.53946304321289
2021-03-04,49.474674224853516
2021-03-05,50.96001434326172
2021-03-08,50.56575393676758
2021-03-09,50.99668884277344
2021-03-10,51.519309997558594
2021-03-11,51.5926513671875
2021-03-12,52.142784118652344
2021-03-15,52.47286605834961
2021-03-16,52.977134704589844
2021-03-17,53.105499267578125
2021-03-18,53.096336364746094
2021-03-19,53.27054214477539
2021-03-22,53.949031829833984
2021-03-23,53.72898483276367
2021-03-24,53.23386764526367
2021-03-25,53.69229507446289
2021-03-26,54.4991569519043
2021-03-29,55.17763900756836
2021-03-30,54.17759323120117
2021-03-31,53.947181701660156
2021-04-01,53.864227294921875
2021-04-05,54.214473724365234
2021-04-06,54.463321685791016
2021-04-07,54.55549621582031
2021-04-08,54.3619384765625
2021-04-09,54.24211883544922
2021-04-12,54.02091598510742
2021-04-13,54.09465026855469
2021-04-14,53.753623962402344
2021-04-15,54.11308288574219
2021-04-16,54.16838455200195
2021-04-19,54.09465026855469
2021-04-20,54.57392501831055
2021-04-21,54.9057502746582
2021-04-22,54.88731002807617
2021-04-23,54.850440979003906
2021-04-26,54.16838455200195
2021-04-27,54.12230682373047
2021-04-28,56.11317443847656
2021-04-29,56.14082336425781
2021-04-30,56.04865646362305
2021-05-03,56.60167694091797
2021-05-04,55.98413848876953
2021-05-05,56.35281753540039
2021-05-06,56.88740158081055
2021-05-07,57.00722122192383
2021-05-10,57.20999526977539
2021-05-11,57.099395751953125
2021-05-12,56.73992919921875
2021-05-13,57.50494384765625
2021-05-14,57.48651123046875
2021-05-17,57.57868576049805
2021-05-18,57.31138610839844
2021-05-19,57.45885467529297
2021-05-20,58.1685676574707
2021-05-21,58.39899444580078
2021-05-24,58.69394302368164
2021-05-25,58.72158432006836
2021-05-26,58.64785385131836
2021-05-27,58.3529052734375
2021-05-28,58.5556755065918
2021-06-01,58.371337890625
2021-06-02,58.63863754272461
2021-06-03,58.749244689941406
2021-06-04,59.0073127746582
2021-06-07,58.684722900390625
2021-06-08,58.334476470947266
2021-06-09,58.3529052734375
2021-06-10,58.64785385131836
2021-06-11,58.786109924316406
2021-06-14,58.79533004760742
2021-06-15,58.67550277709961
2021-06-16,57.82754135131836
2021-06-17,58.2422981262207
2021-06-18,57.27451705932617
2021-06-21,57.75381088256836
2021-06-22,57.94736099243164
2021-06-23,57.44964599609375
2021-06-24,57.744590759277344
2021-06-25,58.23308563232422
2021-06-28,58.2422981262207
2021-06-29,57.74672317504883
2021-06-30,57.839351654052734
2021-07-01,57.867149353027344
2021-07-02,57.987571716308594
2021-07-06,57.74672317504883
2021-07-07,58.404415130615234
2021-07-08,58.31178283691406
2021-07-09,58.37662887573242
2021-07-12,58.31178283691406
2021-07-13,58.42293930053711
2021-07-14,58.83051300048828
2021-07-15,59.395572662353516
2021-07-16,59.52524948120117
2021-07-19,59.30293655395508
2021-07-20,59.66420364379883
2021-07-21,59.30293655395508
2021-07-22,59.136199951171875
2021-07-23,60.10884094238281
2021-07-26,60.06252670288086
2021-07-27,60.423789978027344
2021-07-28,58.72862243652344
2021-07-29,58.663780212402344
2021-07-30,58.598941802978516
2021-08-02,58.784202575683594
2021-08-03,58.7100944519043
2021-08-04,57.17240524291992
2021-08-05,57.302093505859375
2021-08-06,57.218727111816406
2021-08-09,57.4503059387207
2021-08-10,57.46883010864258
2021-08-11,57.867149353027344
2021-08-12,57.79303741455078
2021-08-13,58.69157028198242
2021-08-16,58.99725341796875
2021-08-17,59.339988708496094
2021-08-18,58.33030700683594
2021-08-19,58.98799133300781
2021-08-20,58.811988830566406
2021-08-23,58.45072937011719
2021-08-24,57.66335678100586
2021-08-25,57.31135177612305
2021-08-26,56.91303253173828
2021-08-27,57.32987976074219
2021-08-30,57.57999038696289
2021-08-31,57.49661636352539
2021-09-01,57.737464904785156
2021-09-02,57.357666015625
2021-09-03,57.17240524291992
2021-09-07,55.616188049316406
2021-09-08,56.375770568847656
2021-09-09,56.144195556640625
2021-09-10,55.79218292236328
2021-09-13,56.29240417480469
2021-09-14,55.90335464477539
2021-09-15,56.05155944824219
2021-09-16,56.2368278503418
2021-09-17,56.44988250732422
2021-09-20,55.977455139160156
2021-09-21,55.78293228149414
