,EQIX
2020-12-18,662.4932250976562
2020-12-21,657.5180053710938
2020-12-22,665.956298828125
2020-12-23,656.2857666015625
2020-12-24,658.9555053710938
2020-12-28,662.6332397460938
2020-12-29,661.6063842773438
2020-12-30,653.7843017578125
2020-12-31,666.6470947265625
2021-01-04,646.4660034179688
2021-01-05,645.513916015625
2021-01-06,624.4367065429688
2021-01-07,633.7804565429688
2021-01-08,646.3727416992188
2021-01-11,636.9728393554688
2021-01-12,631.5030517578125
2021-01-13,644.1885375976562
2021-01-14,643.768310546875
2021-01-15,660.6544799804688
2021-01-19,668.6447143554688
2021-01-20,679.3045043945312
2021-01-21,671.9864501953125
2021-01-22,673.162353515625
2021-01-25,675.029296875
2021-01-26,686.3054809570312
2021-01-27,683.0011596679688
2021-01-28,689.0963745117188
2021-01-29,690.7112426757812
2021-02-01,706.3558349609375
2021-02-02,717.4171142578125
2021-02-03,704.647705078125
2021-02-04,697.19873046875
2021-02-05,704.0874633789062
2021-02-08,697.6654052734375
2021-02-09,700.5217895507812
2021-02-10,701.0164794921875
2021-02-11,669.932861328125
2021-02-12,662.5680541992188
2021-02-16,642.2935791015625
2021-02-17,648.2116088867188
2021-02-18,639.9318237304688
2021-02-19,634.947265625
2021-02-22,622.924560546875
2021-02-23,617.6278686523438
2021-02-24,599.0469360351562
2021-02-25,598.4564208984375
2021-02-26,607.8031616210938
2021-03-01,607.72802734375
2021-03-02,600.031494140625
2021-03-03,573.1165771484375
2021-03-04,565.8322143554688
2021-03-05,572.3851928710938
2021-03-08,557.7230834960938
2021-03-09,583.775634765625
2021-03-10,598.765869140625
2021-03-11,613.662353515625
2021-03-12,626.2338256835938
2021-03-15,627.68701171875
2021-03-16,629.35546875
2021-03-17,615.4060668945312
2021-03-18,606.3875122070312
2021-03-19,612.2279663085938
2021-03-22,625.0057373046875
2021-03-23,633.51806640625
2021-03-24,620.927734375
2021-03-25,626.3464965820312
2021-03-26,640.8865356445312
2021-03-29,644.8334350585938
2021-03-30,632.646240234375
2021-03-31,637.0992431640625
2021-04-01,635.6087036132812
2021-04-05,647.0831909179688
2021-04-06,645.6489868164062
2021-04-07,641.6553955078125
2021-04-08,644.6927490234375
2021-04-09,644.4772338867188
2021-04-12,648.1987915039062
2021-04-13,661.642333984375
2021-04-14,650.8988647460938
2021-04-15,673.9044799804688
2021-04-16,663.8641357421875
2021-04-19,672.4420776367188
2021-04-20,680.8135986328125
2021-04-21,680.7293090820312
2021-04-22,673.0795288085938
2021-04-23,673.2107543945312
2021-04-26,672.14208984375
2021-04-27,669.2452392578125
2021-04-28,663.1517333984375
2021-04-29,661.9329223632812
2021-04-30,675.695068359375
2021-05-03,666.5922241210938
2021-05-04,665.6359252929688
2021-05-05,649.6707763671875
2021-05-06,655.3704833984375
2021-05-07,668.8421020507812
2021-05-10,674.9825439453125
2021-05-11,673.1451416015625
2021-05-12,661.2578735351562
2021-05-13,670.6983032226562
2021-05-14,676.8764038085938
2021-05-17,670.3233032226562
2021-05-18,673.30712890625
2021-05-19,673.3353271484375
2021-05-20,685.3457641601562
2021-05-21,682.6161499023438
2021-05-24,680.8090209960938
2021-05-25,692.0663452148438
2021-05-26,692.1887817382812
2021-05-27,691.90625
2021-05-28,693.4404907226562
2021-06-01,695.9818725585938
2021-06-02,713.5927124023438
2021-06-03,731.391845703125
2021-06-04,739.2514038085938
2021-06-07,748.3532104492188
2021-06-08,768.684326171875
2021-06-09,762.4251098632812
2021-06-10,774.6423950195312
2021-06-11,768.1007690429688
2021-06-14,775.583740234375
2021-06-15,761.4743041992188
2021-06-16,762.3873291015625
2021-06-17,767.5548095703125
2021-06-18,774.4354858398438
2021-06-21,774.1813354492188
2021-06-22,774.247314453125
2021-06-23,756.3540649414062
2021-06-24,733.5379638671875
2021-06-25,737.3782958984375
2021-06-28,751.6099853515625
2021-06-29,755.1961669921875
2021-06-30,755.4503173828125
2021-07-01,750.78173828125
2021-07-02,753.4737548828125
2021-07-06,770.9903564453125
2021-07-07,779.1793823242188
2021-07-08,779.537109375
2021-07-09,772.12939453125
2021-07-12,780.8170776367188
2021-07-13,774.6895751953125
2021-07-14,782.9725341796875
2021-07-15,785.0432739257812
2021-07-16,782.6243286132812
2021-07-19,785.2881469726562
2021-07-20,783.7350463867188
2021-07-21,771.6021728515625
2021-07-22,772.5999755859375
2021-07-23,784.5161743164062
2021-07-26,780.779541015625
2021-07-27,792.3758544921875
2021-07-28,787.1799926757812
2021-07-29,740.1832885742188
2021-07-30,772.214111328125
2021-08-02,770.8775024414062
2021-08-03,772.1199340820312
2021-08-04,779.6782836914062
2021-08-05,781.8242797851562
2021-08-06,771.9693603515625
2021-08-09,767.112548828125
2021-08-10,751.0922241210938
2021-08-11,759.4788208007812
2021-08-12,764.0346069335938
2021-08-13,766.2654418945312
2021-08-16,774.5955200195312
2021-08-17,781.9063110351562
2021-08-18,769.1171264648438
2021-08-19,787.7151489257812
2021-08-20,789.2926025390625
2021-08-23,789.2359008789062
2021-08-24,774.7559204101562
2021-08-25,762.7508544921875
2021-08-26,779.2425537109375
2021-08-27,779.072509765625
2021-08-30,793.4486694335938
2021-08-31,796.6788940429688
2021-09-01,820.6610107421875
2021-09-02,825.9408569335938
2021-09-03,833.8753051757812
2021-09-07,832.8645629882812
2021-09-08,833.384033203125
2021-09-09,807.1728515625
2021-09-10,797.1984252929688
2021-09-13,792.9857788085938
2021-09-14,788.5935668945312
2021-09-15,796.6694946289062
2021-09-16,805.9354858398438
2021-09-17,824.1936645507812
2021-09-20,803.0830078125
2021-09-21,801.1655883789062
2021-09-22,812.4246215820312
2021-09-23,800.9861450195312
2021-09-24,788.395263671875
2021-09-27,762.7508544921875
2021-09-28,754.6371459960938
2021-09-29,757.1307373046875
2021-09-30,746.315673828125
2021-10-01,745.5504760742188
2021-10-04,742.0463256835938
2021-10-05,717.9224853515625
2021-10-06,720.0479125976562
2021-10-07,723.9865112304688
2021-10-08,709.3178100585938
2021-10-11,708.4203491210938
2021-10-12,717.3179931640625
2021-10-13,721.1151733398438
2021-10-14,726.9712524414062
2021-10-15,738.060302734375
2021-10-18,725.195556640625
2021-10-19,736.435791015625
2021-10-20,749.8199462890625
2021-10-21,765.2349853515625
2021-10-22,775.4928588867188
2021-10-25,777.1552124023438
2021-10-26,785.72216796875
2021-10-27,779.08203125
2021-10-28,800.3153076171875
2021-10-29,790.6527099609375
2021-11-01,784.4093017578125
2021-11-02,790.5015258789062
2021-11-03,791.4178466796875
2021-11-04,759.0293579101562
2021-11-05,738.5609130859375
2021-11-08,743.2647705078125
2021-11-09,753.5508422851562
2021-11-10,738.0792236328125
2021-11-11,731.7129516601562
2021-11-12,732.3929443359375
2021-11-15,753.59814453125
2021-11-16,753.7213134765625
2021-11-17,756.470458984375
2021-11-18,751.5789794921875
2021-11-19,747.4933471679688
2021-11-22,736.7623291015625
2021-11-23,738.8004760742188
2021-11-24,756.0818481445312
2021-11-26,752.5269165039062
2021-11-29,777.3253784179688
2021-11-30,769.931396484375
2021-12-01,761.6367797851562
2021-12-02,757.0486450195312
2021-12-03,752.7070922851562
2021-12-06,755.02001953125
2021-12-07,770.5571899414062
2021-12-08,772.0739135742188
2021-12-09,757.228759765625
2021-12-10,756.3661499023438
2021-12-13,773.6948852539062
2021-12-14,763.8930053710938
2021-12-15,774.5670166015625
2021-12-16,780.0745849609375
2021-12-17,779.4678955078125
2021-12-20,779.5531616210938
2021-12-21,762.7078857421875
2021-12-22,776.12158203125
2021-12-23,776.1500854492188
2021-12-27,791.649169921875
2021-12-28,794.3981323242188
2021-12-29,798.1805419921875
2021-12-30,801.4889526367188
2021-12-31,801.8206787109375
2022-01-03,792.596923828125
2022-01-04,772.2349243164062
2022-01-05,748.0335693359375
2022-01-06,734.7432861328125
2022-01-07,734.6104736328125
2022-01-10,724.552734375
2022-01-11,726.969970703125
2022-01-12,724.6759033203125
2022-01-13,709.186279296875
2022-01-14,707.8970336914062
2022-01-18,704.2758178710938
