,EQR
2017-08-25,52.44004440307617
2017-08-28,52.000099182128906
2017-08-29,51.83027267456055
2017-08-30,51.95378112792969
2017-08-31,51.83027267456055
2017-09-01,51.70677947998047
2017-09-05,51.82257080078125
2017-09-06,51.884334564208984
2017-09-07,52.27025604248047
2017-09-08,52.55583190917969
2017-09-11,52.95719528198242
2017-09-12,52.18533706665039
2017-09-13,51.95378112792969
2017-09-14,52.0155143737793
2017-09-15,52.393733978271484
2017-09-18,51.97693634033203
2017-09-19,51.58330154418945
2017-09-20,51.498390197753906
2017-09-21,51.305419921875
2017-09-22,51.238529205322266
2017-09-25,51.39408493041992
2017-09-26,51.35518264770508
2017-09-27,51.036319732666016
2017-09-28,51.207427978515625
2017-09-29,51.27742385864258
2017-10-02,51.02076721191406
2017-10-03,50.98187255859375
2017-10-04,51.736289978027344
2017-10-05,51.77518844604492
2017-10-06,51.65851593017578
2017-10-09,51.67407989501953
2017-10-10,51.64296340942383
2017-10-11,51.69740295410156
2017-10-12,52.288509368896484
2017-10-13,52.49071502685547
2017-10-16,52.31961441040039
2017-10-17,52.01628112792969
2017-10-18,51.891841888427734
2017-10-19,51.37852478027344
2017-10-20,51.44074249267578
2017-10-23,51.85295104980469
2017-10-24,51.16853713989258
2017-10-25,52.01628112792969
2017-10-26,52.226287841796875
2017-10-27,52.61515808105469
2017-10-30,52.125179290771484
2017-10-31,52.31184768676758
2017-11-01,52.73959732055664
2017-11-02,51.992950439453125
2017-11-03,53.05070114135742
2017-11-06,53.82845687866211
2017-11-07,54.10066604614258
2017-11-08,54.730648040771484
2017-11-09,54.34955978393555
2017-11-10,53.85956573486328
2017-11-13,54.55955505371094
2017-11-14,54.42732620239258
2017-11-15,53.68846130371094
2017-11-16,53.83625030517578
2017-11-17,53.136253356933594
2017-11-20,52.82515335083008
2017-11-21,52.965152740478516
2017-11-22,52.99626922607422
2017-11-24,53.05070114135742
2017-11-27,52.59960174560547
2017-11-28,52.03185272216797
2017-11-29,51.907405853271484
2017-11-30,51.96962356567383
2017-12-01,51.744075775146484
2017-12-04,51.56519317626953
2017-12-05,50.95076370239258
2017-12-06,50.865211486816406
2017-12-07,50.67076873779297
2017-12-08,51.1840934753418
2017-12-11,51.2696418762207
2017-12-12,51.56519317626953
2017-12-13,51.04409408569336
2017-12-14,50.865211486816406
2017-12-15,51.06743621826172
2017-12-18,51.02076721191406
2017-12-19,50.00968551635742
2017-12-20,49.628578186035156
2017-12-21,49.30192565917969
2017-12-22,49.62080764770508
2017-12-26,49.85411834716797
2017-12-27,49.83858108520508
2017-12-28,49.97079086303711
2017-12-29,49.989601135253906
2018-01-02,49.78578186035156
2018-01-03,50.04447937011719
2018-01-04,49.182193756103516
2018-01-05,49.142982482910156
2018-01-08,49.472232818603516
2018-01-09,48.87646484375
2018-01-10,48.17877197265625
2018-01-11,47.78683090209961
2018-01-12,47.363521575927734
2018-01-16,47.55950164794922
2018-01-17,47.700599670410156
2018-01-18,47.38703918457031
2018-01-19,47.40272903442383
2018-01-22,47.95928955078125
2018-01-23,48.43748474121094
2018-01-24,48.16310501098633
2018-01-25,47.98279571533203
2018-01-26,48.241493225097656
2018-01-29,47.98279571533203
2018-01-30,47.48110580444336
2018-01-31,48.2963752746582
2018-02-01,47.29296875
2018-02-02,46.99509048461914
2018-02-05,45.505672454833984
2018-02-06,45.2391471862793
2018-02-07,44.57283020019531
2018-02-08,43.318572998046875
2018-02-09,44.408203125
2018-02-12,44.37684631347656
2018-02-13,44.67473602294922
2018-02-14,44.42387771606445
2018-02-15,45.395912170410156
2018-02-16,45.44295883178711
2018-02-20,45.18426513671875
2018-02-21,43.79676055908203
