,CTSH
2021-06-08,67.63037109375
2021-06-09,67.45048522949219
2021-06-10,67.37477111816406
2021-06-11,67.45048522949219
2021-06-14,67.01502227783203
2021-06-15,66.59849548339844
2021-06-16,66.2766342163086
2021-06-17,65.48140716552734
2021-06-18,64.67672729492188
2021-06-21,65.90741729736328
2021-06-22,65.82221984863281
2021-06-23,65.42462158203125
2021-06-24,66.09674835205078
2021-06-25,66.73102569580078
2021-06-28,66.4091567993164
2021-06-29,66.66476440429688
2021-06-30,65.56661987304688
2021-07-01,66.11568450927734
2021-07-02,65.89795684814453
2021-07-06,65.06489562988281
2021-07-07,65.25419616699219
2021-07-08,64.72408294677734
2021-07-09,65.4530258178711
2021-07-12,65.55714416503906
2021-07-13,65.03648376464844
2021-07-14,65.5382308959961
2021-07-15,65.15955352783203
2021-07-16,64.60101318359375
2021-07-19,62.91593551635742
2021-07-20,64.00460815429688
2021-07-21,64.13713836669922
2021-07-22,64.47793579101562
2021-07-23,65.59501647949219
2021-07-26,65.72754669189453
2021-07-27,65.44355773925781
2021-07-28,66.06834411621094
2021-07-29,69.97811889648438
2021-07-30,69.60892486572266
2021-08-02,69.74143981933594
2021-08-03,70.90584564208984
2021-08-04,69.6373062133789
2021-08-05,69.48585510253906
2021-08-06,69.10717010498047
2021-08-09,68.66223907470703
2021-08-10,69.17344665527344
2021-08-11,71.04785919189453
2021-08-12,72.43946838378906
2021-08-13,73.49026489257812
2021-08-16,73.06427001953125
2021-08-17,72.90332794189453
2021-08-18,72.58145141601562
2021-08-19,71.97369384765625
2021-08-20,72.83787536621094
2021-08-23,73.46463775634766
2021-08-24,74.0819091796875
2021-08-25,73.58808898925781
2021-08-26,73.10379028320312
2021-08-27,73.3506851196289
2021-08-30,72.98033142089844
2021-08-31,72.46749877929688
2021-09-01,72.96133422851562
2021-09-02,73.41716766357422
2021-09-03,72.69541931152344
2021-09-07,72.37255859375
2021-09-08,72.79988861083984
2021-09-09,72.62895965576172
2021-09-10,72.42003631591797
2021-09-13,72.552978515625
2021-09-14,71.86923217773438
2021-09-15,72.62895965576172
2021-09-16,72.89486694335938
2021-09-17,71.67931365966797
2021-09-20,71.28045654296875
2021-09-21,70.7581558227539
2021-09-22,71.59384155273438
2021-09-23,73.26520538330078
2021-09-24,73.7115478515625
2021-09-27,74.10088348388672
2021-09-28,72.5149917602539
2021-09-29,71.7742691040039
2021-09-30,70.47323608398438
2021-10-01,71.47986602783203
2021-10-04,70.59671020507812
2021-10-05,70.68217468261719
2021-10-06,70.61571502685547
2021-10-07,71.47038269042969
