,EIX
2022-05-25,61.35211944580078
2022-05-26,61.89909744262695
2022-05-27,62.822696685791016
2022-05-31,62.68820571899414
2022-06-01,62.526790618896484
2022-06-02,63.091712951660156
2022-06-03,62.571617126464844
2022-06-06,62.23088073730469
2022-06-07,62.97514724731445
2022-06-08,61.9887580871582
2022-06-09,59.845664978027344
2022-06-10,60.060874938964844
2022-06-13,55.936058044433594
2022-06-14,54.6806755065918
2022-06-15,54.815181732177734
2022-06-16,54.09782409667969
2022-06-17,52.833473205566406
2022-06-21,54.05298614501953
2022-06-22,53.909515380859375
2022-06-23,54.447540283203125
2022-06-24,56.30370330810547
2022-06-27,56.73411560058594
2022-06-28,55.94502639770508
2022-06-29,56.36647033691406
2022-06-30,56.707218170166016
2022-07-01,57.80436325073242
2022-07-05,55.936492919921875
2022-07-06,56.44426727294922
2022-07-07,56.87042236328125
2022-07-08,56.643741607666016
2022-07-11,56.67094421386719
2022-07-12,56.471466064453125
2022-07-13,56.398921966552734
2022-07-14,55.57380294799805
2022-07-15,55.8186149597168
2022-07-18,55.29270553588867
2022-07-19,55.891151428222656
2022-07-20,55.18389892578125
2022-07-21,55.09322738647461
2022-07-22,55.61006164550781
2022-07-25,56.89762496948242
2022-07-26,57.323795318603516
2022-07-27,57.477935791015625
2022-07-28,59.382076263427734
2022-07-29,61.44944381713867
2022-08-01,60.742183685302734
2022-08-02,62.22016525268555
2022-08-03,62.83674240112305
2022-08-04,62.51939392089844
2022-08-05,61.893741607666016
2022-08-08,61.385963439941406
2022-08-09,61.75772476196289
2022-08-10,61.75772476196289
2022-08-11,62.5647087097168
2022-08-12,64.1515121459961
2022-08-15,64.74089813232422
2022-08-16,65.11264038085938
2022-08-17,65.33932495117188
2022-08-18,65.09451293945312
2022-08-19,64.86783599853516
2022-08-22,63.680015563964844
2022-08-23,62.89115524291992
2022-08-24,62.709800720214844
2022-08-25,63.55305862426758
2022-08-26,62.809539794921875
2022-08-29,63.154090881347656
2022-08-30,62.40150451660156
2022-08-31,61.44944381713867
2022-09-01,61.90279769897461
2022-09-02,61.6217155456543
2022-09-06,59.72663497924805
2022-09-07,61.68518829345703
2022-09-08,62.13856506347656
2022-09-09,62.6553955078125
2022-09-12,64.48701477050781
2022-09-13,62.474063873291016
2022-09-14,63.009033203125
2022-09-15,61.93000793457031
2022-09-16,61.222747802734375
2022-09-19,61.99347686767578
2022-09-20,61.395042419433594
2022-09-21,60.03493118286133
2022-09-22,59.66317367553711
2022-09-23,58.81084060668945
2022-09-26,57.27845764160156
2022-09-27,55.646331787109375
2022-09-28,55.59193420410156
2022-09-29,52.70272445678711
2022-09-30,51.89558410644531
2022-10-03,54.48210525512695
2022-10-04,55.79372024536133
2022-10-05,55.11498260498047
2022-10-06,53.79420471191406
2022-10-07,53.77586364746094
2022-10-10,53.0604362487793
2022-10-11,52.70272445678711
2022-10-12,50.96003341674805
2022-10-13,52.189090728759766
2022-10-14,50.47391128540039
2022-10-17,52.3908805847168
2022-10-18,52.666038513183594
2022-10-19,52.04234313964844
2022-10-20,50.391361236572266
2022-10-21,51.03341293334961
2022-10-24,51.152652740478516
2022-10-25,52.14323425292969
2022-10-26,52.17075729370117
2022-10-27,53.54655838012695
2022-10-28,55.243385314941406
2022-10-31,55.069122314453125
2022-11-01,55.500205993652344
2022-11-02,53.89509201049805
2022-11-03,53.61076736450195
2022-11-04,54.14273452758789
2022-11-07,52.96871566772461
2022-11-08,53.20718765258789
2022-11-09,52.56515121459961
2022-11-10,55.298431396484375
2022-11-11,54.9131965637207
2022-11-14,54.95905685424805
2022-11-15,55.64696502685547
2022-11-16,55.9771614074707
2022-11-17,54.88568115234375
2022-11-18,56.61003112792969
2022-11-21,56.83015823364258
2022-11-22,57.26124572753906
2022-11-23,58.45362091064453
2022-11-25,58.91222381591797
2022-11-28,58.14176559448242
2022-11-29,58.2518310546875
2022-11-30,61.14104080200195
2022-12-01,60.09541702270508
2022-12-02,59.95783615112305
2022-12-05,59.72853088378906
2022-12-06,60.55401611328125
2022-12-07,59.95783615112305
