,WRB
2019-07-18,26.890186309814453
2019-07-19,26.493810653686523
2019-07-22,26.366968154907227
2019-07-23,26.38678741455078
2019-07-24,27.191434860229492
2019-07-25,27.4332218170166
2019-07-26,27.873201370239258
2019-07-29,27.7701416015625
2019-07-30,27.928682327270508
2019-07-31,27.504566192626953
2019-08-01,27.27071189880371
2019-08-02,27.5679931640625
2019-08-05,26.90604019165039
2019-08-06,27.61555290222168
2019-08-07,27.896987915039062
2019-08-08,28.491548538208008
2019-08-09,28.408308029174805
2019-08-12,28.218050003051758
2019-08-13,28.598569869995117
2019-08-14,27.93661880493164
2019-08-15,28.146699905395508
2019-08-16,28.63028335571289
2019-08-19,28.94341468811035
2019-08-20,28.598569869995117
2019-08-21,28.50740623474121
2019-08-22,28.816574096679688
2019-08-23,28.26165199279785
2019-08-26,28.566862106323242
2019-08-27,28.451908111572266
2019-08-28,28.225975036621094
2019-08-29,28.459835052490234
2019-08-30,28.24183464050293
2019-09-03,28.305253982543945
2019-09-04,28.539113998413086
2019-09-05,28.51136589050293
2019-09-06,28.62631607055664
2019-09-09,28.30921173095703
2019-09-10,28.07138442993164
2019-09-11,28.19823455810547
2019-09-12,28.24578857421875
2019-09-13,28.138774871826172
2019-09-16,28.10309600830078
2019-09-17,28.547040939331055
2019-09-18,28.551013946533203
2019-09-19,28.586742401123047
2019-09-20,28.475582122802734
2019-09-23,28.70186424255371
2019-09-24,28.741561889648438
2019-09-25,28.813018798828125
2019-09-26,28.84477424621582
2019-09-27,28.471616744995117
2019-09-30,28.674076080322266
2019-10-01,28.22945213317871
2019-10-02,28.078601837158203
2019-10-03,28.1857852935791
2019-10-04,28.74553108215332
2019-10-07,28.646286010742188
2019-10-08,28.023025512695312
2019-10-09,28.257244110107422
2019-10-10,28.312822341918945
2019-10-11,28.213573455810547
2019-10-14,28.233423233032227
2019-10-15,28.15005874633789
2019-10-16,27.975383758544922
2019-10-17,28.118297576904297
2019-10-18,28.249303817749023
2019-10-21,28.15005874633789
2019-10-22,26.935287475585938
2019-10-23,28.53116226196289
2019-10-24,28.058753967285156
2019-10-25,27.566492080688477
2019-10-28,27.403730392456055
2019-10-29,27.64192008972168
2019-10-30,27.876140594482422
2019-10-31,27.749109268188477
2019-11-01,27.57840347290039
2019-11-04,26.97896385192871
2019-11-05,26.84795379638672
2019-11-06,27.30845832824707
2019-11-07,26.994836807250977
2019-11-08,26.951169967651367
2019-11-11,27.074237823486328
2019-11-12,27.026594161987305
2019-11-13,27.22509002685547
2019-11-14,27.177452087402344
2019-11-15,26.935287475585938
2019-11-18,27.15760040283203
2019-11-19,27.610164642333984
2019-11-20,27.67765235900879
2019-11-21,27.24757194519043
