,ALB
2022-07-28,230.03692626953125
2022-07-29,237.81446838378906
2022-08-01,233.5801239013672
2022-08-02,237.40565490722656
2022-08-03,233.17127990722656
2022-08-04,228.64495849609375
2022-08-05,231.66250610351562
2022-08-08,238.33042907714844
2022-08-09,238.15518188476562
2022-08-10,252.40594482421875
2022-08-11,258.6357727050781
2022-08-12,274.0838317871094
2022-08-15,276.5270690917969
2022-08-16,273.3440246582031
2022-08-17,270.2388610839844
2022-08-18,272.07861328125
2022-08-19,262.8409118652344
2022-08-22,268.36993408203125
2022-08-23,273.5582275390625
2022-08-24,280.22613525390625
2022-08-25,287.81878662109375
2022-08-26,280.4986572265625
2022-08-29,277.3934326171875
2022-08-30,265.5177917480469
2022-08-31,260.83563232421875
2022-09-01,250.12814331054688
2022-09-02,252.97052001953125
2022-09-06,259.60919189453125
2022-09-07,271.7768859863281
2022-09-08,283.68170166015625
2022-09-09,292.3840026855469
2022-09-12,289.0744323730469
2022-09-13,290.16461181640625
2022-09-14,298.88641357421875
2022-09-15,279.4857177734375
2022-09-16,280.041259765625
2022-09-19,289.4272766113281
2022-09-20,280.3628845214844
2022-09-21,277.8092346191406
2022-09-22,265.2554931640625
2022-09-23,262.6239318847656
2022-09-26,258.3158874511719
2022-09-27,262.8481140136719
2022-09-28,270.90863037109375
2022-09-29,258.7154846191406
2022-09-30,257.74090576171875
2022-10-03,266.79559326171875
2022-10-04,276.5909423828125
2022-10-05,269.7877197265625
2022-10-06,273.8229064941406
2022-10-07,265.6259460449219
2022-10-10,271.0547790527344
2022-10-11,266.07427978515625
2022-10-12,245.07992553710938
2022-10-13,249.51466369628906
2022-10-14,231.4541015625
2022-10-17,241.74655151367188
2022-10-18,245.29434204101562
2022-10-19,250.01173400878906
2022-10-20,248.9201202392578
2022-10-21,263.1697692871094
2022-10-24,263.7155456542969
2022-10-25,274.3004455566406
2022-10-26,275.002197265625
2022-10-27,275.0216979980469
2022-10-28,273.0625915527344
2022-10-31,272.77996826171875
2022-11-01,271.9320068359375
2022-11-02,259.76812744140625
2022-11-03,267.6044921875
2022-11-04,277.77020263671875
2022-11-07,279.2322692871094
2022-11-08,298.2577209472656
2022-11-09,292.5267639160156
2022-11-10,312.643798828125
2022-11-11,317.1370849609375
2022-11-14,308.3358154296875
2022-11-15,288.3648681640625
2022-11-16,279.50518798828125
2022-11-17,270.4212951660156
2022-11-18,269.96319580078125
2022-11-21,275.7137451171875
2022-11-22,275.9183654785156
2022-11-23,276.7078857421875
2022-11-25,265.9085693359375
2022-11-28,259.36846923828125
2022-11-29,263.17950439453125
2022-11-30,270.94757080078125
2022-12-01,268.3160400390625
2022-12-02,277.0782775878906
2022-12-05,258.5108337402344
2022-12-06,251.45425415039062
2022-12-07,251.08387756347656
2022-12-08,249.5438995361328
2022-12-09,246.83433532714844
2022-12-12,252.78952026367188
2022-12-13,255.27491760253906
2022-12-14,241.5808868408203
2022-12-15,234.78152465820312
2022-12-16,237.0853729248047
2022-12-19,227.791748046875
2022-12-20,227.94793701171875
2022-12-21,227.09861755371094
2022-12-22,220.60675048828125
2022-12-23,221.56346130371094
2022-12-27,209.06781005859375
2022-12-28,208.9506378173828
2022-12-29,212.29908752441406
2022-12-30,211.70361328125
2023-01-03,209.3997039794922
2023-01-04,218.25404357910156
2023-01-05,213.4119873046875
2023-01-06,216.3699188232422
2023-01-09,218.67384338378906
2023-01-10,218.57620239257812
2023-01-11,230.93516540527344
