,IR
2022-09-27,42.832000732421875
2022-09-28,44.00930404663086
2022-09-29,43.59026336669922
2022-09-30,43.1612434387207
2022-10-03,44.92720413208008
2022-10-04,46.962547302246094
2022-10-05,46.83283996582031
2022-10-06,46.90268325805664
2022-10-07,45.54579544067383
2022-10-10,45.056907653808594
2022-10-11,45.316314697265625
2022-10-12,45.026981353759766
2022-10-13,46.68318557739258
2022-10-14,45.00701904296875
2022-10-17,46.623321533203125
2022-10-18,46.91265869140625
2022-10-19,46.20428466796875
2022-10-20,45.09680938720703
2022-10-21,46.68318557739258
2022-10-24,47.68090057373047
2022-10-25,48.77838516235352
2022-10-26,48.4990234375
2022-10-27,48.518985748291016
2022-10-28,50.3348274230957
2022-10-31,50.38471221923828
2022-11-01,50.18517303466797
2022-11-02,48.938026428222656
2022-11-03,51.25272750854492
2022-11-04,52.7991943359375
2022-11-07,53.11846160888672
2022-11-08,52.12074279785156
2022-11-09,51.61191177368164
2022-11-10,53.75699996948242
2022-11-11,55.183738708496094
2022-11-14,55.064002990722656
2022-11-15,55.403358459472656
2022-11-16,54.88435745239258
2022-11-17,53.68666458129883
2022-11-18,53.596832275390625
2022-11-21,53.49702453613281
2022-11-22,53.68666458129883
2022-11-23,53.53694915771485
2022-11-25,53.31736755371094
2022-11-28,53.05786895751953
2022-11-29,52.718528747558594
2022-11-30,53.86631774902344
2022-12-01,54.185699462890625
2022-12-02,54.4452018737793
2022-12-05,53.21756362915039
2022-12-06,52.62869644165039
2022-12-07,52.70854568481445
2022-12-08,53.157676696777344
2022-12-09,53.147701263427734
2022-12-12,54.135799407958984
2022-12-13,55.423316955566406
2022-12-14,54.624855041503906
2022-12-15,52.49894332885742
2022-12-16,51.70048904418945
2022-12-19,50.971885681152344
2022-12-20,51.80029296875
2022-12-21,52.61871719360352
2022-12-22,51.90010070800781
2022-12-23,52.179561614990234
2022-12-27,52.48897171020508
2022-12-28,51.64059829711914
2022-12-29,52.68858337402344
2022-12-30,52.149620056152344
2023-01-03,52.89817810058594
2023-01-04,53.54693603515625
2023-01-05,53.28742980957031
2023-01-06,55.014102935791016
2023-01-09,55.67283630371094
2023-01-10,56.32158660888672
2023-01-11,56.67091751098633
2023-01-12,57.279747009277344
2023-01-13,57.41947555541992
2023-01-17,56.690879821777344
2023-01-18,55.792606353759766
2023-01-19,53.776493072509766
2023-01-20,55.2436637878418
2023-01-23,55.78262710571289
2023-01-24,56.27168655395508
2023-01-25,55.84251403808594
2023-01-26,55.423316955566406
2023-01-27,55.553070068359375
2023-01-30,55.203739166259766
2023-01-31,55.89241790771485
2023-02-01,55.553070068359375
2023-02-02,55.90239334106445
2023-02-03,57.000282287597656
2023-02-06,56.28165817260742
2023-02-07,57.18991470336914
2023-02-08,57.26976776123047
2023-02-09,56.331565856933594
2023-02-10,56.58108901977539
2023-02-13,57.309688568115234
2023-02-14,57.31966781616211
2023-02-15,58.16802978515625
2023-02-16,57.279747009277344
2023-02-17,57.469383239746094
2023-02-21,56.27168655395508
2023-02-22,57.349613189697266
2023-02-23,57.77878189086914
2023-02-24,57.56918716430664
2023-02-27,58.267845153808594
2023-02-28,57.978302001953125
2023-03-01,57.9483528137207
2023-03-02,58.197959899902344
2023-03-03,59.37609100341797
2023-03-06,59.77545928955078
2023-03-07,59.27625274658203
2023-03-08,59.366111755371094
2023-03-09,58.04819107055664
2023-03-10,55.6519775390625
2023-03-13,54.62360382080078
2023-03-14,55.61204528808594
2023-03-15,52.84641647338867
2023-03-16,53.43548583984375
2023-03-17,52.377159118652344
2023-03-20,53.82487106323242
2023-03-21,55.81172561645508
2023-03-22,54.87321853637695
2023-03-23,54.86322784423828
2023-03-24,54.9431037902832
2023-03-27,55.701904296875
2023-03-28,55.87163162231445
2023-03-29,56.61046600341797
2023-03-30,57.23947525024414
2023-03-31,58.08812713623047
2023-04-03,58.197959899902344
2023-04-04,55.17273712158203
2023-04-05,54.80332565307617
2023-04-06,54.37400436401367
2023-04-10,55.38241195678711
2023-04-11,55.51219940185547
2023-04-12,56.33091354370117
2023-04-13,55.891597747802734
2023-04-14,55.61204528808594
2023-04-17,55.99144744873047
2023-04-18,56.23106384277344
2023-04-19,55.52219009399414
2023-04-20,55.2725830078125
2023-04-21,55.25261306762695
2023-04-24,55.28256607055664
2023-04-25,54.35403823852539
2023-04-26,53.325660705566406
2023-04-27,56.90998840332031
2023-04-28,56.929962158203125
2023-05-01,57.02980041503906
2023-05-02,57.00983047485352
2023-05-03,56.54057312011719
2023-05-04,56.99985122680664
2023-05-05,59.076560974121094
2023-05-08,58.846927642822266
2023-05-09,58.87688064575195
2023-05-10,58.31776428222656
2023-05-11,57.85849380493164
2023-05-12,58.158016204833984
2023-05-15,58.836944580078125
2023-05-16,58.43757629394531
2023-05-17,58.93678665161133
2023-05-18,59.83536529541016
2023-05-19,59.66563034057617
2023-05-22,59.64566802978515
2023-05-23,57.93779754638672
2023-05-24,56.83916091918945
2023-05-25,57.50833511352539
2023-05-26,58.81669998168945
2023-05-30,58.36725997924805
2023-05-31,56.589473724365234
2023-06-01,58.0776252746582
2023-06-02,61.28363037109375
