,TFX
2021-07-07,414.1964416503906
2021-07-08,415.1003723144531
2021-07-09,415.4049377441406
2021-07-12,413.0568542480469
2021-07-13,411.41607666015625
2021-07-14,409.93255615234375
2021-07-15,369.60247802734375
2021-07-16,383.4748840332031
2021-07-19,368.5217590332031
2021-07-20,379.3779602050781
2021-07-21,384.0348205566406
2021-07-22,386.26507568359375
2021-07-23,390.9317932128906
2021-07-26,390.71563720703125
2021-07-27,395.23492431640625
2021-07-28,392.2286071777344
2021-07-29,389.0552673339844
2021-07-30,390.4601745605469
2021-08-02,384.4278564453125
2021-08-03,378.2088317871094
2021-08-04,366.86138916015625
2021-08-05,371.21368408203125
2021-08-06,374.2004089355469
2021-08-09,368.5413818359375
2021-08-10,353.9812927246094
2021-08-11,357.6753845214844
2021-08-12,355.3076171875
2021-08-13,359.9984436035156
2021-08-16,366.1642761230469
2021-08-17,372.0547790527344
2021-08-18,365.7807312011719
2021-08-19,369.5963134765625
2021-08-20,370.80584716796875
2021-08-23,376.0767517089844
2021-08-24,379.7546691894531
2021-08-25,378.8794860839844
2021-08-26,379.54815673828125
2021-08-27,381.7705993652344
2021-08-30,386.05816650390625
2021-08-31,388.89031982421875
2021-09-01,390.9554443359375
2021-09-02,397.88824462890625
2021-09-03,391.8109436035156
2021-09-07,392.50921630859375
2021-09-08,393.4631042480469
2021-09-09,378.9974060058594
2021-09-10,366.23309326171875
2021-09-13,371.45489501953125
2021-09-14,380.90521240234375
2021-09-15,382.213134765625
2021-09-16,379.5579833984375
2021-09-17,379.16461181640625
2021-09-20,372.8118591308594
2021-09-21,371.8580627441406
2021-09-22,376.9618225097656
2021-09-23,382.8326721191406
2021-09-24,381.6427307128906
2021-09-27,380.7872619628906
2021-09-28,380.9839172363281
2021-09-29,378.8008117675781
2021-09-30,370.2944641113281
2021-10-01,376.90283203125
2021-10-04,368.12115478515625
2021-10-05,369.3700866699219
2021-10-06,372.44805908203125
2021-10-07,367.77703857421875
2021-10-08,356.88104248046875
2021-10-11,348.2567443847656
2021-10-12,345.6212463378906
2021-10-13,348.62060546875
2021-10-14,358.425048828125
2021-10-15,357.1662292480469
