,LOW
2016-10-24,61.24695587158203
2016-10-25,59.08112335205078
2016-10-26,58.13197326660156
2016-10-27,57.95076370239258
2016-10-28,57.83858108520508
2016-10-31,57.51069259643555
2016-11-01,56.63055419921875
2016-11-02,57.43302917480469
2016-11-03,57.45892333984375
2016-11-04,57.16554641723633
2016-11-07,58.011146545410156
2016-11-08,57.648746490478516
2016-11-09,58.53750228881836
2016-11-10,59.93537139892578
2016-11-11,60.16835403442383
2016-11-14,60.409934997558594
2016-11-15,59.581581115722656
2016-11-16,57.829952239990234
2016-11-17,58.63242721557617
2016-11-18,59.80593490600586
2016-11-21,59.89221954345703
2016-11-22,61.77328872680664
2016-11-23,61.9286003112793
2016-11-25,62.30830764770508
2016-11-28,61.436771392822266
2016-11-29,61.01396942138672
2016-11-30,60.87588882446289
2016-12-01,61.26419448852539
2016-12-02,62.39457321166992
2016-12-05,62.69657516479492
2016-12-06,62.524017333984375
2016-12-07,65.92372131347656
2016-12-08,64.92278289794922
2016-12-09,64.44821166992188
2016-12-12,64.29289245605469
2016-12-13,64.41370391845703
2016-12-14,63.47315216064453
2016-12-15,63.56806182861328
2016-12-16,62.9554328918457
2016-12-19,62.92092514038086
2016-12-20,64.08580017089844
2016-12-21,64.01676177978516
2016-12-22,62.99858474731445
2016-12-23,62.38593673706055
2016-12-27,62.325523376464844
2016-12-28,61.75602340698242
2016-12-29,61.557586669921875
2016-12-30,61.36774826049805
2017-01-03,61.2210578918457
2017-01-04,61.96310806274414
2017-01-05,61.32460021972656
2017-01-06,61.2210578918457
2017-01-09,61.32460021972656
2017-01-10,61.4454231262207
2017-01-11,61.488563537597656
2017-01-12,61.76465606689453
2017-01-13,62.256500244140625
2017-01-17,62.45496368408203
2017-01-18,61.59209442138672
2017-01-19,61.781925201416016
2017-01-20,61.919979095458984
2017-01-23,62.934505462646484
2017-01-24,64.16576385498047
2017-01-25,63.350711822509766
2017-01-26,63.49811553955078
2017-01-27,63.515464782714844
2017-01-30,63.7929573059082
2017-01-31,63.36806106567383
2017-02-01,62.73507308959961
2017-02-02,62.38821029663086
2017-02-03,63.55014419555664
2017-02-06,62.96049499511719
2017-02-07,62.63969421386719
2017-02-08,62.821773529052734
2017-02-09,63.75822448730469
2017-02-10,64.1397705078125
2017-02-13,64.07907104492188
2017-02-14,65.6572036743164
2017-02-15,66.68907165527344
2017-02-16,66.17747497558594
2017-02-17,66.54167175292969
2017-02-21,66.98387908935547
2017-02-22,66.59368896484375
2017-02-23,65.72657012939453
2017-02-24,65.98670196533203
2017-02-27,66.26419830322266
2017-02-28,64.48664093017578
2017-03-01,70.62571716308594
2017-03-02,69.71527862548828
2017-03-03,70.82516479492188
2017-03-06,70.2528305053711
2017-03-07,70.0967788696289
2017-03-08,70.52165222167969
2017-03-09,70.38294219970703
2017-03-10,70.73844909667969
2017-03-13,70.73844909667969
2017-03-14,71.05060577392578
2017-03-15,72.20386505126953
2017-03-16,72.16050720214844
2017-03-17,72.4292984008789
2017-03-20,71.40612030029297
2017-03-21,71.03326416015625
2017-03-22,71.40612030029297
2017-03-23,71.49283599853516
2017-03-24,71.28469848632812
2017-03-27,70.72110748291016
2017-03-28,71.449462890625
2017-03-29,71.28469848632812
2017-03-30,71.36274719238281
2017-03-31,71.28469848632812
2017-04-03,71.13731384277344
2017-04-04,70.74712371826172
2017-04-05,70.77313232421875
2017-04-06,71.07662200927734
2017-04-07,71.22404479980469
2017-04-10,71.46678161621094
2017-04-11,71.4581527709961
2017-04-12,70.98990631103516
2017-04-13,70.28753662109375
2017-04-17,71.05928039550781
2017-04-18,71.21534729003906
2017-04-19,71.09394836425781
2017-04-20,72.22120666503906
2017-04-21,72.37728118896484
2017-04-24,73.29155731201172
2017-04-25,73.58761596679688
2017-04-26,74.21455383300781
2017-04-27,74.2493896484375
2017-04-28,73.9098129272461
2017-05-01,73.4918441772461
2017-05-02,74.34517669677734
2017-05-03,74.47578430175781
2017-05-04,74.36260223388672
2017-05-05,74.88506317138672
2017-05-08,74.88506317138672
2017-05-09,74.75444793701172
2017-05-10,74.93729400634766
2017-05-11,73.75306701660156
2017-05-12,73.8575668334961
2017-05-15,74.17971801757812
2017-05-16,74.32778930664062
2017-05-17,72.92586517333984
2017-05-18,73.18708038330078
2017-05-19,73.65729522705078
2017-05-22,73.18708038330078
2017-05-23,71.69808197021484
2017-05-24,69.5299072265625
2017-05-25,70.81859588623047
2017-05-26,70.45291137695312
2017-05-30,69.14677429199219
2017-05-31,68.58949279785156
2017-06-01,70.03491973876953
2017-06-02,69.85208129882812
2017-06-05,69.17288970947266
2017-06-06,68.52854919433594
2017-06-07,67.73615264892578
2017-06-08,67.60552215576172
2017-06-09,68.48497772216797
2017-06-12,68.81588745117188
2017-06-13,69.35575103759766
2017-06-14,70.14813995361328
2017-06-15,70.00011444091797
2017-06-16,69.48636627197266
2017-06-19,70.6009292602539
2017-06-20,70.06106567382812
2017-06-21,68.91166687011719
2017-06-22,68.2150650024414
2017-06-23,66.23841857910156
2017-06-26,66.78702545166016
2017-06-27,66.46483612060547
2017-06-28,67.06568145751953
2017-06-29,66.69994354248047
2017-06-30,67.50973510742188
2017-07-03,68.14539337158203
2017-07-05,67.37042999267578
2017-07-06,66.69123840332031
2017-07-07,67.17886352539062
2017-07-10,66.97858428955078
2017-07-11,66.39520263671875
2017-07-12,66.36905670166016
2017-07-13,66.63028717041016
2017-07-14,66.22972869873047
2017-07-17,66.55191040039062
2017-07-18,66.14266967773438
2017-07-19,66.90023803710938
2017-07-20,63.18208694458008
2017-07-21,64.29664611816406
2017-07-24,65.06718444824219
2017-07-25,66.27555847167969
2017-07-26,66.52948760986328
2017-07-27,67.422607421875
2017-07-28,66.96730041503906
2017-07-31,67.77285766601562
2017-08-01,68.14936828613281
2017-08-02,68.1756591796875
2017-08-03,68.21945190429688
2017-08-04,68.62220764160156
2017-08-07,68.57844543457031
2017-08-08,67.60649871826172
2017-08-09,68.59593200683594
2017-08-10,67.43136596679688
2017-08-11,67.65025329589844
2017-08-14,68.05306243896484
2017-08-15,65.05842590332031
2017-08-16,65.97782897949219
2017-08-17,64.90084075927734
2017-08-18,64.48052978515625
2017-08-21,64.66442108154297
2017-08-22,66.3893814086914
2017-08-23,63.92891311645508
2017-08-24,63.57863998413086
2017-08-25,64.22661590576172
2017-08-28,64.62063598632812
2017-08-29,64.31417083740234
2017-08-30,64.7169418334961
2017-08-31,64.69941711425781
2017-09-01,65.36492919921875
2017-09-05,66.26679992675781
2017-09-06,67.83415985107422
2017-09-07,68.0180435180664
2017-09-08,68.78858947753906
2017-09-11,67.86040496826172
2017-09-12,68.87613677978516
2017-09-13,68.1756591796875
