,LIN
2022-02-22,281.7509765625
2022-02-23,279.3517761230469
2022-02-24,273.747314453125
2022-02-25,285.4937438964844
2022-02-28,281.4150695800781
2022-03-01,271.165771484375
2022-03-02,278.49774169921875
2022-03-03,275.82025146484375
2022-03-04,270.08135986328125
2022-03-07,260.0623474121094
2022-03-08,260.4941711425781
2022-03-09,280.96405029296875
2022-03-10,273.1402587890625
2022-03-11,270.5194396972656
2022-03-14,274.95166015625
2022-03-15,283.3729248046875
2022-03-16,293.4224548339844
2022-03-17,298.0859069824219
2022-03-18,300.29241943359375
2022-03-21,299.367431640625
2022-03-22,300.7452392578125
2022-03-23,296.0914306640625
2022-03-24,306.439697265625
2022-03-25,307.11419677734375
2022-03-28,310.8719177246094
2022-03-29,314.43695068359375
2022-03-30,313.7431640625
2022-03-31,307.7790222167969
2022-04-01,310.9586486816406
2022-04-04,309.7156982421875
2022-04-05,310.03369140625
2022-04-06,303.5588073730469
2022-04-07,306.4493408203125
2022-04-08,306.22772216796875
2022-04-11,305.58209228515625
2022-04-12,302.54705810546875
2022-04-13,307.6055908203125
2022-04-14,306.9021911621094
2022-04-18,305.9579162597656
2022-04-19,306.5456848144531
2022-04-20,314.4658508300781
2022-04-21,312.538818359375
2022-04-22,298.4232482910156
2022-04-25,302.5373840332031
2022-04-26,292.45892333984375
2022-04-27,295.8409118652344
2022-04-28,303.69366455078125
2022-04-29,300.5814514160156
2022-05-02,301.8629150390625
2022-05-03,302.5566711425781
2022-05-04,310.48651123046875
2022-05-05,301.20770263671875
2022-05-06,297.4018859863281
2022-05-09,289.3178405761719
2022-05-10,288.4602966308594
2022-05-11,289.49127197265625
2022-05-12,290.348876953125
2022-05-13,297.5078125
2022-05-16,298.15338134765625
2022-05-17,307.1430358886719
2022-05-18,298.76043701171875
2022-05-19,299.367431640625
2022-05-20,303.68402099609375
2022-05-23,308.7328796386719
2022-05-24,308.8002624511719
2022-05-25,304.32958984375
2022-05-26,308.6462097167969
2022-05-27,317.60693359375
2022-05-31,312.83746337890625
2022-06-01,307.95245361328125
2022-06-02,322.2070007324219
2022-06-03,320.9691467285156
2022-06-06,324.4602355957031
2022-06-07,324.7019958496094
2022-06-08,317.7778625488281
2022-06-09,308.1942443847656
2022-06-10,300.651123046875
2022-06-13,291.4059143066406
2022-06-14,285.8840026855469
2022-06-15,290.110107421875
2022-06-16,280.1783447265625
2022-06-17,281.1067199707031
2022-06-21,288.93994140625
2022-06-22,288.57244873046875
2022-06-23,287.0541687011719
2022-06-24,293.24334716796875
2022-06-27,286.5028991699219
2022-06-28,283.73712158203125
2022-06-29,281.8126525878906
2022-06-30,278.06036376953125
2022-07-01,276.0392761230469
2022-07-05,261.7170104980469
2022-07-06,265.2565002441406
2022-07-07,264.8599853515625
2022-07-08,264.6666259765625
2022-07-11,267.65478515625
2022-07-12,264.5312194824219
2022-07-13,265.6820068359375
2022-07-14,260.150390625
2022-07-15,267.85791015625
2022-07-18,268.00299072265625
2022-07-19,276.339111328125
2022-07-20,273.8150329589844
2022-07-21,277.5768737792969
2022-07-22,276.135986328125
2022-07-25,278.6019592285156
2022-07-26,277.1803894042969
2022-07-27,280.88427734375
2022-07-28,287.1508483886719
2022-07-29,292.0538330078125
2022-08-01,290.1874694824219
2022-08-02,287.83746337890625
2022-08-03,290.1777648925781
2022-08-04,292.2859802246094
2022-08-05,292.0248718261719
2022-08-08,291.06744384765625
2022-08-09,290.7677001953125
2022-08-10,299.2101135253906
2022-08-11,295.79638671875
2022-08-12,301.28936767578125
2022-08-15,301.9276123046875
2022-08-16,302.0050048828125
2022-08-17,299.2681884765625
2022-08-18,299.9548034667969
2022-08-19,293.7462158203125
2022-08-22,286.0484313964844
2022-08-23,284.4914855957031
2022-08-24,283.47601318359375
2022-08-25,287.3345947265625
2022-08-26,276.8226013183594
2022-08-29,278.0411071777344
2022-08-30,275.2752685546875
2022-08-31,273.54425048828125
2022-09-01,271.0679931640625
2022-09-02,269.6793518066406
2022-09-06,268.931640625
2022-09-07,277.5644836425781
2022-09-08,275.7000427246094
2022-09-09,278.7298278808594
2022-09-12,285.9935302734375
2022-09-13,277.3217468261719
2022-09-14,278.2831115722656
2022-09-15,274.71923828125
2022-09-16,275.1659240722656
2022-09-19,276.89447021484375
2022-09-20,273.38885498046875
2022-09-21,268.533447265625
2022-09-22,266.1446228027344
2022-09-23,261.3668518066406
2022-09-26,256.6085510253906
2022-09-27,257.5311279296875
2022-09-28,263.600341796875
2022-09-29,261.81353759765625
2022-09-30,261.7941589355469
2022-10-03,267.843994140625
2022-10-04,278.1763000488281
2022-10-05,275.5835266113281
2022-10-06,270.75726318359375
2022-10-07,265.29974365234375
2022-10-10,263.9693603515625
2022-10-11,263.1633605957031
2022-10-12,263.73626708984375
2022-10-13,274.2919921875
2022-10-14,267.37786865234375
2022-10-17,272.7965087890625
2022-10-18,276.4283447265625
2022-10-19,275.7000427246094
2022-10-20,274.0686340332031
2022-10-21,279.9825134277344
2022-10-24,270.0774841308594
2022-10-25,279.8465576171875
2022-10-26,286.3139953613281
2022-10-27,284.7796630859375
2022-10-28,293.0726623535156
2022-10-31,288.7514343261719
2022-11-01,289.5477600097656
2022-11-02,285.82843017578125
2022-11-03,288.9941711425781
2022-11-04,299.99652099609375
2022-11-07,304.4246826171875
2022-11-08,305.609375
2022-11-09,305.34716796875
2022-11-10,318.8743896484375
2022-11-11,320.6708984375
2022-11-14,322.47711181640625
2022-11-15,322.94317626953125
2022-11-16,324.0793762207031
2022-11-17,320.787353515625
2022-11-18,325.22528076171875
2022-11-21,324.7008361816406
2022-11-22,329.9350280761719
2022-11-23,332.9453430175781
2022-11-25,334.4602966308594
2022-11-28,327.9345703125
2022-11-29,322.37030029296875
2022-11-30,326.7498779296875
2022-12-01,328.6500549316406
2022-12-02,328.73773193359375
2022-12-05,325.7266540527344
2022-12-06,323.037109375
2022-12-07,322.939697265625
2022-12-08,326.0871887207031
2022-12-09,323.7290344238281
2022-12-12,327.470947265625
2022-12-13,333.7076110839844
2022-12-14,333.27880859375
2022-12-15,322.3549499511719
2022-12-16,321.2148742675781
2022-12-19,318.7007141113281
2022-12-20,320.53271484375
2022-12-21,320.2794189453125
2022-12-22,319.2951354980469
2022-12-23,320.9224853515625
2022-12-27,320.5522155761719
2022-12-28,317.58984375
2022-12-29,321.331787109375
2022-12-30,317.8529052734375
2023-01-03,310.22283935546875
2023-01-04,308.6831359863281
2023-01-05,297.69110107421875
2023-01-06,308.08868408203125
2023-01-09,313.7016906738281
2023-01-10,313.808837890625
2023-01-11,321.205078125
2023-01-12,320.5132141113281
2023-01-13,325.5804748535156
2023-01-17,321.5753479003906
2023-01-18,316.0599060058594
2023-01-19,316.2547912597656
2023-01-20,320.23065185546875
2023-01-23,318.15496826171875
2023-01-24,320.2403869628906
2023-01-25,318.0283203125
2023-01-26,321.09796142578125
2023-01-27,316.4107666015625
2023-01-30,316.7323303222656
2023-01-31,322.4914245605469
2023-02-01,322.62786865234375
2023-02-02,323.57305908203125
2023-02-03,315.3388366699219
2023-02-06,314.61761474609375
2023-02-07,328.5136413574219
2023-02-08,325.7168884277344
2023-02-09,324.0798034667969
2023-02-10,323.5633239746094
2023-02-13,325.5317077636719
2023-02-14,325.4732666015625
2023-02-15,324.04083251953125
2023-02-16,315.2413024902344
2023-02-17,313.31195068359375
2023-02-21,316.2742614746094
2023-02-22,321.6046447753906
2023-02-23,323.4172058105469
2023-02-24,338.7845458984375
2023-02-27,335.685791015625
2023-02-28,339.4764404296875
2023-03-01,341.113525390625
2023-03-02,342.7701416015625
2023-03-03,353.1287841796875
2023-03-06,348.9093322753906
2023-03-07,345.0991516113281
2023-03-08,345.8397216796875
2023-03-09,337.0890197753906
2023-03-10,332.82080078125
2023-03-13,327.50469970703125
2023-03-14,334.9482116699219
2023-03-15,323.6900634765625
2023-03-16,330.8890686035156
