,GIS
2016-11-25,47.20404815673828
2016-11-28,47.0373649597168
2016-11-29,47.47681427001953
2016-11-30,46.173587799072266
2016-12-01,45.90839385986328
2016-12-02,46.173587799072266
2016-12-05,46.317543029785156
2016-12-06,46.241783142089844
2016-12-07,47.72685623168945
2016-12-08,47.340415954589844
2016-12-09,47.88595962524414
2016-12-12,48.393611907958984
2016-12-13,48.29511642456055
2016-12-14,47.635921478271484
2016-12-15,47.59804916381836
2016-12-16,48.1132698059082
2016-12-19,47.77988815307617
2016-12-20,46.56000900268555
2016-12-21,47.27223205566406
2016-12-22,47.32526397705078
2016-12-23,47.097965240478516
2016-12-27,47.12826156616211
2016-12-28,46.893394470214844
2016-12-29,47.2495002746582
2016-12-30,46.802459716796875
2017-01-03,47.04491424560547
2017-01-04,47.02976989746094
2017-01-05,47.16615295410156
2017-01-06,46.93708038330078
2017-01-09,46.24223327636719
2017-01-10,46.15823745727539
2017-01-11,46.562931060791016
2017-01-12,46.78436279296875
2017-01-13,46.63928985595703
2017-01-17,47.32652282714844
2017-01-18,47.402870178222656
2017-01-19,47.074527740478516
2017-01-20,47.662479400634766
2017-01-23,47.433406829833984
2017-01-24,47.85337448120117
2017-01-25,48.11299133300781
2017-01-26,47.876277923583984
2017-01-27,47.89155197143555
2017-01-30,47.7999267578125
2017-01-31,47.70829391479492
2017-02-01,46.8607177734375
2017-02-02,47.12797546386719
2017-02-03,47.89918899536133
2017-02-06,46.91416931152344
2017-02-07,47.2043342590332
2017-02-08,47.5097541809082
2017-02-09,48.15117645263672
2017-02-10,47.922088623046875
2017-02-13,48.0213623046875
2017-02-14,48.17407989501953
2017-02-15,48.25043487548828
2017-02-16,46.99053192138672
2017-02-17,45.226680755615234
2017-02-21,46.59347915649414
2017-02-22,46.265140533447266
2017-02-23,46.410213470458984
2017-02-24,46.8607177734375
2017-02-27,45.7688102722168
2017-02-28,46.097145080566406
2017-03-01,46.234596252441406
2017-03-02,46.50946807861328
2017-03-03,46.37204360961914
2017-03-06,46.1429557800293
2017-03-07,46.00552749633789
2017-03-08,45.86807632446289
2017-03-09,46.29568099975586
2017-03-10,46.24986267089844
2017-03-13,46.21168518066406
2017-03-14,46.16587448120117
2017-03-15,46.70038604736328
2017-03-16,46.43311309814453
2017-03-17,46.31859588623047
2017-03-20,46.013153076171875
2017-03-21,45.631370544433594
2017-03-22,45.005226135253906
2017-03-23,45.33357238769531
2017-03-24,45.17322540283203
2017-03-27,44.89069747924805
2017-03-28,45.05867385864258
2017-03-29,45.387020111083984
2017-03-30,45.10449981689453
2017-03-31,45.05867385864258
2017-04-03,44.70744323730469
2017-04-04,44.577632904052734
2017-04-05,44.478370666503906
2017-04-06,44.41677474975586
2017-04-07,44.38597869873047
2017-04-10,44.28587341308594
2017-04-11,44.208885192871094
2017-04-12,44.33207702636719
2017-04-13,44.01640701293945
2017-04-17,44.34747314453125
2017-04-18,44.77863693237305
2017-04-19,44.53226089477539
2017-04-20,44.563053131103516
2017-04-21,44.44757080078125
2017-04-24,44.763240814208984
2017-04-25,44.840232849121094
2017-04-26,44.563053131103516
2017-04-27,44.20119094848633
2017-04-28,44.278175354003906
2017-05-01,43.577545166015625
2017-05-02,43.05401611328125
2017-05-03,43.15409851074219
2017-05-04,43.92402267456055
2017-05-05,44.11650848388672
2017-05-08,44.1934928894043
2017-05-09,43.400474548339844
2017-05-10,43.377384185791016
2017-05-11,43.315792083740234
2017-05-12,43.30808639526367
2017-05-15,43.39277648925781
2017-05-16,43.18490219116211
2017-05-17,43.13869857788086
2017-05-18,43.046302795410156
2017-05-19,43.29268264770508
2017-05-22,43.662254333496094
2017-05-23,43.6468391418457
2017-05-24,43.816226959228516
2017-05-25,43.754634857177734
2017-05-26,44.13189697265625
2017-05-30,43.55445098876953
2017-05-31,43.68534851074219
2017-06-01,44.308982849121094
2017-06-02,44.308982849121094
2017-06-05,44.22428894042969
2017-06-06,44.29358673095703
2017-06-07,44.42446517944336
2017-06-08,44.03950881958008
2017-06-09,43.954811096191406
2017-06-12,44.0703125
2017-06-13,44.786338806152344
