,LLY
2016-10-17,68.09305572509766
2016-10-18,68.30115509033203
2016-10-19,68.11905670166016
2016-10-20,68.27513885498047
2016-10-21,67.85027313232422
2016-10-24,67.2606430053711
2016-10-25,67.41670989990234
2016-10-26,66.55829620361328
2016-10-27,66.03803253173828
2016-10-28,64.62466430664062
2016-10-31,64.0263671875
2016-11-01,63.280662536621094
2016-11-02,62.99452590942383
2016-11-03,62.52629470825195
2016-11-04,62.855796813964844
2016-11-07,64.06105041503906
2016-11-08,64.18245697021484
2016-11-09,67.9716567993164
2016-11-10,68.37313079833984
2016-11-11,67.78838348388672
2016-11-14,67.2210693359375
2016-11-15,67.48289489746094
2016-11-16,67.15123748779297
2016-11-17,67.82328033447266
2016-11-18,66.91559600830078
2016-11-21,66.8894271850586
2016-11-22,66.32212829589844
2016-11-23,59.3486328125
2016-11-25,60.326148986816406
2016-11-28,58.650428771972656
2016-11-29,58.606788635253906
2016-11-30,58.58060836791992
2016-12-01,57.576908111572266
2016-12-02,59.09554672241211
2016-12-05,58.702796936035156
2016-12-06,59.174095153808594
2016-12-07,58.80751419067383
2016-12-08,58.64169692993164
2016-12-09,59.217735290527344
2016-12-12,59.008262634277344
2016-12-13,59.9072380065918
2016-12-14,59.06061935424805
2016-12-15,62.289913177490234
2016-12-16,63.98305130004883
2016-12-19,64.07905578613281
2016-12-20,64.04419708251953
2016-12-21,63.93070602416992
2016-12-22,63.93944549560547
2016-12-23,64.40200805664062
2016-12-27,64.41948699951172
2016-12-28,63.76488494873047
2016-12-29,64.20126342773438
2016-12-30,64.19255065917969
2017-01-03,65.10894775390625
2017-01-04,65.21367645263672
2017-01-05,65.9729995727539
2017-01-06,66.0428237915039
2017-01-09,66.56646728515625
2017-01-10,66.56646728515625
2017-01-11,65.68498992919922
2017-01-12,67.33452606201172
2017-01-13,67.55272674560547
2017-01-17,67.07270050048828
2017-01-18,67.66616821289062
2017-01-19,67.06395721435547
2017-01-20,67.03778076171875
2017-01-23,66.61012268066406
2017-01-24,65.3271484375
2017-01-25,65.3271484375
2017-01-26,65.09151458740234
2017-01-27,65.78972625732422
2017-01-30,65.19620513916016
2017-01-31,67.22979736328125
2017-02-01,67.72730255126953
2017-02-02,67.54399108886719
2017-02-03,67.40435791015625
2017-02-06,67.9280014038086
2017-02-07,67.81453704833984
2017-02-08,68.17240142822266
2017-02-09,67.81453704833984
2017-02-10,67.89309692382812
2017-02-13,68.33245086669922
2017-02-14,69.24623107910156
2017-02-15,70.51146697998047
2017-02-16,70.32695770263672
2017-02-17,70.63448333740234
2017-02-21,70.60813903808594
2017-02-22,71.2319564819336
2017-02-23,72.5323486328125
2017-02-24,72.81353759765625
2017-02-27,72.98046875
2017-02-28,72.76081085205078
2017-03-01,73.67459869384766
2017-03-02,72.84870147705078
2017-03-03,73.61309814453125
2017-03-06,73.65704345703125
2017-03-07,72.69930267333984
2017-03-08,73.28800964355469
2017-03-09,74.2896728515625
2017-03-10,74.12269592285156
2017-03-13,73.9294204711914
2017-03-14,74.21058654785156
2017-03-15,75.45826721191406
2017-03-16,74.67627716064453
2017-03-17,73.77125549316406
2017-03-20,73.85912322998047
2017-03-21,73.56915283203125
2017-03-22,74.12269592285156
2017-03-23,74.1754379272461
2017-03-24,73.96454620361328
2017-03-27,74.01728057861328
2017-03-28,74.46539306640625
2017-03-29,74.19302368164062
2017-03-30,74.47419738769531
2017-03-31,73.903076171875
2017-04-03,74.20179748535156
2017-04-04,75.64276885986328
2017-04-05,75.23861694335938
2017-04-06,75.00135803222656
2017-04-07,74.9662094116211
2017-04-10,75.09801483154297
2017-04-11,75.50218963623047
2017-04-12,75.7833480834961
2017-04-13,75.45826721191406
2017-04-17,72.38298797607422
2017-04-18,71.3462142944336
2017-04-19,71.07378387451172
2017-04-20,71.99641418457031
2017-04-21,71.95247650146484
2017-04-24,73.29678344726562
2017-04-25,71.3462142944336
2017-04-26,71.13530731201172
2017-04-27,71.46041107177734
2017-04-28,72.1018295288086
2017-05-01,71.89096069335938
2017-05-02,71.78551483154297
2017-05-03,71.39012908935547
2017-05-04,72.962890625
2017-05-05,72.4972152709961
2017-05-08,70.88050079345703
2017-05-09,70.98593139648438
2017-05-10,71.21440124511719
2017-05-11,70.94026184082031
2017-05-12,70.91373443603516
2017-05-15,71.01100158691406
2017-05-16,69.8525390625
2017-05-17,69.10088348388672
2017-05-18,69.24237060546875
2017-05-19,68.80020904541016
2017-05-22,68.0750503540039
2017-05-23,68.96821594238281
2017-05-24,68.94170379638672
2017-05-25,69.27772521972656
2017-05-26,69.0212631225586
2017-05-30,69.28655242919922
2017-05-31,70.36544799804688
2017-06-01,70.73683166503906
2017-06-02,70.86066436767578
2017-06-05,70.17088317871094
2017-06-06,69.94096374511719
2017-06-07,70.20629119873047
2017-06-08,70.83415222167969
2017-06-09,71.66539764404297
2017-06-12,71.54158782958984
2017-06-13,71.85111236572266
2017-06-14,72.1606216430664
2017-06-15,72.5585708618164
2017-06-16,72.40821075439453
2017-06-19,72.81501770019531
2017-06-20,73.17758178710938
2017-06-21,73.0802993774414
2017-06-22,74.55709838867188
2017-06-23,74.18572235107422
2017-06-26,74.53060150146484
2017-06-27,73.43403625488281
2017-06-28,73.48709106445312
2017-06-29,73.13336944580078
2017-06-30,72.77961730957031
2017-07-03,73.13336944580078
2017-07-05,73.13336944580078
2017-07-06,72.1606216430664
2017-07-07,72.77080535888672
2017-07-10,72.76194763183594
2017-07-11,72.82383728027344
2017-07-12,73.84082794189453
2017-07-13,74.3006591796875
2017-07-14,74.59249877929688
2017-07-17,73.96463012695312
2017-07-18,74.01770782470703
2017-07-19,74.48638153076172
2017-07-20,74.94622802734375
2017-07-21,74.86664581298828
2017-07-24,74.93738555908203
2017-07-25,72.68235778808594
2017-07-26,72.37285614013672
2017-07-27,73.4163589477539
2017-07-28,73.48709106445312
2017-07-31,73.09801483154297
2017-08-01,72.84154510498047
2017-08-02,72.35517883300781
2017-08-03,72.45243072509766
2017-08-04,72.7884750366211
2017-08-07,72.57624816894531
2017-08-08,72.4878158569336
2017-08-09,73.01841735839844
2017-08-10,72.5585708618164
2017-08-11,72.22038269042969
2017-08-14,72.52294921875
2017-08-15,72.71874237060547
2017-08-16,71.81098937988281
2017-08-17,69.239013671875
2017-08-18,68.58932495117188
2017-08-21,68.8652114868164
2017-08-22,69.64838409423828
2017-08-23,69.55049133300781
2017-08-24,70.18236541748047
2017-08-25,70.12006378173828
2017-08-28,70.16456604003906
2017-08-29,69.90647888183594
2017-08-30,71.63301849365234
2017-08-31,72.34495544433594
2017-09-01,71.26810455322266
