,C
2017-07-07,52.908653259277344
2017-07-10,52.70610046386719
2017-07-11,52.059444427490234
2017-07-12,52.13733673095703
2017-07-13,52.21524429321289
2017-07-14,51.98152542114258
2017-07-17,52.067237854003906
2017-07-18,52.11397171020508
2017-07-19,51.96595001220703
2017-07-20,51.70105743408203
2017-07-21,51.420570373535156
2017-07-24,51.49848937988281
2017-07-25,53.00215530395508
2017-07-26,52.963191986083984
2017-07-27,52.66712951660156
2017-07-28,52.53468322753906
2017-07-31,53.329376220703125
2017-08-01,54.225337982177734
2017-08-02,54.08510208129883
2017-08-03,53.32587814331055
2017-08-04,53.99118423461914
2017-08-07,54.03812026977539
2017-08-08,53.91290283203125
2017-08-09,53.560691833496094
2017-08-10,52.613609313964844
2017-08-11,52.28487014770508
2017-08-14,53.138023376464844
2017-08-15,53.20063781738281
2017-08-16,52.997127532958984
2017-08-17,52.128326416015625
2017-08-18,52.1126708984375
2017-08-21,51.61956024169922
2017-08-22,52.32400131225586
2017-08-23,52.62144088745117
2017-08-24,52.98147964477539
2017-08-25,53.10671615600586
2017-08-28,53.07540512084961
2017-08-29,52.8171272277832
2017-08-30,53.2319450378418
2017-08-31,53.24760437011719
2017-09-01,53.6781005859375
2017-09-05,52.566646575927734
2017-09-06,52.691890716552734
2017-09-07,51.70566177368164
2017-09-08,51.79176330566406
2017-09-11,52.997127532958984
2017-09-12,53.842445373535156
2017-09-13,54.31208038330078
2017-09-14,54.194679260253906
