,L
2018-08-06,49.442256927490234
2018-08-07,49.33552169799805
2018-08-08,49.2287712097168
2018-08-09,48.840606689453125
2018-08-10,48.62712860107422
2018-08-13,48.24866485595703
2018-08-14,48.47186279296875
2018-08-15,48.23896026611328
2018-08-16,48.665950775146484
2018-08-17,48.6756477355957
2018-08-20,48.56889724731445
2018-08-21,48.62712860107422
2018-08-22,48.277774810791016
2018-08-23,47.95753860473633
2018-08-24,48.355411529541016
2018-08-27,48.724151611328125
2018-08-28,48.84366989135742
2018-08-29,49.02828598022461
2018-08-30,48.785369873046875
2018-08-31,48.88253402709961
2018-09-04,48.84366989135742
2018-09-05,48.84366989135742
2018-09-06,48.474456787109375
2018-09-07,48.2509765625
2018-09-10,48.5424690246582
2018-09-11,48.6882209777832
2018-09-12,48.45502471923828
2018-09-13,48.94083786010742
2018-09-14,49.533546447753906
2018-09-17,49.319766998291016
2018-09-18,49.591827392578125
2018-09-19,50.330257415771484
2018-09-20,50.680049896240234
2018-09-21,50.29138946533203
2018-09-24,49.58210372924805
2018-09-25,49.30034255981445
2018-09-26,48.55219650268555
2018-09-27,48.52302551269531
2018-09-28,48.804805755615234
2018-10-01,48.824241638183594
2018-10-02,48.678489685058594
2018-10-03,48.727081298828125
2018-10-04,48.921409606933594
2018-10-05,48.51332092285156
2018-10-08,49.43637466430664
2018-10-09,49.280906677246094
2018-10-10,47.813758850097656
2018-10-11,45.89964294433594
2018-10-12,45.472129821777344
2018-10-15,45.510990142822266
2018-10-16,45.7247428894043
2018-10-17,45.97736358642578
2018-10-18,45.423545837402344
2018-10-19,45.66645050048828
2018-10-22,45.2486572265625
2018-10-23,44.86972427368164
2018-10-24,43.55802536010742
2018-10-25,44.45191192626953
2018-10-26,43.91753387451172
2018-10-29,44.014686584472656
2018-10-30,44.811431884765625
2018-10-31,45.23894500732422
2018-11-01,45.82190704345703
2018-11-02,44.97660446166992
2018-11-05,47.415382385253906
2018-11-06,48.10524368286133
2018-11-07,48.32870864868164
2018-11-08,48.037227630615234
2018-11-09,48.18296813964844
2018-11-12,47.386234283447266
2018-11-13,47.26963424682617
2018-11-14,46.142555236816406
2018-11-15,46.78382873535156
2018-11-16,47.12389373779297
2018-11-19,47.075321197509766
2018-11-20,46.08425521850586
2018-11-21,45.957942962646484
2018-11-23,45.63731384277344
2018-11-26,46.69638442993164
2018-11-27,46.261478424072266
2018-11-28,47.409515380859375
2018-11-29,46.679832458496094
2018-11-30,46.7576789855957
2018-12-03,47.18574523925781
2018-12-04,45.69721221923828
2018-12-06,45.648555755615234
2018-12-07,44.53946304321289
2018-12-10,43.91679000854492
2018-12-11,43.64439010620117
2018-12-12,43.86814880371094
2018-12-13,44.27677536010742
2018-12-14,43.848697662353516
2018-12-17,43.790313720703125
2018-12-18,43.83897018432617
2018-12-19,43.663841247558594
2018-12-20,43.44007873535156
2018-12-21,42.68121337890625
2018-12-24,41.38726043701172
2018-12-26,43.255226135253906
2018-12-27,43.751407623291016
2018-12-28,43.69303512573242
2018-12-31,44.2864990234375
2019-01-02,43.858428955078125
2019-01-03,43.313594818115234
2019-01-04,44.41299057006836
2019-01-07,44.71458053588867
2019-01-08,44.60756301879883
2019-01-09,44.80214309692383
2019-01-10,45.13291931152344
2019-01-11,45.317779541015625
2019-01-14,45.38588333129883
2019-01-15,45.38588333129883
2019-01-16,45.415069580078125
2019-01-17,45.53181457519531
2019-01-18,46.24203872680664
2019-01-22,45.66802215576172
2019-01-23,45.979347229003906
2019-01-24,46.135013580322266
2019-01-25,46.4949836730957
2019-01-28,46.35878372192383
2019-01-29,46.43661880493164
