,BRO
2017-09-19,22.12730598449707
2017-09-20,22.301647186279297
2017-09-21,22.17913055419922
2017-09-22,22.34404754638672
2017-09-25,22.46656608581543
2017-09-26,22.72572135925293
2017-09-27,23.02728843688965
2017-09-28,22.758708953857422
2017-09-29,22.706872940063477
2017-10-02,22.79640007019043
2017-10-03,22.970741271972656
2017-10-04,22.975454330444336
2017-10-05,23.02728843688965
2017-10-06,22.96132469177246
2017-10-09,23.017860412597656
2017-10-10,23.06026840209961
2017-10-11,23.036701202392578
2017-10-12,23.173358917236328
2017-10-13,23.272306442260742
2017-10-16,23.074403762817383
2017-10-17,23.093252182006836
2017-10-18,23.06026840209961
2017-10-19,23.088539123535156
2017-10-20,23.23932456970215
2017-10-23,23.394817352294922
2017-10-24,23.300582885742188
2017-10-25,23.187496185302734
2017-10-26,23.338735580444336
2017-10-27,23.480527877807617
2017-10-30,23.390727996826172
2017-10-31,23.556150436401367
2017-11-01,23.6743106842041
2017-11-02,23.82082748413086
2017-11-03,23.816099166870117
2017-11-06,23.88699722290039
2017-11-07,23.740476608276367
2017-11-08,23.489986419677734
2017-11-09,23.334012985229492
2017-11-10,23.385997772216797
2017-11-13,23.348190307617188
2017-11-14,23.63177490234375
2017-11-15,23.608139038085938
2017-11-16,23.598682403564453
2017-11-17,23.57505989074707
2017-11-20,23.759384155273438
2017-11-21,23.872812271118164
2017-11-22,23.801923751831055
2017-11-24,23.655399322509766
2017-11-27,23.773563385009766
2017-11-28,24.00042724609375
2017-11-29,24.052412033081055
2017-11-30,24.222564697265625
2017-12-01,24.458885192871094
2017-12-04,24.354902267456055
2017-12-05,24.080778121948242
2017-12-06,24.42107391357422
2017-12-07,24.406898498535156
2017-12-08,24.54395294189453
2017-12-11,24.38798713684082
2017-12-12,24.416345596313477
2017-12-13,24.222564697265625
2017-12-14,24.128036499023438
2017-12-15,24.189483642578125
2017-12-18,24.32654571533203
2017-12-19,24.34071922302246
2017-12-20,24.288734436035156
2017-12-21,24.26982307434082
2017-12-22,24.156394958496094
2017-12-26,24.312362670898438
2017-12-27,24.369081497192383
2017-12-28,24.473060607910156
2017-12-29,24.321815490722656
2018-01-02,24.1422176361084
2018-01-03,24.416345596313477
2018-01-04,24.48251724243164
2018-01-05,24.714107513427734
2018-01-08,24.638484954833984
2018-01-09,24.836990356445312
2018-01-10,24.68102264404297
2018-01-11,24.67156410217285
2018-01-12,24.77554702758789
2018-01-16,24.75191879272461
2018-01-17,24.851173400878906
2018-01-18,24.747190475463867
2018-01-19,24.8133602142334
2018-01-22,24.695201873779297
2018-01-23,24.60067367553711
2018-01-24,24.9976863861084
2018-01-25,25.035497665405273
2018-01-26,25.413606643676758
2018-01-29,25.120574951171875
2018-01-30,24.988231658935547
2018-01-31,24.80390167236328
2018-02-01,25.211532592773438
2018-02-02,25.11199951171875
2018-02-05,24.40101432800293
2018-02-06,24.486337661743164
2018-02-07,24.53847312927246
2018-02-08,23.751644134521484
2018-02-09,23.9317626953125
2018-02-12,24.230375289916992
2018-02-13,24.438934326171875
2018-02-14,24.856046676635742
2018-02-15,24.95083999633789
2018-02-16,24.97927474975586
2018-02-20,24.936626434326172
2018-02-21,24.88448143005371
2018-02-22,24.765989303588867
2018-02-23,25.064607620239258
2018-02-26,25.30159568786621
2018-02-27,25.230497360229492
2018-02-28,24.95083999633789
2018-03-01,24.619049072265625
2018-03-02,24.775466918945312
2018-03-05,25.045642852783203
2018-03-06,25.126218795776367
2018-03-07,24.908185958862305
2018-03-08,24.917665481567383
2018-03-09,25.420093536376953
2018-03-12,25.277894973754883
2018-03-13,25.02667808532715
2018-03-14,24.903444290161133
2018-03-15,24.903444290161133
2018-03-16,25.00298500061035
2018-03-19,24.941362380981445
2018-03-20,25.055118560791016
2018-03-21,24.917665481567383
2018-03-22,24.140321731567383
2018-03-23,23.67106819152832
2018-03-26,24.192461013793945
2018-03-27,23.964942932128906
2018-03-28,24.182979583740234
2018-03-29,24.11662483215332
2018-04-02,23.547832489013672
2018-04-03,23.832225799560547
2018-04-04,23.993383407592773
2018-04-05,24.135576248168945
2018-04-06,23.784828186035156
2018-04-09,23.94598388671875
2018-04-10,24.164016723632812
2018-04-11,24.17350196838379
2018-04-12,24.410493850708008
2018-04-13,24.382055282592773
2018-04-16,24.704374313354492
2018-04-17,24.941362380981445
2018-04-18,24.88448143005371
2018-04-19,24.78968620300293
2018-04-20,24.6000919342041
2018-04-23,25.17835807800293
2018-04-24,25.017200469970703
2018-04-25,25.434314727783203
2018-04-26,25.99362564086914
2018-04-27,26.287498474121094
2018-04-30,25.813505172729492
2018-05-01,25.804027557373047
2018-05-02,25.510150909423828
2018-05-03,25.671310424804688
2018-05-04,26.07893943786621
2018-05-07,26.097898483276367
2018-05-08,26.045616149902344
2018-05-09,26.06463050842285
2018-05-10,26.13117027282715
2018-05-11,26.0931453704834
2018-05-14,25.893529891967773
2018-05-15,25.88401985168457
2018-05-16,25.9505615234375
2018-05-17,26.159687042236328
2018-05-18,26.245237350463867
2018-05-21,26.482885360717773
2018-05-22,26.406831741333008
2018-05-23,26.511396408081055
2018-05-24,26.587440490722656
2018-05-25,26.435346603393555
2018-05-29,25.979076385498047
2018-05-30,26.45436668395996
2018-05-31,26.406831741333008
2018-06-01,26.653982162475586
2018-06-04,26.711013793945312
2018-06-05,26.758543014526367
2018-06-06,26.711013793945312
2018-06-07,26.73002815246582
2018-06-08,27.072233200073242
2018-06-11,27.176794052124023
2018-06-12,27.034212112426758
2018-06-13,26.891626358032227
2018-06-14,26.92964744567871
2018-06-15,26.863109588623047
2018-06-18,27.015199661254883
2018-06-19,27.10074806213379
2018-06-20,26.76805305480957
2018-06-21,26.68250274658203
2018-06-22,26.825084686279297
2018-06-25,26.625465393066406
2018-06-26,26.520904541015625
2018-06-27,26.13117027282715
2018-06-28,26.207212448120117
2018-06-29,26.35930824279785
2018-07-02,26.34029197692871
2018-07-03,26.520904541015625
2018-07-05,26.73002815246582
2018-07-06,26.9011287689209
2018-07-09,27.3478946685791
2018-07-10,27.243337631225586
2018-07-11,27.148277282714844
2018-07-12,27.309879302978516
2018-07-13,27.328886032104492
2018-07-16,27.576038360595703
2018-07-17,27.709117889404297
2018-07-18,28.127361297607422
2018-07-19,28.0037841796875
2018-07-20,28.203414916992188
2018-07-23,28.13687515258789
2018-07-24,27.528505325317383
2018-07-25,27.690105438232422
2018-07-26,27.97527313232422
2018-07-27,27.832687377929688
2018-07-30,27.956262588500977
2018-07-31,27.813676834106445
2018-08-01,27.547517776489258
2018-08-02,27.74713897705078
2018-08-03,27.842193603515625
2018-08-06,27.984779357910156
2018-08-07,28.180145263671875
2018-08-08,28.380271911621094
2018-08-09,28.323097229003906
2018-08-10,28.256391525268555
2018-08-13,28.19920539855957
2018-08-14,28.342153549194336
2018-08-15,28.332624435424805
2018-08-16,28.427927017211914
2018-08-17,28.418394088745117
2018-08-20,28.485105514526367
2018-08-21,28.875829696655273
2018-08-22,28.799592971801758
2018-08-23,28.85677719116211
2018-08-24,28.95207405090332
2018-08-27,28.85677719116211
2018-08-28,28.704294204711914
2018-08-29,28.799592971801758
2018-08-30,28.72335433959961
2018-08-31,29.047372817993164
2018-09-04,29.028310775756836
2018-09-05,29.228443145751953
2018-09-06,29.32373809814453
2018-09-07,29.371389389038086
2018-09-10,29.542930603027344
2018-09-11,29.704938888549805
2018-09-12,29.7239990234375
2018-09-13,29.86695098876953
2018-09-14,29.60964012145996
2018-09-17,29.190324783325195
2018-09-18,28.666175842285156
2018-09-19,28.97113609313965
2018-09-20,28.97113609313965
2018-09-21,28.84724235534668
2018-09-24,28.599468231201172
2018-09-25,28.294506072998047
2018-09-26,28.142030715942383
2018-09-27,28.189674377441406
2018-09-28,28.180145263671875
2018-10-01,28.11343765258789
2018-10-02,28.03719711303711
2018-10-03,28.094375610351562
2018-10-04,28.237329483032227
2018-10-05,27.941898345947266
2018-10-08,28.10390853881836
2018-10-09,27.9323673248291
2018-10-10,27.30338478088379
2018-10-11,26.788772583007812
2018-10-12,26.598169326782227
2018-10-15,26.512399673461914
2018-10-16,27.055604934692383
2018-10-17,27.141380310058594
2018-10-18,26.874536514282227
2018-10-19,27.493986129760742
