,WYNN
2019-05-07,128.9906005859375
2019-05-08,129.23779296875
2019-05-09,129.58946228027344
2019-05-10,123.46788024902344
2019-05-13,115.84441375732422
2019-05-14,117.22273254394531
2019-05-15,119.05729675292969
2019-05-16,121.01543426513672
2019-05-17,115.41666412353516
2019-05-20,114.23797607421875
2019-05-21,115.85789489746094
2019-05-22,114.94729614257812
2019-05-23,109.13856506347656
2019-05-24,109.46446990966797
2019-05-28,109.37820434570312
2019-05-29,109.64659881591797
2019-05-30,106.80933380126953
2019-05-31,102.87935638427734
2019-06-03,99.2752685546875
2019-06-04,108.18964385986328
2019-06-05,105.87956237792969
2019-06-06,105.41947937011719
2019-06-07,106.41634368896484
2019-06-10,111.8320541381836
2019-06-11,113.25068664550781
2019-06-12,109.98208618164062
2019-06-13,112.34966278076172
2019-06-14,110.81600189208984
2019-06-17,110.88311767578125
2019-06-18,116.94104766845703
2019-06-19,117.24776458740234
2019-06-20,117.37237548828125
2019-06-21,116.46175384521484
2019-06-24,116.96021270751953
2019-06-25,114.027099609375
2019-06-26,116.23173522949219
2019-06-27,118.81016540527344
2019-06-28,118.84851837158203
2019-07-01,125.80746459960938
2019-07-02,127.45614624023438
2019-07-03,127.84915924072266
2019-07-05,127.30278778076172
2019-07-08,127.54241943359375
2019-07-09,128.1846160888672
2019-07-10,124.93519592285156
2019-07-11,125.23234558105469
2019-07-12,128.3379669189453
2019-07-15,132.05709838867188
2019-07-16,133.56201171875
2019-07-17,130.2550506591797
2019-07-18,129.48822021484375
2019-07-19,129.0664825439453
2019-07-22,128.2613067626953
2019-07-23,132.536376953125
2019-07-24,135.03814697265625
2019-07-25,132.172119140625
2019-07-26,133.6482391357422
2019-07-29,132.536376953125
2019-07-30,129.98666381835938
2019-07-31,124.67639923095703
2019-08-01,117.82289123535156
2019-08-02,114.73639678955078
2019-08-05,106.49302673339844
2019-08-06,107.2311019897461
2019-08-07,105.34280395507812
2019-08-08,106.88603210449219
2019-08-09,104.39383697509766
2019-08-12,102.62054443359375
2019-08-13,104.41300201416016
2019-08-14,100.00375366210938
2019-08-15,99.20046997070312
2019-08-16,102.15229797363281
2019-08-19,108.79146575927734
2019-08-20,110.33997344970703
2019-08-21,109.90444946289062
2019-08-22,106.58486938476562
2019-08-23,101.93937683105469
2019-08-26,102.01680755615234
2019-08-27,100.79737091064453
2019-08-28,101.92970275878906
2019-08-29,102.89750671386719
2019-08-30,106.60421752929688
2019-09-03,101.93937683105469
2019-09-04,105.41381072998047
2019-09-05,107.74623107910156
2019-09-06,107.85270690917969
2019-09-09,110.9593734741211
2019-09-10,113.12725067138672
2019-09-11,110.63997650146484
2019-09-12,113.31114196777344
2019-09-13,113.67890167236328
2019-09-16,112.84658813476562
2019-09-17,110.26254272460938
2019-09-18,109.26570892333984
2019-09-19,107.89141082763672
2019-09-20,105.2492904663086
2019-09-23,104.62987518310547
2019-09-24,105.83965301513672
2019-09-25,107.42684173583984
2019-09-26,106.79778289794922
2019-09-27,104.76537322998047
2019-09-30,105.22026824951172
2019-10-01,106.38162231445312
2019-10-02,107.6107406616211
2019-10-03,106.32355499267578
2019-10-04,105.40414428710938
2019-10-07,103.5749740600586
2019-10-08,99.26821899414062
2019-10-09,101.05866241455078
2019-10-10,102.6458740234375
2019-10-11,109.14955139160156
2019-10-14,108.70436096191406
2019-10-15,111.18195343017578
2019-10-16,110.16575622558594
2019-10-17,110.37867736816406
2019-10-18,109.86573791503906
2019-10-21,113.10790252685547
2019-10-22,111.97555541992188
2019-10-23,112.13040924072266
2019-10-24,113.34017181396484
2019-10-25,116.95978546142578
