,LKQ
2016-11-09,30.035131454467773
2016-11-10,29.829219818115234
2016-11-11,30.138090133666992
2016-11-14,30.437597274780273
2016-11-15,30.79326820373535
2016-11-16,30.924299240112305
2016-11-17,30.577993392944336
2016-11-18,30.18488883972168
2016-11-21,30.58734893798828
2016-11-22,31.0927734375
2016-11-23,31.158288955688477
2016-11-25,31.29868507385254
2016-11-28,31.139575958251953
2016-11-29,30.896223068237305
2016-11-30,30.72774887084961
2016-12-01,30.50311851501465
2016-12-02,30.17552947998047
2016-12-05,30.577993392944336
2016-12-06,30.93366241455078
2016-12-07,31.44843864440918
2016-12-08,31.50459861755371
2016-12-09,32.09425735473633
2016-12-12,31.139575958251953
2016-12-13,31.223812103271484
2016-12-14,30.325284957885742
2016-12-15,30.484390258789062
2016-12-16,30.353363037109375
2016-12-19,29.94153594970703
2016-12-20,29.96961784362793
2016-12-21,30.297199249267578
2016-12-22,28.958770751953125
2016-12-23,28.949413299560547
2016-12-27,29.32379722595215
2016-12-28,28.90261459350586
2016-12-29,28.90261459350586
2016-12-30,28.687339782714844
2017-01-03,29.04300880432129
2017-01-04,29.239559173583984
2017-01-05,29.25827980041504
2017-01-06,29.642026901245117
2017-01-09,29.192764282226562
2017-01-10,29.25827980041504
2017-01-11,29.18340492248535
2017-01-12,29.613943099975586
2017-01-13,29.763700485229492
2017-01-17,29.576509475708008
2017-01-18,29.829219818115234
2017-01-19,29.464195251464844
2017-01-20,29.595230102539062
2017-01-23,29.632667541503906
2017-01-24,29.464195251464844
2017-01-25,29.58586883544922
2017-01-26,29.567150115966797
2017-01-27,29.454833984375
2017-01-30,29.810503005981445
2017-01-31,29.866655349731445
2017-02-01,29.670106887817383
2017-02-02,29.707542419433594
2017-02-03,29.913455963134766
2017-02-06,29.464195251464844
2017-02-07,28.91197395324707
2017-02-08,28.677982330322266
2017-02-09,29.239559173583984
2017-02-10,29.202123641967773
2017-02-13,29.342519760131836
2017-02-14,29.632667541503906
2017-02-15,29.876014709472656
2017-02-16,29.93217658996582
2017-02-17,29.89473533630371
2017-02-21,30.72774887084961
2017-02-22,30.93366241455078
2017-02-23,29.557788848876953
2017-02-24,29.838577270507812
2017-02-27,29.567150115966797
2017-02-28,29.557788848876953
2017-03-01,30.194246292114258
2017-03-02,29.5390682220459
2017-03-03,29.67946434020996
2017-03-06,29.30508041381836
2017-03-07,28.91197395324707
2017-03-08,28.73413848876953
2017-03-09,28.49078369140625
2017-03-10,28.078964233398438
2017-03-13,28.294235229492188
2017-03-14,28.219356536865234
2017-03-15,28.247438430786133
2017-03-16,28.462711334228516
2017-03-17,28.369112014770508
2017-03-20,28.069602966308594
2017-03-21,27.751375198364258
2017-03-22,27.77009391784668
2017-03-23,27.648418426513672
2017-03-24,27.508024215698242
2017-03-27,27.508024215698242
2017-03-28,27.723299026489258
2017-03-29,27.751375198364258
2017-03-30,27.70457649230957
2017-03-31,27.395708084106445
2017-04-03,26.862207412719727
2017-04-04,26.53462028503418
2017-04-05,26.160234451293945
2017-04-06,26.30999183654785
2017-04-07,26.26319122314453
2017-04-10,26.49717903137207
2017-04-11,26.787330627441406
2017-04-12,26.338071823120117
2017-04-13,26.150876998901367
2017-04-17,26.281911849975586
2017-04-18,26.41294288635254
2017-04-19,26.66565704345703
2017-04-20,27.124277114868164
2017-04-21,27.152355194091797
2017-04-24,27.545459747314453
2017-04-25,27.863693237304688
2017-04-26,28.256799697875977
2017-04-27,29.192764282226562
2017-04-28,29.239559173583984
2017-05-01,29.426755905151367
2017-05-02,29.445472717285156
2017-05-03,29.202123641967773
2017-05-04,29.061723709106445
2017-05-05,29.501628875732422
2017-05-08,29.408035278320312
2017-05-09,29.398672103881836
2017-05-10,29.286361694335938
2017-05-11,29.04300880432129
2017-05-12,29.033649444580078
2017-05-15,29.174043655395508
2017-05-16,28.9962100982666
2017-05-17,28.762218475341797
2017-05-18,28.893253326416016
2017-05-19,29.061723709106445
2017-05-22,29.436113357543945
2017-05-23,29.26763916015625
2017-05-24,29.25827980041504
2017-05-25,29.492271423339844
2017-05-26,29.529705047607422
2017-05-30,29.342519760131836
2017-05-31,29.473552703857422
2017-06-01,30.26912498474121
2017-06-02,30.259763717651367
2017-06-05,30.26912498474121
2017-06-06,29.857295989990234
2017-06-07,29.819860458374023
2017-06-08,29.501628875732422
2017-06-09,29.92281723022461
2017-06-12,30.278478622436523
2017-06-13,30.55927848815918
2017-06-14,30.428237915039062
2017-06-15,30.428237915039062
2017-06-16,30.353363037109375
2017-06-19,30.79326820373535
2017-06-20,30.315919876098633
2017-06-21,30.04448890686035
2017-06-22,30.053852081298828
2017-06-23,30.20360565185547
2017-06-26,30.577993392944336
2017-06-27,30.278478622436523
2017-06-28,30.315919876098633
2017-06-29,30.55927848815918
2017-06-30,30.840063095092773
2017-07-03,31.17700958251953
2017-07-05,30.372081756591797
2017-07-06,29.379955291748047
2017-07-07,29.473552703857422
2017-07-10,29.698183059692383
2017-07-11,29.89473533630371
2017-07-12,30.035131454467773
2017-07-13,30.259763717651367
2017-07-14,30.45631980895996
2017-07-17,31.074054718017578
2017-07-18,30.93366241455078
2017-07-19,31.25189208984375
2017-07-20,31.27997398376465
2017-07-21,31.354843139648438
2017-07-24,30.896223068237305
2017-07-25,30.79326820373535
2017-07-26,30.737104415893555
2017-07-27,31.738584518432617
2017-07-28,32.31888198852539
2017-07-31,32.34696578979492
2017-08-01,32.0661735534668
2017-08-02,31.963220596313477
2017-08-03,31.92578125
2017-08-04,31.97258949279785
2017-08-07,32.29080581665039
2017-08-08,32.1317024230957
2017-08-09,32.26272964477539
2017-08-10,31.588834762573242
2017-08-11,31.654354095458984
2017-08-14,31.616914749145508
2017-08-15,31.542037963867188
2017-08-16,32.300167083740234
2017-08-17,31.90705680847168
2017-08-18,31.869625091552734
2017-08-21,31.878986358642578
2017-08-22,32.103614807128906
2017-08-23,31.9538631439209
2017-08-24,31.776033401489258
2017-08-25,32.103614807128906
2017-08-28,32.047454833984375
