,EXR
2016-08-05,60.396568298339844
2016-08-08,60.257442474365234
2016-08-09,60.7041130065918
2016-08-10,61.333866119384766
2016-08-11,61.18008804321289
2016-08-12,61.099525451660156
2016-08-15,60.857879638671875
2016-08-16,60.45515060424805
2016-08-17,60.46977996826172
2016-08-18,59.87666702270508
2016-08-19,59.15904998779297
2016-08-22,59.5691032409668
2016-08-23,59.444637298583984
2016-08-24,58.99797058105469
2016-08-25,59.30550003051758
2016-08-26,58.49268341064453
2016-08-29,59.00527572631836
2016-08-30,58.87348556518555
2016-08-31,58.98330307006836
2016-09-01,59.32014846801758
2016-09-02,59.94256591796875
2016-09-06,60.096336364746094
2016-09-07,60.52837371826172
2016-09-08,59.94987869262695
2016-09-09,58.52197265625
2016-09-12,57.50415802001953
2016-09-13,56.33556365966797
2016-09-14,57.04560470581055
2016-09-15,57.51154708862305
2016-09-16,57.09736251831055
2016-09-19,57.36361312866211
2016-09-20,57.18613052368164
2016-09-21,57.430198669433594
2016-09-22,58.74668502807617
2016-09-23,59.183048248291016
2016-09-26,60.18892288208008
2016-09-27,59.81910705566406
2016-09-28,60.35901641845703
2016-09-29,59.848690032958984
2016-09-30,58.73189926147461
2016-10-03,57.437599182128906
2016-10-04,56.72016525268555
2016-10-05,54.8267822265625
2016-10-06,54.81198501586914
2016-10-07,55.817867279052734
2016-10-10,55.91401290893555
2016-10-11,55.411075592041016
2016-10-12,56.03232955932617
2016-10-13,56.269012451171875
2016-10-14,56.1580696105957
2016-10-17,56.4243278503418
2016-10-18,56.35036849975586
2016-10-19,56.4243278503418
2016-10-20,56.40953826904297
2016-10-21,55.337120056152344
2016-10-24,55.53680419921875
2016-10-25,55.67733383178711
2016-10-26,56.3725700378418
2016-10-27,52.20856857299805
2016-10-28,53.317996978759766
2016-10-31,54.10197067260742
2016-11-01,52.704139709472656
2016-11-02,52.89640808105469
2016-11-03,52.08285140991211
2016-11-04,52.99997329711914
2016-11-07,54.79719543457031
2016-11-08,55.75129318237305
2016-11-09,56.202457427978516
2016-11-10,54.31646728515625
2016-11-11,54.553138732910156
2016-11-14,55.35929489135742
2016-11-15,54.27948760986328
2016-11-16,53.1552848815918
2016-11-17,52.1494255065918
2016-11-18,52.223384857177734
2016-11-21,50.86989974975586
2016-11-22,51.631690979003906
2016-11-23,51.50597381591797
2016-11-25,51.831398010253906
2016-11-28,52.47483444213867
2016-11-29,52.40089797973633
2016-11-30,51.89056396484375
2016-12-01,51.18793869018555
2016-12-02,51.90534973144531
2016-12-05,52.09025573730469
2016-12-06,53.17747116088867
2016-12-07,54.878562927246094
2016-12-08,55.610774993896484
2016-12-09,55.477638244628906
2016-12-12,55.27793502807617
2016-12-13,54.83420181274414
2016-12-14,54.29427719116211
2016-12-15,54.10737991333008
2016-12-16,55.467918395996094
2016-12-19,56.021114349365234
2016-12-20,55.54267501831055
2016-12-21,55.00444412231445
2016-12-22,55.587528228759766
2016-12-23,55.886539459228516
2016-12-27,56.35002136230469
2016-12-28,55.57255935668945
2016-12-29,56.50700378417969
2016-12-30,57.74045181274414
2017-01-03,57.598426818847656
2017-01-04,57.90492630004883
2017-01-05,58.659942626953125
2017-01-06,59.20563507080078
2017-01-09,58.50294876098633
2017-01-10,57.284454345703125
2017-01-11,55.80431365966797
2017-01-12,55.176353454589844
2017-01-13,54.30923080444336
2017-01-17,54.60075759887695
2017-01-18,54.69794845581055
2017-01-19,54.6456184387207
2017-01-20,54.88483810424805
2017-01-23,56.06594467163086
2017-01-24,56.17060852050781
2017-01-25,55.146484375
2017-01-26,55.30345916748047
2017-01-27,54.720359802246094
2017-01-30,54.047576904296875
2017-01-31,53.860679626464844
2017-02-01,53.554195404052734
2017-02-02,54.16719055175781
2017-02-03,54.578338623046875
2017-02-06,54.72785186767578
2017-02-07,55.10908889770508
2017-02-08,55.460445404052734
2017-02-09,55.69965362548828
2017-02-10,56.06594467163086
2017-02-13,55.95381546020508
2017-02-14,54.94462966918945
2017-02-15,54.97453689575195
2017-02-16,55.968780517578125
2017-02-17,57.74794006347656
2017-02-21,58.5851936340332
2017-02-22,58.24879455566406
2017-02-23,59.1607780456543
2017-02-24,59.42244338989258
2017-02-27,59.437374114990234
2017-02-28,59.198177337646484
2017-03-01,59.66912078857422
2017-03-02,59.37010192871094
2017-03-03,59.115943908691406
2017-03-06,59.400020599365234
2017-03-07,59.04867172241211
2017-03-08,58.7720832824707
2017-03-09,56.985435485839844
2017-03-10,55.871585845947266
2017-03-13,55.335227966308594
2017-03-14,56.00001525878906
2017-03-15,57.034976959228516
2017-03-16,56.41548538208008
2017-03-17,56.92918395996094
2017-03-20,56.9367561340332
2017-03-21,56.891441345214844
2017-03-22,57.01229476928711
2017-03-23,57.034976959228516
2017-03-24,56.68745803833008
2017-03-27,56.249305725097656
2017-03-28,56.4759407043457
2017-03-29,55.9471321105957
2017-03-30,55.901798248291016
2017-03-31,56.19642639160156
2017-04-03,57.06517791748047
2017-04-04,57.5184326171875
2017-04-05,58.45517349243164
2017-04-06,58.68933868408203
2017-04-07,58.97639846801758
2017-04-10,59.512779235839844
2017-04-11,59.437217712402344
2017-04-12,58.87065887451172
2017-04-13,58.999061584472656
2017-04-17,60.75923538208008
2017-04-18,61.03873062133789
2017-04-19,60.78945541381836
2017-04-20,60.90276336669922
2017-04-21,60.78945541381836
2017-04-24,59.63364028930664
2017-04-25,59.36167526245117
2017-04-26,59.656288146972656
2017-04-27,57.45042419433594
2017-04-28,57.05759811401367
2017-05-01,56.982078552246094
2017-05-02,55.55431365966797
2017-05-03,55.0179557800293
2017-05-04,55.380550384521484
2017-05-05,55.44099807739258
2017-05-08,55.305023193359375
2017-05-09,55.252132415771484
2017-05-10,55.259681701660156
2017-05-11,54.77622604370117
2017-05-12,54.70823669433594
2017-05-15,55.335227966308594
2017-05-16,54.23231506347656
2017-05-17,56.86121368408203
2017-05-18,57.337127685546875
2017-05-19,57.7828369140625
2017-05-22,58.57603073120117
2017-05-23,58.83287811279297
2017-05-24,59.44477081298828
2017-05-25,59.70916748046875
2017-05-26,58.92354202270508
2017-05-30,58.29652786254883
2017-05-31,58.52314376831055
2017-06-01,57.23889923095703
2017-06-02,57.76016616821289
2017-06-05,57.17091751098633
2017-06-06,56.26441192626953
2017-06-07,57.28423309326172
2017-06-08,56.78565979003906
2017-06-09,56.29462432861328
2017-06-12,56.997169494628906
2017-06-13,57.401737213134766
2017-06-14,57.554412841796875
2017-06-15,58.615413665771484
2017-06-16,59.920692443847656
2017-06-19,59.47797393798828
2017-06-20,59.760398864746094
2017-06-21,59.60773468017578
2017-06-22,59.01234436035156
2017-06-23,60.11152267456055
2017-06-26,60.119178771972656
2017-06-27,59.775672912597656
2017-06-28,59.500877380371094
2017-06-29,59.18027114868164
2017-06-30,59.53905487060547
2017-07-03,59.91307067871094
2017-07-05,59.07342529296875
2017-07-06,57.94369888305664
2017-07-07,58.41694641113281
2017-07-10,57.06588363647461
2017-07-11,56.58498764038086
2017-07-12,57.577308654785156
2017-07-13,57.68416976928711
2017-07-14,58.531463623046875
2017-07-17,59.0810432434082
2017-07-18,59.142127990722656
2017-07-19,60.142066955566406
2017-07-20,59.71460723876953
2017-07-21,60.27945327758789
2017-07-24,60.02756118774414
2017-07-25,60.66875076293945
2017-07-26,61.2946891784668
2017-07-27,58.39405059814453
2017-07-28,59.47797393798828
2017-07-31,60.684017181396484
2017-08-01,60.52372360229492
2017-08-02,60.500831604003906
2017-08-03,58.94364547729492
2017-08-04,59.34821701049805
2017-08-07,59.439823150634766
2017-08-08,58.77572250366211
2017-08-09,58.462745666503906
2017-08-10,58.18796157836914
2017-08-11,58.249027252197266
2017-08-14,58.67649459838867
2017-08-15,58.47038650512695
2017-08-16,57.91316223144531
2017-08-17,58.157432556152344
2017-08-18,57.05060958862305
2017-08-21,57.64601516723633
2017-08-22,57.875003814697266
2017-08-23,59.2795295715332
2017-08-24,59.18027114868164
2017-08-25,58.69939422607422
2017-08-28,58.9818115234375
2017-08-29,59.60011291503906
2017-08-30,59.226070404052734
2017-08-31,59.25660705566406
2017-09-01,59.37111282348633
2017-09-05,59.844356536865234
2017-09-06,60.60005569458008
2017-09-07,62.01219940185547
2017-09-08,62.78315734863281
2017-09-11,60.85957717895508
2017-09-12,59.13447189331055
2017-09-13,59.29477310180664
2017-09-14,60.428245544433594
2017-09-15,60.96796798706055
2017-09-18,61.2224235534668
2017-09-19,61.2532958984375
2017-09-20,61.268699645996094
2017-09-21,61.1761474609375
2017-09-22,60.829200744628906
2017-09-25,61.446044921875
2017-09-26,61.199310302734375
2017-09-27,60.173789978027344
2017-09-28,60.9757080078125
2017-09-29,61.623374938964844
2017-10-02,61.37666702270508
2017-10-03,60.92943572998047
2017-10-04,61.37666702270508
2017-10-05,62.03976058959961
2017-10-06,61.978092193603516
2017-10-09,61.70050811767578
2017-10-10,61.83928680419922
2017-10-11,62.12457275390625
2017-10-12,62.92650604248047
2017-10-13,63.7746467590332
2017-10-16,63.1269645690918
2017-10-17,63.37370300292969
2017-10-18,63.16551971435547
2017-10-19,62.99586486816406
2017-10-20,63.04985046386719
2017-10-23,63.1269645690918
2017-10-24,62.0012092590332
2017-10-25,62.18627166748047
2017-10-26,60.68269729614258
2017-10-27,61.91639709472656
2017-10-30,62.5255241394043
2017-10-31,62.91106033325195
2017-11-01,62.91877365112305
2017-11-02,64.09078216552734
2017-11-03,65.57122802734375
2017-11-06,66.3268814086914
2017-11-07,66.06472778320312
2017-11-08,66.31915283203125
2017-11-09,65.88735961914062
2017-11-10,66.31144714355469
2017-11-13,66.9822769165039
2017-11-14,66.5736083984375
2017-11-15,66.05699920654297
2017-11-16,67.23673248291016
2017-11-17,67.23673248291016
2017-11-20,67.35237121582031
2017-11-21,67.5914077758789
2017-11-22,67.4063720703125
2017-11-24,67.3755111694336
2017-11-27,67.39095306396484
2017-11-28,65.70230865478516
2017-11-29,65.58665466308594
2017-11-30,65.8179702758789
2017-12-01,65.69461059570312
2017-12-04,65.42474365234375
2017-12-05,65.44015502929688
2017-12-06,65.8796615600586
2017-12-07,65.733154296875
2017-12-08,66.52735900878906
2017-12-11,67.71479034423828
2017-12-12,67.74565124511719
2017-12-13,67.54513549804688
2017-12-14,67.37399291992188
2017-12-15,68.12085723876953
2017-12-18,68.13644409179688
2017-12-19,67.06280517578125
2017-12-20,66.64268493652344
2017-12-21,66.26146697998047
2017-12-22,67.00054931640625
2017-12-26,67.52960205078125
2017-12-27,68.00416564941406
2017-12-28,68.27647399902344
2017-12-29,68.03528594970703
2018-01-02,66.65825653076172
2018-01-03,66.79827880859375
2018-01-04,65.58462524414062
2018-01-05,65.2734375
2018-01-08,66.26146697998047
2018-01-09,64.6588134765625
2018-01-10,64.07532501220703
2018-01-11,63.98973083496094
2018-01-12,63.98973083496094
2018-01-16,64.34760284423828
2018-01-17,64.93112182617188
2018-01-18,64.3398208618164
2018-01-19,65.07112121582031
2018-01-22,66.24590301513672
2018-01-23,67.46736145019531
2018-01-24,66.54933166503906
2018-01-25,66.12919616699219
2018-01-26,65.51459503173828
2018-01-29,64.40984344482422
2018-01-30,64.50322723388672
2018-01-31,64.94667053222656
2018-02-01,63.84191131591797
2018-02-02,63.67076110839844
2018-02-05,62.13813400268555
2018-02-06,62.02919387817383
2018-02-07,62.56601333618164
2018-02-08,60.340938568115234
2018-02-09,62.54265594482422
2018-02-12,62.86166000366211
2018-02-13,64.2464599609375
2018-02-14,63.12616729736328
2018-02-15,64.19200897216797
2018-02-16,63.95082092285156
2018-02-20,62.82274627685547
2018-02-21,63.40624237060547
2018-02-22,65.6857681274414
