,YUM
2021-01-21,100.18424224853516
2021-01-22,99.4505844116211
2021-01-25,97.75112915039062
2021-01-26,98.75408172607422
2021-01-27,94.74226379394531
2021-01-28,95.21588134765625
2021-01-29,94.25008392333984
2021-02-01,95.70809936523438
2021-02-02,98.71696472167969
2021-02-03,97.25894927978516
2021-02-04,95.64306640625
2021-02-05,97.82542419433594
2021-02-08,95.98667907714844
2021-02-09,95.76380920410156
2021-02-10,97.342529296875
2021-02-11,98.42493438720703
2021-02-12,98.41559600830078
2021-02-16,98.53691101074219
2021-02-17,97.36117553710938
2021-02-18,98.32231903076172
2021-02-19,98.09834289550781
2021-02-22,97.98638153076172
2021-02-23,97.65045928955078
2021-02-24,97.67845153808594
2021-02-25,97.69710540771484
2021-02-26,96.60537719726562
2021-03-01,97.51982879638672
2021-03-02,97.73442840576172
2021-03-03,96.58670806884766
2021-03-04,96.6427001953125
2021-03-05,97.35185241699219
2021-03-08,97.17456817626953
2021-03-09,95.8122329711914
2021-03-10,97.61312866210938
2021-03-11,97.63179016113281
2021-03-12,97.79975128173828
2021-03-15,100.7670669555664
2021-03-16,101.52288818359375
2021-03-17,103.59440612792969
2021-03-18,101.06566619873047
2021-03-19,100.73906707763672
2021-03-22,101.47623443603516
2021-03-23,100.7763900756836
2021-03-24,99.91793823242188
2021-03-25,100.1978530883789
2021-03-26,100.83236694335938
2021-03-29,101.90546417236328
2021-03-30,102.42801666259766
2021-03-31,100.94436645507812
2021-04-01,102.45600891113281
2021-04-05,103.23982238769531
2021-04-06,106.44973754882812
2021-04-07,106.42174530029297
2021-04-08,106.99093627929688
2021-04-09,107.2708740234375
2021-04-12,108.63322448730469
2021-04-13,109.59432220458984
2021-04-14,110.25684356689453
2021-04-15,109.74362182617188
2021-04-16,110.16352844238281
2021-04-19,109.8369369506836
2021-04-20,110.0702133178711
2021-04-21,109.59432220458984
2021-04-22,109.93958282470703
2021-04-23,109.84626770019531
2021-04-26,107.94271850585938
2021-04-27,108.62388610839844
2021-04-28,109.70628356933594
2021-04-29,110.95667266845703
2021-04-30,111.52587127685547
2021-05-03,111.95512390136719
2021-05-04,111.38591766357422
2021-05-05,112.99085235595703
2021-05-06,113.177490234375
2021-05-07,113.12149810791016
2021-05-10,113.7653579711914
2021-05-11,111.18061828613281
2021-05-12,109.31436920166016
2021-05-13,110.1915054321289
2021-05-14,111.29258728027344
2021-05-17,110.71408081054688
2021-05-18,111.31124877929688
2021-05-19,110.7700424194336
2021-05-20,111.91777801513672
2021-05-21,111.70317077636719
2021-05-24,112.45899200439453
2021-05-25,112.53363800048828
2021-05-26,112.4310073852539
2021-05-27,112.52470397949219
2021-05-28,112.4122543334961
2021-06-01,112.34667205810547
2021-06-02,111.7282485961914
2021-06-03,111.24099731445312
2021-06-04,111.28783416748047
2021-06-07,110.86619567871094
2021-06-08,111.55958557128906
2021-06-09,110.12596893310547
2021-06-10,111.23162841796875
2021-06-11,112.1124267578125
2021-06-14,110.6225814819336
2021-06-15,111.10044860839844
2021-06-16,110.69754791259766
2021-06-17,109.47943115234375
2021-06-18,107.41804504394531
2021-06-21,109.40447235107422
2021-06-22,110.09786224365234
2021-06-23,109.5731430053711
2021-06-24,109.6199951171875
