,MDT
2020-06-09,87.28202056884766
2020-06-10,85.90818786621094
2020-06-11,80.02539825439453
2020-06-12,82.08612823486328
2020-06-15,82.44721221923828
2020-06-16,84.1468734741211
2020-06-17,84.08523559570312
2020-06-18,83.1605453491211
2020-06-19,82.70259094238281
2020-06-22,82.19181060791016
2020-06-23,82.24464416503906
2020-06-24,78.31690979003906
2020-06-25,78.76900482177734
2020-06-26,78.6892318725586
2020-06-29,80.01002502441406
2020-06-30,81.2864761352539
2020-07-01,81.83607482910156
2020-07-02,82.5806884765625
2020-07-06,82.62501525878906
2020-07-07,81.25989532470703
2020-07-08,81.20671844482422
2020-07-09,79.894775390625
2020-07-10,80.49755096435547
2020-07-13,82.2349853515625
2020-07-14,83.90149688720703
2020-07-15,86.12645721435547
2020-07-16,84.87657165527344
2020-07-17,87.38519287109375
2020-07-20,84.85884094238281
2020-07-21,85.81620025634766
2020-07-22,86.4189682006836
2020-07-23,85.60344696044922
2020-07-24,85.40843200683594
2020-07-27,85.47936248779297
2020-07-28,85.40843200683594
2020-07-29,87.50929260253906
2020-07-30,85.51482391357422
2020-07-31,85.52366638183594
2020-08-03,86.27713775634766
2020-08-04,85.3552474975586
2020-08-05,86.0023422241211
2020-08-06,85.74528503417969
2020-08-07,88.68826293945312
2020-08-10,88.98078155517578
2020-08-11,89.28218078613281
2020-08-12,90.49658203125
2020-08-13,89.78744506835938
2020-08-14,89.27332305908203
2020-08-17,90.29271697998047
2020-08-18,90.02676391601562
2020-08-19,89.37081909179688
2020-08-20,88.89212799072266
2020-08-21,87.5181655883789
2020-08-24,88.7591781616211
2020-08-25,90.93981170654297
2020-08-26,92.2606201171875
2020-08-27,94.72490692138672
2020-08-28,95.6113510131836
2020-08-31,95.26564025878906
2020-09-01,95.30994415283203
2020-09-02,96.42687225341797
2020-09-03,94.0955581665039
2020-09-04,93.73210906982422
2020-09-08,92.7038345336914
2020-09-09,94.5476303100586
2020-09-10,92.88111877441406
2020-09-11,92.87226104736328
2020-09-14,94.82241821289062
2020-09-15,95.35429382324219
2020-09-16,95.28336334228516
2020-09-17,95.56703186035156
2020-09-18,95.38088989257812
2020-09-21,92.89884948730469
2020-09-22,92.49994659423828
2020-09-23,91.2855224609375
2020-09-24,90.27819061279297
2020-09-25,91.96304321289062
2020-09-28,92.38201904296875
2020-09-29,91.54405212402344
2020-09-30,92.64055633544922
2020-10-01,91.1963882446289
2020-10-02,90.8932876586914
2020-10-05,92.45332336425781
2020-10-06,92.15914916992188
2020-10-07,94.19169616699219
2020-10-08,96.09941864013672
2020-10-09,96.88390350341797
2020-10-12,97.22264862060547
2020-10-13,95.33275604248047
2020-10-14,95.88545989990234
2020-10-15,95.84980010986328
2020-10-16,98.176513671875
2020-10-19,96.70560455322266
2020-10-20,97.30288696289062
2020-10-21,97.37421417236328
2020-10-22,99.70091247558594
2020-10-23,99.32649993896484
2020-10-26,96.21530151367188
2020-10-27,93.79053497314453
2020-10-28,91.45491790771484
2020-10-29,90.36732482910156
2020-10-30,89.65413665771484
2020-11-02,91.31227111816406
2020-11-03,91.93629455566406
2020-11-04,91.33900451660156
2020-11-05,92.72077941894531
2020-11-06,92.31962585449219
