,KIM
2021-08-30,18.785524368286133
2021-08-31,18.7511043548584
2021-09-01,18.957632064819336
2021-09-02,19.00065803527832
2021-09-03,19.043685913085938
2021-09-07,18.7683162689209
2021-09-08,18.803010940551758
2021-09-09,18.586183547973633
2021-09-10,18.317323684692383
2021-09-13,19.002487182617188
2021-09-14,18.846372604370117
2021-09-15,18.976465225219727
2021-09-16,19.149925231933594
2021-09-17,18.837697982788086
2021-09-20,18.55148696899414
2021-09-21,18.5775089263916
2021-09-22,18.9417724609375
2021-09-23,18.959121704101562
2021-09-24,18.733623504638672
2021-09-27,18.67291259765625
2021-09-28,18.499454498291016
2021-09-29,18.603530883789062
2021-09-30,17.996417999267578
2021-10-01,18.85504722595215
2021-10-04,18.881067276000977
2021-10-05,18.629545211791992
2021-10-06,18.759641647338867
2021-10-07,18.91575813293457
2021-10-08,18.837697982788086
2021-10-11,18.924427032470703
2021-10-12,19.149925231933594
2021-10-13,19.392772674560547
2021-10-14,19.41878890991211
2021-10-15,19.522865295410156
2021-10-18,19.887126922607422
2021-10-19,19.63561248779297
2021-10-20,20.15599250793457
2021-10-21,19.826416015625
2021-10-22,19.913145065307617
2021-10-25,20.12129783630371
2021-10-26,20.19068145751953
2021-10-27,19.67030906677246
2021-10-28,19.722341537475586
2021-10-29,19.600921630859375
2021-11-01,19.852434158325195
2021-11-02,20.33812713623047
2021-11-03,20.823806762695312
2021-11-04,20.30343246459961
2021-11-05,21.110015869140625
2021-11-08,20.225374221801758
2021-11-09,20.16466522216797
2021-11-10,20.30343246459961
2021-11-11,20.641677856445312
2021-11-12,20.416179656982422
2021-11-15,20.702392578125
2021-11-16,20.442197799682617
2021-11-17,20.66769790649414
2021-11-18,20.884523391723633
2021-11-19,20.702392578125
2021-11-22,20.936555862426758
2021-11-23,20.97125244140625
2021-11-24,21.14470672607422
2021-11-26,20.15599250793457
2021-11-29,20.19068145751953
2021-11-30,19.444808959960938
2021-12-01,19.080537796020508
2021-12-02,20.060588836669922
2021-12-03,19.826416015625
2021-12-06,20.29475975036621
2021-12-07,20.476890563964844
2021-12-08,20.66034507751465
2021-12-09,20.25849151611328
2021-12-10,20.057567596435547
2021-12-13,20.057567596435547
2021-12-14,19.77802085876465
2021-12-15,19.926530838012695
2021-12-16,19.874116897583008
2021-12-17,19.93526268005371
2021-12-20,19.43732452392578
2021-12-21,20.43321418762207
2021-12-22,20.57298469543457
2021-12-23,20.695289611816406
2021-12-27,20.9923095703125
2021-12-28,21.05345916748047
2021-12-29,21.18449592590332
2021-12-30,21.42036247253418
2021-12-31,21.533931732177734
2022-01-03,21.472782135009766
2022-01-04,22.040613174438477
2022-01-05,21.630027770996094
2022-01-06,21.769800186157227
2022-01-07,21.621288299560547
2022-01-10,21.95325469970703
2022-01-11,21.8746337890625
2022-01-12,21.944517135620117
2022-01-13,22.040613174438477
2022-01-14,21.848424911499023
2022-01-18,21.708650588989258
2022-01-19,21.15829086303711
2022-01-20,20.669078826904297
2022-01-21,20.695289611816406
2022-01-24,20.765178680419922
2022-01-25,21.16702651977539
2022-01-26,20.9923095703125
2022-01-27,20.44194984436035
2022-01-28,21.140819549560547
2022-01-31,21.1932315826416
2022-02-01,21.105878829956055
2022-02-02,21.429101943969727
2022-02-03,21.001047134399414
2022-02-04,20.81759262084961
2022-02-07,20.7913818359375
2022-02-08,21.070934295654297
2022-02-09,21.577613830566406
2022-02-10,21.088401794433594
2022-02-11,20.922422409057617
2022-02-14,20.354591369628906
2022-02-15,20.7302303314209
2022-02-16,21.20197296142578
2022-02-17,20.861270904541016
2022-02-18,20.7913818359375
2022-02-22,20.677814483642578
2022-02-23,20.249759674072266
2022-02-24,20.808855056762695
2022-02-25,21.3330078125
2022-02-28,20.555513381958008
2022-03-01,20.022624969482422
2022-03-02,20.765178680419922
2022-03-03,20.861270904541016
2022-03-04,20.7302303314209
2022-03-07,20.241024017333984
2022-03-08,20.686552047729492
2022-03-09,21.07403564453125
2022-03-10,21.00358772277832
2022-03-11,20.880294799804688
2022-03-14,20.475196838378906
2022-03-15,20.827457427978516
2022-03-16,21.021203994750977
2022-03-17,21.03000831604004
2022-03-18,21.153301239013672
2022-03-21,21.09165382385254
2022-03-22,21.49675178527832
2022-03-23,21.153301239013672
2022-03-24,21.21494483947754
2022-03-25,21.470333099365234
2022-03-28,21.470333099365234
2022-03-29,22.333375930786133
2022-03-30,22.016338348388672
2022-03-31,21.75214385986328
2022-04-01,21.831401824951172
2022-04-04,21.67288589477539
2022-04-05,21.26778221130371
2022-04-06,21.285396575927734
2022-04-07,21.162105560302734
2022-04-08,21.443912506103516
2022-04-11,21.549591064453125
2022-04-12,21.49675178527832
2022-04-13,22.06036949157715
2022-04-14,22.130823135375977
2022-04-18,22.113210678100586
2022-04-19,22.72085952758789
2022-04-20,23.09073829650879
