,AIZ
2017-07-27,90.45222473144531
2017-07-28,90.90906524658203
2017-07-31,90.73666381835938
2017-08-01,91.58999633789062
2017-08-02,89.50407409667969
2017-08-03,89.50407409667969
2017-08-04,90.45222473144531
2017-08-07,89.54718017578125
2017-08-08,90.28844451904297
2017-08-09,90.52117156982422
2017-08-10,88.77145385742188
2017-08-11,88.38357543945312
2017-08-14,89.8402328491211
2017-08-15,89.07310485839844
2017-08-16,88.44390106201172
2017-08-17,86.47005462646484
2017-08-18,86.20284271240234
2017-08-21,85.65979766845703
2017-08-22,86.10804748535156
2017-08-23,86.2459487915039
2017-08-24,85.11077880859375
2017-08-25,85.34475708007812
2017-08-28,82.70182800292969
2017-08-29,81.90461730957031
2017-08-30,82.12992095947266
2017-08-31,82.05194091796875
2017-09-01,81.97396087646484
2017-09-05,78.386474609375
2017-09-06,78.91507720947266
2017-09-07,76.029541015625
2017-09-08,78.65512084960938
2017-09-11,80.88211822509766
2017-09-12,81.48868560791016
2017-09-13,81.25473022460938
2017-09-14,80.81279754638672
2017-09-15,81.32403564453125
2017-09-18,81.28073120117188
2017-09-19,80.56147766113281
2017-09-20,80.83013153076172
2017-09-21,81.1073989868164
2017-09-22,81.84395599365234
2017-09-25,82.26856994628906
2017-09-26,81.77465057373047
2017-09-27,82.88380432128906
2017-09-28,82.99644470214844
2017-09-29,82.7711410522461
2017-10-02,82.89247131347656
2017-10-03,82.92713928222656
2017-10-04,82.57183837890625
2017-10-05,82.74514770507812
2017-10-06,83.22174072265625
2017-10-09,82.84049224853516
2017-10-10,83.0311050415039
2017-10-11,82.59786224365234
2017-10-12,83.14375305175781
2017-10-13,82.93577575683594
2017-10-16,83.37772369384766
2017-10-17,83.0657730102539
2017-10-18,88.21297454833984
2017-10-19,87.64105224609375
2017-10-20,86.55789184570312
2017-10-23,86.2112808227539
2017-10-24,86.37590789794922
2017-10-25,86.47989654541016
2017-10-26,87.02583312988281
2017-10-27,86.69654846191406
2017-10-30,87.38977813720703
2017-10-31,87.21647644042969
2017-11-01,87.66706085205078
2017-11-02,86.83518981933594
2017-11-03,86.77452087402344
2017-11-06,86.02066040039062
2017-11-07,85.83000946044922
2017-11-08,85.24943542480469
2017-11-09,85.535400390625
2017-11-10,85.05012512207031
2017-11-13,85.52671813964844
2017-11-14,85.65670776367188
2017-11-15,85.66537475585938
2017-11-16,84.48689270019531
2017-11-17,85.45738983154297
2017-11-20,85.4227523803711
2017-11-21,85.26677703857422
2017-11-22,85.27540588378906
2017-11-24,85.28414154052734
2017-11-27,85.38001251220703
2017-11-28,87.11428833007812
2017-11-29,88.63937377929688
2017-11-30,87.9073257446289
2017-12-01,86.94869232177734
2017-12-04,86.97484588623047
2017-12-05,85.5804443359375
2017-12-06,85.423583984375
2017-12-07,85.91163635253906
2017-12-08,86.39093780517578
2017-12-11,87.0445556640625
2017-12-12,87.41056823730469
2017-12-13,86.12076568603516
2017-12-14,85.2231216430664
2017-12-15,85.67630767822266
2017-12-18,86.03363037109375
2017-12-19,86.00749206542969
2017-12-20,86.89639282226562
2017-12-21,88.12521362304688
2017-12-22,88.04676055908203
2017-12-26,88.16879272460938
2017-12-27,88.27336120605469
2017-12-28,88.61322021484375
2017-12-29,87.88121795654297
2018-01-02,86.47808074951172
2018-01-03,86.72209930419922
2018-01-04,87.19271850585938
2018-01-05,88.29077911376953
2018-01-08,86.88766479492188
2018-01-09,86.37352752685547
2018-01-10,84.09020233154297
2018-01-11,83.48017120361328
2018-01-12,83.13154602050781
2018-01-16,81.8243408203125
2018-01-17,82.6260986328125
2018-01-18,82.1554946899414
2018-01-19,81.98990631103516
2018-01-22,81.94633483886719
2018-01-23,82.59123229980469
2018-01-24,83.29713439941406
2018-01-25,82.81782531738281
2018-01-26,83.21868896484375
2018-01-29,82.22518920898438
2018-01-30,80.27304077148438
2018-01-31,79.72405242919922
2018-02-01,81.1009750366211
2018-02-02,80.13362121582031
2018-02-05,76.84811401367188
