,KMI
2016-12-08,13.747319221496582
2016-12-09,13.67598819732666
2016-12-12,13.799199104309082
2016-12-13,13.838105201721191
2016-12-14,13.500903129577637
2016-12-15,13.630595207214355
2016-12-16,13.838105201721191
2016-12-19,13.62411117553711
2016-12-20,13.46848201751709
2016-12-21,13.72786808013916
2016-12-22,13.611139297485352
2016-12-23,13.701926231384277
2016-12-27,13.708409309387207
2016-12-28,13.44254207611084
2016-12-29,13.461997985839844
2016-12-30,13.429574966430664
2017-01-03,14.013187408447266
2017-01-04,14.084515571594238
2017-01-05,14.065062522888184
2017-01-06,14.142878532409668
2017-01-09,14.032641410827637
2017-01-10,13.987248420715332
2017-01-11,14.227179527282715
2017-01-12,14.389293670654297
2017-01-13,14.538439750671387
2017-01-17,14.622735023498535
2017-01-18,14.551408767700195
2017-01-19,14.570859909057617
2017-01-20,14.583826065063477
2017-01-23,14.3568696975708
2017-01-24,14.668131828308105
2017-01-25,14.65516185760498
2017-01-26,14.538439750671387
2017-01-27,14.51249885559082
2017-01-30,14.333170890808105
2017-01-31,14.567931175231934
2017-02-01,14.496195793151855
2017-02-02,14.7700777053833
2017-02-03,14.959190368652344
2017-02-06,14.672262191772461
2017-02-07,14.424468040466309
2017-02-08,14.61357593536377
2017-02-09,14.594008445739746
2017-02-10,14.659223556518555
2017-02-13,14.704870223999023
2017-02-14,14.69835090637207
2017-02-15,14.522283554077148
2017-02-16,14.209275245666504
2017-02-17,14.19622802734375
2017-02-21,14.339695930480957
2017-02-22,14.026684761047363
2017-02-23,14.046249389648438
2017-02-24,13.850619316101074
2017-02-27,13.954955101013184
2017-02-28,13.89626693725586
2017-03-01,14.19622802734375
2017-03-02,14.24839973449707
2017-03-03,14.183186531066895
2017-03-06,14.189708709716797
2017-03-07,14.104933738708496
2017-03-08,13.883220672607422
2017-03-09,13.870182991027832
2017-03-10,14.020163536071777
2017-03-13,14.026684761047363
2017-03-14,13.720198631286621
2017-03-15,14.124500274658203
2017-03-16,14.05929183959961
2017-03-17,13.876704216003418
2017-03-20,13.818014144897461
2017-03-21,13.654988288879395
2017-03-22,13.681068420410156
2017-03-23,13.7919282913208
2017-03-24,13.7919282913208
2017-03-27,13.713677406311035
2017-03-28,13.967997550964355
2017-03-29,13.961475372314453
2017-03-30,13.974515914916992
2017-03-31,14.176671028137207
2017-04-03,14.078856468200684
2017-04-04,14.111456871032715
2017-04-05,14.00059986114502
2017-04-06,14.183186531066895
2017-04-07,14.05929183959961
2017-04-10,14.183186531066895
2017-04-11,14.091896057128906
2017-04-12,14.124500274658203
2017-04-13,13.94843578338623
2017-04-17,13.935395240783691
2017-04-18,13.79844856262207
2017-04-19,13.681068420410156
2017-04-20,13.511528968811035
2017-04-21,13.2180814743042
2017-04-24,13.452837944030762
2017-04-25,13.628904342651367
2017-04-26,13.641942024230957
2017-04-27,13.527142524719238
2017-04-28,13.533703804016113
2017-05-01,13.47465991973877
2017-05-02,13.415619850158691
2017-05-03,13.304099082946777
2017-05-04,12.962966918945312
2017-05-05,13.245055198669434
2017-05-08,13.218809127807617
2017-05-09,13.05480670928955
2017-05-10,13.245055198669434
2017-05-11,13.192569732666016
2017-05-12,13.06136417388916
2017-05-15,13.05480670928955
2017-05-16,12.989203453063965
2017-05-17,12.792398452758789
2017-05-18,12.759598731994629
2017-05-19,12.805520057678223
2017-05-22,12.798956871032715
2017-05-23,12.805520057678223
2017-05-24,12.707117080688477
2017-05-25,12.739919662475586
2017-05-26,12.628393173217773
2017-05-30,12.08389663696289
2017-05-31,12.306944847106934
2017-06-01,12.4578275680542
2017-06-02,12.431587219238281
2017-06-05,12.438146591186523
2017-06-06,12.333183288574219
2017-06-07,12.254465103149414
2017-06-08,12.306944847106934
2017-06-09,12.516868591308594
2017-06-12,12.54967212677002
2017-06-13,12.615274429321289
2017-06-14,12.438146591186523
2017-06-15,12.339746475219727
2017-06-16,12.589030265808105
2017-06-19,12.503747940063477
2017-06-20,12.149499893188477
2017-06-21,12.14294147491455
2017-06-22,12.188860893249512
2017-06-23,12.32662582397461
2017-06-26,12.385663986206055
2017-06-27,12.405345916748047
2017-06-28,12.477510452270508
2017-06-29,12.490629196166992
2017-06-30,12.569354057312012
2017-07-03,12.805520057678223
2017-07-05,12.667755126953125
2017-07-06,12.54967212677002
2017-07-07,12.575912475585938
2017-07-10,12.516868591308594
2017-07-11,12.608712196350098
2017-07-12,12.733359336853027
2017-07-13,12.68087387084961
2017-07-14,12.818643569946289
2017-07-17,12.825202941894531
2017-07-18,12.792398452758789
