,RMD
2023-03-10,202.3864288330078
2023-03-13,202.83865356445312
2023-03-14,205.03102111816406
2023-03-15,204.48048400878906
2023-03-16,207.7149658203125
2023-03-17,203.6055145263672
2023-03-20,207.11526489257812
2023-03-21,210.26124572753906
2023-03-22,207.223388671875
2023-03-23,207.0365753173828
2023-03-24,208.9930419921875
2023-03-27,212.17837524414062
2023-03-28,209.49441528320312
2023-03-29,209.9171600341797
2023-03-30,212.30615234375
2023-03-31,215.2948760986328
2023-04-03,215.47183227539062
2023-04-04,216.5237579345703
2023-04-05,217.4184112548828
2023-04-06,218.10662841796875
2023-04-10,218.39170837402344
2023-04-11,219.40432739257812
2023-04-12,218.43104553222656
2023-04-13,222.72731018066406
2023-04-14,220.7708740234375
2023-04-17,221.64584350585938
2023-04-18,219.1290740966797
2023-04-19,218.61782836914062
2023-04-20,221.05596923828125
2023-04-21,224.22164916992188
2023-04-24,225.61769104003906
2023-04-25,222.78628540039062
2023-04-26,220.1416778564453
2023-04-27,221.49839782714844
2023-04-28,236.89414978027344
2023-05-01,230.47434997558594
2023-05-02,231.95887756347656
2023-05-03,232.80435180664062
2023-05-04,228.17379760742188
2023-05-05,227.74122619628906
2023-05-08,228.77352905273438
2023-05-09,227.2300262451172
2023-05-10,229.9978790283203
2023-05-11,232.57859802246094
2023-05-12,229.9978790283203
2023-05-15,229.00303649902344
2023-05-16,225.29942321777344
2023-05-17,220.61080932617188
2023-05-18,220.8472137451172
2023-05-19,221.1427001953125
2023-05-22,222.07850646972656
2023-05-23,219.2121124267578
2023-05-24,217.09434509277344
2023-05-25,213.71580505371094
2023-05-26,212.20875549316406
2023-05-30,206.8306427001953
2023-05-31,207.62850952148438
2023-06-01,215.4099884033203
2023-06-02,217.33078002929688
2023-06-05,218.78855895996094
2023-06-06,218.6605224609375
2023-06-07,211.54881286621094
2023-06-08,211.70640563964844
2023-06-09,210.327392578125
2023-06-12,211.4798583984375
2023-06-13,211.54881286621094
2023-06-14,213.3907470703125
2023-06-15,215.69564819335938
2023-06-16,215.7547607421875
2023-06-20,213.55821228027344
2023-06-21,213.49911499023438
2023-06-22,213.27256774902344
