,SBUX
2017-01-20,49.107112884521484
2017-01-23,49.19227981567383
2017-01-24,49.77141571044922
2017-01-25,49.99285125732422
2017-01-26,49.7884407043457
2017-01-27,47.79555130004883
2017-01-30,47.608192443847656
2017-01-31,47.02906036376953
2017-02-01,45.90485763549805
2017-02-02,45.87929916381836
2017-02-03,46.89278030395508
2017-02-06,47.46339416503906
2017-02-07,47.25808334350586
2017-02-08,47.24097442626953
2017-02-09,47.7457160949707
2017-02-10,48.096473693847656
2017-02-13,48.00237274169922
2017-02-14,48.404457092285156
2017-02-15,48.64399337768555
2017-02-16,48.53278732299805
2017-02-17,49.06319046020508
2017-02-21,49.225738525390625
2017-02-22,49.25141143798828
2017-02-23,49.31129455566406
2017-02-24,49.174407958984375
2017-02-27,48.57554626464844
2017-02-28,48.65255355834961
2017-03-01,48.883544921875
2017-03-02,48.86642837524414
2017-03-03,48.84931945800781
2017-03-06,48.4900016784668
2017-03-07,48.079368591308594
2017-03-08,47.685821533203125
2017-03-09,47.21530532836914
2017-03-10,46.65066146850586
2017-03-13,46.73622131347656
2017-03-14,46.428253173828125
2017-03-15,46.65922546386719
2017-03-16,46.88166046142578
2017-03-17,47.72004318237305
2017-03-20,47.7457160949707
2017-03-21,47.514739990234375
2017-03-22,47.81415557861328
2017-03-23,47.77994155883789
2017-03-24,48.60121536254883
2017-03-27,48.96052932739258
2017-03-28,49.06319046020508
2017-03-29,49.225738525390625
2017-03-30,49.75614929199219
2017-03-31,49.952919006347656
2017-04-03,49.99569320678711
2017-04-04,49.893028259277344
2017-04-05,49.80747604370117
2017-04-06,49.55084228515625
2017-04-07,49.63638687133789
2017-04-10,49.576499938964844
2017-04-11,49.5166130065918
2017-04-12,49.25996398925781
2017-04-13,49.200077056884766
2017-04-17,49.68770980834961
2017-04-18,49.91869354248047
2017-04-19,50.50899887084961
2017-04-20,51.39873123168945
2017-04-21,51.85213851928711
2017-04-24,52.2798957824707
2017-04-25,52.15156555175781
2017-04-26,52.66486740112305
2017-04-27,52.44243621826172
2017-04-28,51.38161849975586
2017-05-01,51.48427963256836
2017-05-02,51.75802993774414
2017-05-03,51.83502960205078
2017-05-04,52.04035949707031
2017-05-05,52.14301300048828
2017-05-08,52.13446044921875
2017-05-09,52.38357925415039
2017-05-10,52.10868835449219
2017-05-11,51.7736701965332
2017-05-12,51.481597900390625
2017-05-15,51.92829132080078
2017-05-16,51.524532318115234
2017-05-17,51.30979919433594
2017-05-18,51.38709259033203
2017-05-19,52.71000671386719
2017-05-22,52.59834289550781
2017-05-23,52.52960205078125
2017-05-24,53.165287017822266
2017-05-25,54.03291702270508
2017-05-26,54.37652587890625
2017-05-30,54.342159271240234
2017-05-31,54.642822265625
2017-06-01,54.763084411621094
2017-06-02,55.46749496459961
2017-06-05,55.209774017333984
2017-06-06,55.11528396606445
2017-06-07,54.54832458496094
2017-06-08,53.4659423828125
2017-06-09,53.423011779785156
2017-06-12,52.64987564086914
2017-06-13,52.33203125
2017-06-14,51.7736701965332
2017-06-15,51.619041442871094
2017-06-16,51.6619873046875
2017-06-19,52.31485366821289
2017-06-20,51.421470642089844
2017-06-21,51.50735855102539
2017-06-22,51.12080001831055
2017-06-23,51.37851333618164
2017-06-26,51.23248291015625
2017-06-27,50.64833068847656
2017-06-28,50.83732223510742
2017-06-29,50.13292694091797
2017-06-30,50.08997344970703
2017-07-03,50.038429260253906
2017-07-05,49.77212142944336
2017-07-06,49.48006057739258
2017-07-07,49.8580322265625
2017-07-10,49.66046142578125
2017-07-11,49.73776626586914
2017-07-12,50.28755569458008
2017-07-13,50.15010452270508
2017-07-14,50.47652816772461
2017-07-17,50.10715866088867
2017-07-18,50.004058837890625
2017-07-19,49.91816329956055
2017-07-20,49.84943389892578
2017-07-21,49.806480407714844
2017-07-24,49.840843200683594
2017-07-25,50.2961311340332
2017-07-26,49.77212142944336
2017-07-27,51.11222457885742
2017-07-28,46.38755416870117
2017-07-31,46.37037658691406
2017-08-01,47.01464080810547
2017-08-02,47.615966796875
2017-08-03,47.830726623535156
2017-08-04,47.62455749511719
2017-08-07,47.78778076171875
2017-08-08,47.04566955566406
2017-08-09,46.372615814208984
2017-08-10,45.794464111328125
2017-08-11,45.889373779296875
2017-08-14,45.92389678955078
2017-08-15,45.863487243652344
2017-08-16,46.165504455566406
2017-08-17,45.768558502197266
2017-08-18,45.47517776489258
2017-08-21,45.863487243652344
2017-08-22,46.98527526855469
2017-08-23,46.66598892211914
2017-08-24,46.54518508911133
2017-08-25,46.90761184692383
2017-08-28,46.94211959838867
