,MMM
2019-02-11,133.47750854492188
2019-02-12,137.23779296875
2019-02-13,139.33053588867188
2019-02-14,137.0895538330078
2019-02-15,139.7185516357422
2019-02-19,139.4175262451172
2019-02-20,139.49778747558594
2019-02-21,138.98934936523438
2019-02-22,140.04632568359375
2019-02-25,140.86915588378906
2019-02-26,140.06639099121094
2019-02-27,139.83226013183594
2019-02-28,138.7351531982422
2019-03-01,138.80206298828125
2019-03-04,138.380615234375
2019-03-05,136.3603515625
2019-03-06,135.66465759277344
2019-03-07,133.69789123535156
2019-03-08,134.3869171142578
2019-03-11,138.54115295410156
2019-03-12,137.67153930664062
2019-03-13,138.24681091308594
2019-03-14,138.72845458984375
2019-03-15,139.19676208496094
2019-03-18,139.4709930419922
2019-03-19,139.82554626464844
2019-03-20,139.34390258789062
2019-03-21,140.22021484375
2019-03-22,136.90895080566406
2019-03-25,135.93893432617188
2019-03-26,138.6348114013672
2019-03-27,138.58132934570312
2019-03-28,139.49778747558594
2019-03-29,138.99607849121094
2019-04-01,141.7789306640625
2019-04-02,141.90602111816406
2019-04-03,142.5749969482422
2019-04-04,143.8459930419922
2019-04-05,144.10018920898438
2019-04-08,143.8393096923828
2019-04-09,141.79229736328125
2019-04-10,141.89268493652344
2019-04-11,142.84255981445312
2019-04-12,145.44482421875
2019-04-15,144.3811798095703
2019-04-16,145.09689331054688
2019-04-17,145.5919647216797
2019-04-18,146.42152404785156
2019-04-22,146.19403076171875
2019-04-23,146.8362579345703
2019-04-24,146.55526733398438
2019-04-25,127.58364868164062
2019-04-26,128.2191619873047
2019-04-29,127.24246978759766
2019-04-30,126.7741928100586
2019-05-01,124.4730224609375
2019-05-02,123.58998107910156
2019-05-03,123.90435791015625
2019-05-06,122.44602966308594
2019-05-07,119.82373809814453
2019-05-08,119.46917724609375
2019-05-09,117.25496673583984
2019-05-10,117.6429214477539
2019-05-13,116.44550323486328
2019-05-14,117.20809173583984
2019-05-15,116.47895050048828
2019-05-16,114.93363952636719
2019-05-17,113.11407470703125
2019-05-20,111.2142333984375
2019-05-21,111.91665649414062
2019-05-22,113.54891967773438
2019-05-23,111.90943908691406
2019-05-24,112.0578842163086
2019-05-28,110.209228515625
2019-05-29,108.89361572265625
2019-05-30,108.34036254882812
2019-05-31,107.7803955078125
2019-06-03,107.9760513305664
2019-06-04,110.84343719482422
2019-06-05,110.54656982421875
2019-06-06,111.13355255126953
2019-06-07,112.40868377685547
2019-06-10,113.54216003417969
2019-06-11,113.96046447753906
2019-06-12,114.02794647216797
2019-06-13,113.91998291015625
2019-06-14,112.4626693725586
2019-06-17,112.52337646484375
2019-06-18,115.95079040527344
2019-06-19,115.2018814086914
2019-06-20,117.3541030883789
2019-06-21,116.9560317993164
2019-06-24,116.97628784179688
2019-06-25,116.06546783447266
2019-06-26,115.96427154541016
2019-06-27,115.70787811279297
2019-06-28,116.9493179321289
2019-07-01,117.73869323730469
2019-07-02,117.4081039428711
2019-07-03,118.0557632446289
2019-07-05,116.04523468017578
2019-07-08,114.14938354492188
2019-07-09,111.79474639892578
2019-07-10,111.79474639892578
2019-07-11,114.04817962646484
2019-07-12,116.9493179321289
2019-07-15,116.61192321777344
2019-07-16,119.07453918457031
2019-07-17,117.84664154052734
2019-07-18,116.76038360595703
2019-07-19,116.456787109375
2019-07-22,117.8263931274414
2019-07-23,119.76947784423828
2019-07-24,121.0513916015625
2019-07-25,120.18102264404297
2019-07-26,117.3811264038086
2019-07-29,119.25672912597656
2019-07-30,119.84368133544922
2019-07-31,117.88037872314453
2019-08-01,116.96277618408203
2019-08-02,115.06696319580078
2019-08-05,111.12679290771484
2019-08-06,110.45211029052734
2019-08-07,110.4049072265625
2019-08-08,110.79620361328125
2019-08-09,110.29019165039062
2019-08-12,109.36588287353516
2019-08-13,111.24149322509766
2019-08-14,107.14619445800781
2019-08-15,106.78532409667969
2019-08-16,109.95809173583984
2019-08-19,110.9453353881836
2019-08-20,109.62448120117188
2019-08-21,109.71981048583984
2019-08-22,109.5359878540039
2019-08-23,106.11127471923828
2019-08-26,106.29510498046875
2019-08-27,106.04318237304688
2019-08-28,107.26874542236328
2019-08-29,109.18193817138672
2019-08-30,110.10790252685547
2019-09-03,108.0108642578125
2019-09-04,108.98450469970703
2019-09-05,111.81684112548828
2019-09-06,111.61940002441406
2019-09-09,112.9811019897461
2019-09-10,114.96920776367188
2019-09-11,114.43812561035156
2019-09-12,116.14027404785156
2019-09-13,116.72581481933594
2019-09-16,115.52069854736328
2019-09-17,114.43133544921875
2019-09-18,114.00238800048828
2019-09-19,113.75047302246094
2019-09-20,113.53938293457031
2019-09-23,113.53938293457031
2019-09-24,112.16407775878906
2019-09-25,111.66024017333984
2019-09-26,111.54449462890625
2019-09-27,112.02111053466797
2019-09-30,111.93258666992188
2019-10-01,107.83384704589844
2019-10-02,105.97511291503906
2019-10-03,105.68914794921875
2019-10-04,106.0908432006836
2019-10-07,104.52488708496094
2019-10-08,102.6321029663086
2019-10-09,102.80232238769531
2019-10-10,103.70103454589844
2019-10-11,107.64318084716797
2019-10-14,109.2840576171875
2019-10-15,110.96578216552734
2019-10-16,110.42108917236328
2019-10-17,111.3470687866211
2019-10-18,111.04744720458984
2019-10-21,112.9811019897461
2019-10-22,114.07050323486328
2019-10-23,114.901123046875
2019-10-24,110.2236328125
2019-10-25,113.08325958251953
2019-10-28,115.1053695678711
2019-10-29,114.9351577758789
2019-10-30,114.63558959960938
2019-10-31,112.33428955078125
2019-11-01,115.80667114257812
2019-11-04,119.08155822753906
2019-11-05,119.33348846435547
2019-11-06,118.46880340576172
2019-11-07,118.8228759765625
2019-11-08,117.89006805419922
2019-11-11,115.82029724121094
2019-11-12,116.31729125976562
2019-11-13,116.11985778808594
2019-11-14,116.37858581542969
2019-11-15,117.02538299560547
2019-11-18,116.11305236816406
2019-11-19,116.2083511352539
2019-11-20,114.22709655761719
2019-11-21,113.40983581542969
2019-11-22,115.09923553466797
2019-11-25,116.91227722167969
2019-11-26,116.21865844726562
2019-11-27,117.1663589477539
2019-11-29,116.5895004272461
2019-12-02,115.55935668945312
2019-12-03,113.43043518066406
2019-12-04,114.78334045410156
2019-12-05,112.88104248046875
2019-12-06,117.75699615478516
2019-12-09,116.63069915771484
2019-12-10,115.14044952392578
2019-12-11,115.88212585449219
2019-12-12,115.75850677490234
2019-12-13,115.91649627685547
2019-12-16,117.26250457763672
2019-12-17,116.69937896728516
2019-12-18,116.08128356933594
2019-12-19,118.22395324707031
2019-12-20,120.435302734375
2019-12-23,122.564208984375
2019-12-24,121.33494567871094
2019-12-26,121.27313232421875
2019-12-27,121.73326873779297
2019-12-30,120.7511978149414
2019-12-31,121.1563720703125
2020-01-02,123.61497497558594
2020-01-03,122.55046844482422
2020-01-06,122.66719055175781
2020-01-07,122.17277526855469
2020-01-08,124.04759979248047
2020-01-09,124.43901824951172
2020-01-10,123.93769073486328
2020-01-13,124.24676513671875
2020-01-14,124.55577087402344
2020-01-15,123.46385955810547
2020-01-16,124.3085708618164
2020-01-17,124.54207611083984
2020-01-21,123.1960220336914
2020-01-22,122.26204681396484
2020-01-23,122.06289672851562
2020-01-24,122.34444427490234
2020-01-27,120.61383056640625
2020-01-28,113.71202087402344
2020-01-29,111.25347137451172
2020-01-30,111.60369873046875
2020-01-31,108.95970153808594
2020-02-03,107.53813934326172
2020-02-04,107.98452758789062
2020-02-05,111.48007202148438
2020-02-06,111.86463928222656
