,MRK
2020-05-27,64.01858520507812
2020-05-28,65.24856567382812
2020-05-29,66.63545989990234
2020-06-01,65.67786407470703
2020-06-02,66.73450469970703
2020-06-03,67.74163818359375
2020-06-04,67.32064056396484
2020-06-05,67.90673828125
2020-06-08,68.43505096435547
2020-06-09,67.90673828125
2020-06-10,67.50223541259766
2020-06-11,63.853477478027344
2020-06-12,63.48734664916992
2020-06-15,61.59021759033203
2020-06-16,64.04484558105469
2020-06-17,63.47903060913086
2020-06-18,63.42079162597656
2020-06-19,64.81867980957031
2020-06-22,63.86180114746094
2020-06-23,64.16964721679688
2020-06-24,63.12956237792969
2020-06-25,63.712005615234375
2020-06-26,62.56374740600586
2020-06-29,63.33758544921875
2020-06-30,64.34439086914062
2020-07-01,65.00173950195312
2020-07-02,65.5509033203125
2020-07-06,66.2165756225586
2020-07-07,65.50098419189453
2020-07-08,64.83531188964844
2020-07-09,63.81187438964844
2020-07-10,63.84516143798828
2020-07-13,64.36104583740234
2020-07-14,65.10990142822266
2020-07-15,66.1000747680664
2020-07-16,66.06678009033203
2020-07-17,66.45785522460938
2020-07-20,66.07510375976562
2020-07-21,65.64242553710938
2020-07-22,65.5509033203125
2020-07-23,64.9518051147461
2020-07-24,64.15302276611328
2020-07-27,65.67569732666016
2020-07-28,66.30809020996094
2020-07-29,66.02518463134766
2020-07-30,65.72562408447266
2020-07-31,66.76573181152344
2020-08-03,68.67948150634766
2020-08-04,67.95559692382812
2020-08-05,67.93063354492188
2020-08-06,67.43970489501953
2020-08-07,67.41474151611328
2020-08-10,67.32322692871094
2020-08-11,67.32322692871094
2020-08-12,68.79598999023438
2020-08-13,69.51158142089844
2020-08-14,69.46165466308594
2020-08-17,70.5267105102539
2020-08-18,70.36029052734375
2020-08-19,70.75138092041016
2020-08-20,70.75138092041016
2020-08-21,70.70977020263672
2020-08-24,71.07588958740234
2020-08-25,71.29222106933594
2020-08-26,71.17573547363281
2020-08-27,71.4087142944336
2020-08-28,71.26726531982422
2020-08-31,70.9510726928711
2020-09-01,70.25212097167969
2020-09-02,72.33230590820312
2020-09-03,71.13412475585938
2020-09-04,70.92611694335938
2020-09-08,69.33684539794922
2020-09-09,70.62655639648438
2020-09-10,69.5365219116211
2020-09-11,70.29375457763672
2020-09-14,70.53678894042969
2020-09-15,70.57868957519531
2020-09-16,71.7185287475586
2020-09-17,71.77720642089844
2020-09-18,71.91968536376953
2020-09-21,69.67350769042969
2020-09-22,69.51427459716797
2020-09-23,69.25445556640625
2020-09-24,69.69027709960938
2020-09-25,69.50588989257812
2020-09-28,69.36341094970703
2020-09-29,68.64262390136719
2020-09-30,69.52264404296875
2020-10-01,68.4247055053711
2020-10-02,67.72068786621094
2020-10-05,68.08944702148438
2020-10-06,66.74008178710938
2020-10-07,67.08370208740234
2020-10-08,67.45246887207031
2020-10-09,67.3519058227539
2020-10-12,67.3519058227539
2020-10-13,67.64524841308594
2020-10-14,67.47762298583984
2020-10-15,66.26232147216797
2020-10-16,66.90768432617188
2020-10-19,65.93547821044922
2020-10-20,65.60021209716797
2020-10-21,65.43258666992188
2020-10-22,66.3880386352539
2020-10-23,66.90768432617188
2020-10-26,66.07794952392578
2020-10-27,65.36553192138672
2020-10-28,63.84853744506836
2020-10-29,63.6054801940918
2020-10-30,63.03554916381836
2020-11-02,64.2927474975586
2020-11-03,64.46875762939453
2020-11-04,67.56982421875
2020-11-05,67.43569946289062
2020-11-06,67.3519058227539
2020-11-09,67.46924591064453
2020-11-10,67.98049926757812
2020-11-11,67.93859100341797
