,AXP
2016-11-02,58.413291931152344
2016-11-03,58.30620574951172
2016-11-04,58.466854095458984
2016-11-07,59.79665756225586
2016-11-08,59.859127044677734
2016-11-09,61.34956741333008
2016-11-10,62.572288513183594
2016-11-11,62.92035675048828
2016-11-14,64.6339340209961
2016-11-15,64.6785659790039
2016-11-16,63.97348403930664
2016-11-17,64.06273651123047
2016-11-18,63.36661148071289
2016-11-21,63.848575592041016
2016-11-22,64.00920104980469
2016-11-23,65.04446411132812
2016-11-25,65.026611328125
2016-11-28,64.3750991821289
2016-11-29,63.80392074584961
2016-11-30,64.29479217529297
2016-12-01,64.73209381103516
2016-12-02,64.1341552734375
2016-12-05,64.2858657836914
2016-12-06,64.53575897216797
2016-12-07,66.30289459228516
2016-12-08,66.8562240600586
2016-12-09,66.73126983642578
2016-12-12,65.66920471191406
2016-12-13,65.90127563476562
2016-12-14,66.1065673828125
2016-12-15,66.88300323486328
2016-12-16,66.93656158447266
2016-12-19,66.53495025634766
2016-12-20,66.99008178710938
2016-12-21,67.22213745117188
2016-12-22,66.56172943115234
2016-12-23,66.90977478027344
2016-12-27,66.9187240600586
2016-12-28,66.3742904663086
2016-12-29,65.97265625
2016-12-30,66.11546325683594
2017-01-03,67.24891662597656
2017-01-04,68.35135650634766
2017-01-05,67.50885009765625
2017-01-06,67.64329528808594
2017-01-09,67.99283599853516
2017-01-10,68.70092010498047
2017-01-11,68.9339370727539
2017-01-12,68.90707397460938
2017-01-13,68.67403411865234
2017-01-17,68.65608978271484
2017-01-18,69.45379638671875
2017-01-19,68.73676300048828
2017-01-20,68.29759216308594
2017-01-23,68.09144592285156
2017-01-24,69.4000244140625
2017-01-25,68.91602325439453
2017-01-26,68.95189666748047
2017-01-27,68.88016510009766
2017-01-30,69.26557922363281
2017-01-31,68.45892333984375
2017-02-01,68.79951477050781
2017-02-02,68.57544708251953
2017-02-03,69.94676971435547
2017-02-06,69.74958038330078
2017-02-07,69.65994262695312
2017-02-08,69.73164367675781
2017-02-09,70.0722427368164
2017-02-10,70.34112548828125
2017-02-13,70.72655487060547
2017-02-14,71.1746826171875
2017-02-15,71.3449935913086
2017-02-16,71.2643051147461
2017-02-17,71.44358825683594
2017-02-21,71.67660522460938
2017-02-22,71.5780258178711
2017-02-23,71.7483139038086
2017-02-24,71.48839569091797
2017-02-27,71.85587310791016
2017-02-28,71.75727081298828
2017-03-01,73.42437744140625
2017-03-02,71.79313659667969
2017-03-03,71.595947265625
2017-03-06,71.25535583496094
2017-03-07,71.32706451416016
2017-03-08,70.84307098388672
2017-03-09,71.07609558105469
2017-03-10,71.14777374267578
2017-03-13,70.99542999267578
2017-03-14,71.4256591796875
2017-03-15,71.01335144042969
2017-03-16,71.49734497070312
2017-03-17,71.0312728881836
2017-03-20,70.67276763916016
2017-03-21,69.48966217041016
2017-03-22,69.61511993408203
2017-03-23,69.76749420166016
2017-03-24,70.09016418457031
2017-03-27,69.5523910522461
2017-03-28,70.48453521728516
2017-03-29,70.13499450683594
2017-03-30,70.99542999267578
2017-03-31,70.90579223632812
2017-04-03,70.43974304199219
2017-04-04,70.14393615722656
2017-04-05,69.9819564819336
2017-04-06,70.12593078613281
2017-04-07,69.99095153808594
2017-04-10,69.73895263671875
2017-04-11,69.53196716308594
2017-04-12,69.0099868774414
2017-04-13,68.218017578125
2017-04-17,69.00098419189453
2017-04-18,68.20901489257812
2017-04-19,67.99300384521484
2017-04-20,72.01589965820312
2017-04-21,71.6289291381836
2017-04-24,72.40287780761719
2017-04-25,72.56487274169922
2017-04-26,72.46588134765625
2017-04-27,72.29488372802734
2017-04-28,71.3228988647461
