,DUK
2016-01-26,50.080039978027344
2016-01-27,50.2117919921875
2016-01-28,50.94681930541992
2016-01-29,52.215816497802734
2016-02-01,53.394657135009766
2016-02-02,53.221317291259766
2016-02-03,54.47642517089844
2016-02-04,54.490299224853516
2016-02-05,54.80926513671875
2016-02-08,54.8994255065918
2016-02-09,54.733001708984375
2016-02-10,54.74351119995117
2016-02-11,53.81850814819336
2016-02-12,53.426090240478516
2016-02-16,53.46110153198242
2016-02-17,52.90752029418945
2016-02-18,53.40504837036133
2016-02-19,52.241790771484375
2016-02-22,52.44501876831055
2016-02-23,52.423988342285156
2016-02-24,52.522090911865234
2016-02-25,53.56623840332031
2016-02-26,51.87739181518555
2016-02-29,52.05259323120117
2016-03-01,51.40087890625
2016-03-02,51.59709167480469
2016-03-03,52.08761978149414
2016-03-04,52.67626190185547
2016-03-07,53.433082580566406
2016-03-08,54.14787673950195
2016-03-09,54.31605911254883
2016-03-10,54.140846252441406
2016-03-11,54.49124526977539
2016-03-14,54.46321105957031
2016-03-15,54.69446563720703
2016-03-16,55.325138092041016
2016-03-17,56.05393981933594
2016-03-18,55.82969284057617
2016-03-21,55.72457504272461
2016-03-22,55.27608871459961
2016-03-23,55.92778778076172
2016-03-24,55.885746002197266
2016-03-28,55.69654846191406
2016-03-29,56.36927032470703
2016-03-30,56.30622482299805
2016-03-31,56.53746032714844
2016-04-01,56.85280227661133
2016-04-04,56.82475662231445
2016-04-05,55.99087142944336
2016-04-06,55.612464904785156
2016-04-07,55.56339645385742
2016-04-08,55.89976119995117
2016-04-11,55.668514251708984
2016-04-12,56.21511459350586
2016-04-13,55.80165481567383
2016-04-14,55.675533294677734
2016-04-15,56.060935974121094
2016-04-18,56.34125518798828
2016-04-19,55.91377639770508
2016-04-20,54.79957962036133
2016-04-21,53.496158599853516
2016-04-22,53.965667724609375
2016-04-25,53.790489196777344
2016-04-26,53.92362594604492
2016-04-27,54.701454162597656
2016-04-28,54.89767837524414
2016-04-29,55.20600509643555
2016-05-02,55.31814193725586
2016-05-03,55.248069763183594
2016-05-04,56.074947357177734
2016-05-05,56.18707275390625
2016-05-06,55.626461029052734
2016-05-09,56.102996826171875
2016-05-10,56.102996826171875
2016-05-11,56.40431213378906
2016-05-12,56.81776428222656
2016-05-13,56.60051727294922
2016-05-16,56.7617073059082
2016-05-17,55.717567443847656
2016-05-18,54.21992492675781
2016-05-19,54.50315856933594
2016-05-20,54.52439880371094
2016-05-23,53.922523498535156
2016-05-24,54.5173225402832
2016-05-25,54.48900604248047
2016-05-26,55.20418930053711
2016-05-27,55.21835708618164
2016-05-31,55.395381927490234
2016-06-01,55.95478057861328
2016-06-02,55.89814376831055
2016-06-03,56.705387115478516
2016-06-06,56.53542709350586
2016-06-07,56.64165115356445
2016-06-08,57.0098762512207
2016-06-09,57.540950775146484
2016-06-10,57.52677917480469
2016-06-13,57.788787841796875
2016-06-14,58.355281829833984
2016-06-15,57.73213195800781
2016-06-16,58.44023895263672
2016-06-17,58.758907318115234
2016-06-20,58.0649528503418
2016-06-21,58.0649528503418
2016-06-22,57.944576263427734
2016-06-23,58.10035705566406
2016-06-24,58.36943435668945
2016-06-27,59.474090576171875
2016-06-28,59.438682556152344
2016-06-29,59.58740234375
2016-06-30,60.748687744140625
2016-07-01,60.6353645324707
2016-07-05,61.55592346191406
2016-07-06,61.76836395263672
2016-07-07,60.3946418762207
2016-07-08,60.90446853637695
2016-07-11,60.90446853637695
2016-07-12,59.79275131225586
2016-07-13,60.22468566894531
2016-07-14,60.012245178222656
2016-07-15,60.13262939453125
2016-07-18,60.366302490234375
2016-07-19,60.45834732055664
2016-07-20,60.13262939453125
2016-07-21,60.472530364990234
2016-07-22,61.25144958496094
2016-07-25,61.385986328125
2016-07-26,60.72036361694336
2016-07-27,60.06890106201172
2016-07-28,60.330894470214844
2016-07-29,60.6070671081543
2016-08-01,60.6495475769043
2016-08-02,60.5858154296875
2016-08-03,60.29549789428711
2016-08-04,60.35922622680664
2016-08-05,59.6440544128418
2016-08-08,60.00517654418945
2016-08-09,59.998077392578125
2016-08-10,59.937286376953125
2016-08-11,60.02312088012695
2016-08-12,59.722679138183594
2016-08-15,58.41364669799805
2016-08-16,57.548099517822266
2016-08-17,58.43510055541992
2016-08-18,59.214820861816406
2016-08-19,58.406471252441406
2016-08-22,58.57816696166992
2016-08-23,58.263404846191406
2016-08-24,58.34211349487305
2016-08-25,58.46370315551758
2016-08-26,57.16897201538086
2016-08-29,57.54092788696289
2016-08-30,56.882835388183594
2016-08-31,56.98299026489258
2016-09-01,56.746925354003906
2016-09-02,57.39786911010742
2016-09-06,57.898597717285156
2016-09-07,57.61246109008789
2016-09-08,57.80560302734375
2016-09-09,55.7597770690918
2016-09-12,56.71116638183594
2016-09-13,56.360660552978516
2016-09-14,56.274803161621094
2016-09-15,56.55378723144531
2016-09-16,56.947208404541016
2016-09-19,57.555240631103516
2016-09-20,57.3477897644043
2016-09-21,58.585323333740234
2016-09-22,59.02167510986328
2016-09-23,59.02881622314453
2016-09-26,58.76414489746094
2016-09-27,58.24910354614258
2016-09-28,58.01304626464844
2016-09-29,57.44794845581055
2016-09-30,57.254798889160156
2016-10-03,56.575252532958984
2016-10-04,55.409271240234375
2016-10-05,55.14458084106445
2016-10-06,55.14458084106445
2016-10-07,54.77262878417969
2016-10-10,55.12312316894531
2016-10-11,54.30051803588867
2016-10-12,54.82986068725586
2016-10-13,55.752620697021484
2016-10-14,55.23041915893555
2016-10-17,55.46650695800781
2016-10-18,55.724002838134766
2016-10-19,55.888519287109375
2016-10-20,56.09597396850586
2016-10-21,55.809837341308594
2016-10-24,56.08167266845703
2016-10-25,56.21758270263672
2016-10-26,56.34634780883789
2016-10-27,56.09597396850586
2016-10-28,56.31057357788086
2016-10-31,57.2404899597168
2016-11-01,56.20328140258789
2016-11-02,55.795536041259766
2016-11-03,55.78124237060547
2016-11-04,55.27336120605469
2016-11-07,56.60386657714844
2016-11-08,56.975833892822266
2016-11-09,55.323429107666016
2016-11-10,53.76401901245117
2016-11-11,53.82123947143555
2016-11-14,53.24896240234375
2016-11-15,54.3148193359375
2016-11-16,53.515377044677734
2016-11-17,53.44301986694336
2016-11-18,53.24767303466797
2016-11-21,53.848175048828125
2016-11-22,53.45027160644531
2016-11-23,53.20428466796875
2016-11-25,53.7902946472168
2016-11-28,55.04191207885742
2016-11-29,55.251708984375
2016-11-30,53.37068176269531
2016-12-01,52.63274002075195
2016-12-02,53.11745071411133
2016-12-05,53.254940032958984
2016-12-06,53.435787200927734
2016-12-07,54.02179718017578
2016-12-08,54.06521224975586
2016-12-09,54.85380172729492
2016-12-12,55.331298828125
2016-12-13,55.93900680541992
2016-12-14,54.64398956298828
2016-12-15,55.0057258605957
2016-12-16,55.4108772277832
2016-12-19,55.801551818847656
2016-12-20,55.960723876953125
2016-12-21,55.707489013671875
2016-12-22,56.264591217041016
2016-12-23,56.15606689453125
2016-12-27,56.054771423339844
2016-12-28,55.72919845581055
2016-12-29,56.44544982910156
2016-12-30,56.15606689453125
2017-01-03,56.23563766479492
2017-01-04,56.17775344848633
2017-01-05,56.25010681152344
2017-01-06,56.06201934814453
2017-01-09,55.447052001953125
2017-01-10,55.345760345458984
2017-01-11,55.779850006103516
2017-01-12,56.09819030761719
2017-01-13,55.85942840576172
2017-01-17,56.04030227661133
2017-01-18,56.06924057006836
2017-01-19,55.79432678222656
2017-01-20,55.94624710083008
2017-01-23,55.72919845581055
2017-01-24,55.83773422241211
2017-01-25,55.765377044677734
2017-01-26,55.79432678222656
2017-01-27,55.664085388183594
2017-01-30,55.79432678222656
2017-01-31,56.8216438293457
2017-02-01,55.96794509887695
2017-02-02,56.27903747558594
2017-02-03,56.17775344848633
2017-02-06,56.11988830566406
2017-02-07,56.25010681152344
2017-02-08,56.89399719238281
2017-02-09,56.25010681152344
2017-02-10,56.50333023071289
2017-02-13,56.93016815185547
2017-02-14,56.45991897583008
2017-02-15,56.163665771484375
2017-02-16,57.71442794799805
2017-02-17,57.31940460205078
2017-02-21,57.85340881347656
2017-02-22,58.42396926879883
2017-02-23,59.1847038269043
2017-02-24,59.95276641845703
2017-02-27,59.879638671875
2017-02-28,60.38434600830078
2017-03-01,59.93082046508789
2017-03-02,60.245365142822266
2017-03-03,59.916221618652344
2017-03-06,59.886940002441406
2017-03-07,59.75527572631836
2017-03-08,58.75313186645508
2017-03-09,58.55564498901367
2017-03-10,58.987213134765625
2017-03-13,59.155460357666016
2017-03-14,59.155460357666016
2017-03-15,59.982017517089844
2017-03-16,59.70405578613281
2017-03-17,59.86499786376953
2017-03-20,59.382198333740234
2017-03-21,60.47944641113281
2017-03-22,60.537967681884766
2017-03-23,60.47944641113281
2017-03-24,60.70619201660156
2017-03-27,60.55992126464844
2017-03-28,60.66230010986328
2017-03-29,60.28925704956055
2017-03-30,60.01128387451172
2017-03-31,59.98935317993164
2017-04-03,60.16490173339844
2017-04-04,60.25269317626953
2017-04-05,60.618404388427734
2017-04-06,60.41361618041992
2017-04-07,60.17221450805664
2017-04-10,60.274620056152344
2017-04-11,60.12104034423828
2017-04-12,60.552589416503906
2017-04-13,60.41361618041992
2017-04-17,60.66230010986328
2017-04-18,60.61109924316406
2017-04-19,60.23805236816406
2017-04-20,60.003971099853516
2017-04-21,60.135650634765625
2017-04-24,60.40628433227539
2017-04-25,60.48676300048828
2017-04-26,60.42091751098633
2017-04-27,60.640377044677734
2017-04-28,60.347774505615234
2017-05-01,60.033233642578125
2017-05-02,60.2673225402832
2017-05-03,60.01128387451172
2017-05-04,60.41361618041992
2017-05-05,60.69888687133789
2017-05-08,60.65498733520508
2017-05-09,60.062496185302734
2017-05-10,60.33315658569336
2017-05-11,60.7135124206543
2017-05-12,61.06463623046875
2017-05-15,61.13776779174805
2017-05-16,60.801300048828125
2017-05-17,61.18192672729492
2017-05-18,61.52931594848633
2017-05-19,61.61799240112305
2017-05-22,62.15751266479492
2017-05-23,62.30535125732422
2017-05-24,62.59358215332031
2017-05-25,62.92618942260742
2017-05-26,62.87443542480469
2017-05-30,63.125736236572266
2017-05-31,63.32530975341797
2017-06-01,63.85744857788086
