,CINF
2022-04-06,128.3439483642578
2022-04-07,127.98892974853516
2022-04-08,128.8297882080078
2022-04-11,127.512451171875
2022-04-12,127.84878540039062
2022-04-13,128.78306579589844
2022-04-14,129.11007690429688
2022-04-18,129.48377990722656
2022-04-19,129.7173614501953
2022-04-20,131.96900939941406
2022-04-21,131.06272888183594
2022-04-22,127.68059539794922
2022-04-25,127.13871765136719
2022-04-26,125.22340393066406
2022-04-27,126.13899230957031
2022-04-28,127.06394958496094
2022-04-29,114.60047912597656
2022-05-02,112.81597900390625
2022-05-03,114.14266967773438
2022-05-04,118.97296905517578
2022-05-05,117.58087921142578
2022-05-06,118.15080261230469
2022-05-09,116.80541229248047
2022-05-10,116.78672790527344
2022-05-11,116.9268798828125
2022-05-12,116.61856079101562
2022-05-13,117.9359130859375
2022-05-16,117.82379150390625
2022-05-17,118.62728881835938
2022-05-18,116.60921478271484
2022-05-19,114.60982513427734
2022-05-20,113.96517181396484
2022-05-23,117.10438537597656
2022-05-24,116.87081146240234
2022-05-25,116.26353454589844
2022-05-26,118.71137237548828
2022-05-27,119.98200988769531
2022-05-31,119.45880126953125
2022-06-01,117.82379150390625
2022-06-02,118.9823226928711
2022-06-03,118.03868103027344
2022-06-06,119.70172882080078
2022-06-07,119.90726470947266
2022-06-08,118.19752502441406
2022-06-09,115.31053924560547
2022-06-10,112.02184295654297
2022-06-13,108.6864013671875
2022-06-14,108.7704849243164
2022-06-15,109.7982177734375
2022-06-16,105.91679382324219
2022-06-17,107.11035919189453
2022-06-21,108.59525299072266
2022-06-22,108.75502014160156
2022-06-23,106.74382019042969
2022-06-24,109.4880599975586
2022-06-27,110.12715911865234
2022-06-28,110.55946350097656
2022-06-29,110.80382537841797
2022-06-30,111.81880950927734
2022-07-01,113.1157455444336
2022-07-05,111.89400482177734
2022-07-06,112.5988540649414
2022-07-07,111.98797607421875
2022-07-08,111.49928283691406
2022-07-11,110.67223358154297
2022-07-12,109.79822540283203
2022-07-13,108.83960723876953
2022-07-14,104.431884765625
2022-07-15,105.61605072021484
2022-07-18,102.40189361572266
2022-07-19,104.98638153076172
2022-07-20,104.20632934570312
2022-07-21,104.04655456542969
2022-07-22,104.15933990478516
2022-07-25,105.77581024169922
2022-07-26,106.78141021728516
2022-07-27,106.63103485107422
2022-07-28,91.80081939697266
2022-07-29,91.48126983642578
2022-08-01,89.17874908447266
2022-08-02,88.91558837890625
2022-08-03,90.87981414794922
2022-08-04,89.75203704833984
2022-08-05,91.40608215332031
2022-08-08,92.42108917236328
2022-08-09,92.89099884033203
2022-08-10,94.0187759399414
2022-08-11,96.5750732421875
2022-08-12,98.05056762695312
2022-08-15,98.21033477783203
2022-08-16,98.9903793334961
2022-08-17,100.04296112060547
2022-08-18,99.77981567382812
2022-08-19,97.62764739990234
2022-08-22,95.5036849975586
2022-08-23,95.07136535644531
2022-08-24,95.20293426513672
2022-08-25,96.72542572021484
2022-08-26,94.76122283935547
2022-08-29,94.18794250488281
2022-08-30,92.60906219482422
2022-08-31,91.12415313720703
2022-09-01,91.83840942382812
2022-09-02,90.9925765991211
2022-09-06,91.3685073852539
2022-09-07,93.0695571899414
2022-09-08,93.6804428100586
2022-09-09,94.62965393066406
2022-09-12,96.44349670410156
2022-09-13,93.39850616455078
2022-09-14,94.16914367675781
2022-09-15,94.44358825683594
2022-09-16,92.18185424804688
2022-09-19,93.83794403076172
2022-09-20,91.82225036621094
2022-09-21,89.42803192138672
2022-09-22,87.99907684326172
2022-09-23,87.06221771240234
2022-09-26,85.41560363769531
2022-09-27,85.8698501586914
2022-09-28,87.51646423339844
2022-09-29,86.92027282714844
2022-09-30,84.76263427734375
2022-10-03,88.25458526611328
2022-10-04,91.02734375
2022-10-05,91.45317840576172
2022-10-06,90.44059753417969
2022-10-07,88.8980941772461
2022-10-10,90.61094665527344
2022-10-11,91.37747192382812
2022-10-12,91.88848876953125
2022-10-13,95.95769500732422
2022-10-14,93.73384094238281
2022-10-17,94.90727233886719
2022-10-18,96.13749694824219
2022-10-19,95.61702728271484
2022-10-20,92.50360107421875
2022-10-21,93.91364288330078
2022-10-24,94.31109619140625
2022-10-25,93.63919830322266
2022-10-26,92.83483123779297
2022-10-27,93.50672149658203
2022-10-28,96.98919677734375
2022-10-31,97.77465057373047
2022-11-01,93.89470672607422
2022-11-02,93.73384094238281
2022-11-03,91.79386901855469
2022-11-04,94.43411254882812
2022-11-07,96.93242645263672
2022-11-08,97.61378479003906
2022-11-09,96.04287719726562
2022-11-10,101.77762603759766
2022-11-11,104.1812973022461
2022-11-14,103.08356475830078
2022-11-15,100.67987823486328
2022-11-16,100.17832946777344
2022-11-17,99.97013854980469
2022-11-18,101.12466430664062
2022-11-21,101.09626770019531
2022-11-22,102.24132537841797
2022-11-23,102.96054077148438
2022-11-25,103.93526458740234
2022-11-28,101.62621307373047
2022-11-29,102.32649993896484
2022-11-30,105.00460815429688
2022-12-01,105.15602111816406
2022-12-02,104.484130859375
2022-12-05,102.0804443359375
2022-12-06,101.20037841796875
2022-12-07,99.17521667480469
2022-12-08,100.5095443725586
2022-12-09,100.22564697265625
2022-12-12,101.60728454589844
2022-12-13,101.81547546386719
2022-12-14,100.69880676269531
2022-12-15,98.73665618896484
2022-12-16,97.36503601074219
2022-12-19,96.14583587646484
2022-12-20,97.45076751708984
2022-12-21,99.58438110351562
2022-12-22,98.82237243652344
2022-12-23,99.4986572265625
2022-12-27,99.47959899902344
2022-12-28,97.83175659179688
2022-12-29,99.21289825439453
2022-12-30,97.52696990966797
2023-01-03,99.07002258300781
2023-01-04,101.29888153076172
2023-01-05,101.60368347167969
2023-01-06,104.52787780761719
2023-01-09,103.52775573730469
2023-01-10,105.26129913330078
2023-01-11,104.67074584960938
2023-01-12,102.8038330078125
2023-01-13,103.58489990234375
2023-01-17,101.146484375
2023-01-18,99.44149780273438
2023-01-19,96.34587097167969
2023-01-20,97.85082244873047
2023-01-23,100.19398498535156
2023-01-24,100.4892578125
2023-01-25,100.17493438720703
2023-01-26,100.7654800415039
2023-01-27,100.43211364746094
2023-01-30,106.22333526611328
2023-01-31,107.77592468261719
2023-02-01,108.88082122802734
2023-02-02,109.9285888671875
2023-02-03,109.642822265625
2023-02-06,109.80476379394531
2023-02-07,121.55867767333984
2023-02-08,121.6253433227539
2023-02-09,120.25372314453125
2023-02-10,119.22503662109375
2023-02-13,121.07289123535156
2023-02-14,119.80606079101562
2023-02-15,120.70140838623047
2023-02-16,119.91082000732422
2023-02-17,120.99667358398438
2023-02-21,118.92975616455078
2023-02-22,118.78688049316406
2023-02-23,117.1295166015625
2023-02-24,115.68170166015625
2023-02-27,115.23404693603516
2023-02-28,114.96733093261719
2023-03-01,114.22437286376953
2023-03-02,113.87196350097656
2023-03-03,115.31023406982422
2023-03-06,115.18640899658203
2023-03-07,112.24317169189453
2023-03-08,111.44306182861328
2023-03-09,109.45233917236328
2023-03-10,107.22347259521484
2023-03-13,103.59442138671875
2023-03-14,105.84233093261719
2023-03-15,102.40380096435547
2023-03-16,106.34609985351562
2023-03-17,100.62928009033203
2023-03-20,105.90486907958984
2023-03-21,106.7297592163086
2023-03-22,103.33422088623047
2023-03-23,101.65562438964844
2023-03-24,102.25032043457031
2023-03-27,103.96727752685547
2023-03-28,103.6219711303711
2023-03-29,106.21179962158203
2023-03-30,105.85689544677734
2023-03-31,107.5067138671875
2023-04-03,107.8424301147461
2023-04-04,106.32689666748047
2023-04-05,106.7393569946289
2023-04-06,107.28608703613281
2023-04-10,106.76812744140625
2023-04-11,106.46119689941406
2023-04-12,105.92403411865234
2023-04-13,106.03914642333984
2023-04-14,102.38460540771484
2023-04-17,103.13276672363281
2023-04-18,103.43971252441406
2023-04-19,103.90013122558594
2023-04-20,102.55725860595703
2023-04-21,101.46377563476562
2023-04-24,101.25275421142578
2023-04-25,99.32476806640625
2023-04-26,97.64617156982422
2023-04-27,99.38232421875
2023-04-28,102.09684753417969
