,SBAC
2017-11-02,147.8234405517578
2017-11-03,146.336669921875
2017-11-06,155.70228576660156
2017-11-07,156.8671112060547
2017-11-08,160.51296997070312
2017-11-09,160.52244567871094
2017-11-10,159.9921417236328
2017-11-13,156.4409942626953
2017-11-14,156.75344848632812
2017-11-15,156.5357208251953
2017-11-16,155.93910217285156
2017-11-17,156.45045471191406
2017-11-20,156.89552307128906
2017-11-21,158.93153381347656
2017-11-22,158.12657165527344
2017-11-24,160.72128295898438
2017-11-27,163.21188354492188
2017-11-28,162.96566772460938
2017-11-29,160.75918579101562
2017-11-30,160.74974060058594
2017-12-01,160.1910400390625
2017-12-04,153.60000610351562
2017-12-05,155.1814422607422
2017-12-06,157.5773468017578
2017-12-07,157.8424835205078
2017-12-08,156.4314727783203
2017-12-11,157.7761993408203
2017-12-12,156.8860626220703
2017-12-13,156.65872192382812
2017-12-14,157.00918579101562
2017-12-15,155.00155639648438
2017-12-18,153.2117919921875
2017-12-19,149.61326599121094
2017-12-20,149.6038055419922
2017-12-21,149.4711456298828
2017-12-22,151.7250518798828
2017-12-26,151.34625244140625
2017-12-27,152.70985412597656
2017-12-28,154.3576202392578
2017-12-29,154.69850158691406
2018-01-02,152.11326599121094
2018-01-03,154.01669311523438
2018-01-04,153.17388916015625
2018-01-05,154.23446655273438
2018-01-08,154.25341796875
2018-01-09,154.8784637451172
2018-01-10,152.35946655273438
2018-01-11,149.14923095703125
2018-01-12,147.6719512939453
2018-01-16,151.37464904785156
2018-01-17,152.9087371826172
2018-01-18,153.07916259765625
2018-01-19,156.99969482421875
2018-01-22,158.76109313964844
2018-01-23,159.32925415039062
2018-01-24,159.9921417236328
2018-01-25,161.26109313964844
2018-01-26,163.14556884765625
2018-01-29,160.5319366455078
2018-01-30,160.71185302734375
2018-01-31,165.2478790283203
2018-02-01,165.4656982421875
2018-02-02,164.0263214111328
2018-02-05,159.34820556640625
2018-02-06,157.19854736328125
2018-02-07,157.6815643310547
2018-02-08,151.37464904785156
2018-02-09,151.260986328125
2018-02-12,151.1663055419922
2018-02-13,152.86141967773438
2018-02-14,153.9409637451172
2018-02-15,158.240234375
2018-02-16,160.1531524658203
2018-02-20,160.72128295898438
2018-02-21,160.51296997070312
2018-02-22,162.04708862304688
2018-02-23,163.7611541748047
2018-02-26,163.5717010498047
2018-02-27,154.54701232910156
2018-02-28,148.9314422607422
2018-03-01,146.74391174316406
2018-03-02,144.80262756347656
2018-03-05,148.37269592285156
2018-03-06,148.2022705078125
2018-03-07,150.35189819335938
2018-03-08,155.5034942626953
2018-03-09,157.66259765625
2018-03-12,159.95425415039062
2018-03-13,161.30844116210938
2018-03-14,161.20428466796875
2018-03-15,160.79710388183594
2018-03-16,159.74594116210938
2018-03-19,160.00164794921875
2018-03-20,160.35203552246094
2018-03-21,158.2307891845703
2018-03-22,160.42774963378906
2018-03-23,159.91636657714844
2018-03-26,164.23458862304688
2018-03-27,161.08120727539062
2018-03-28,161.4220733642578
2018-03-29,161.85768127441406
2018-04-02,160.1531524658203
2018-04-03,159.7269744873047
2018-04-04,161.30844116210938
2018-04-05,162.58685302734375
2018-04-06,160.73077392578125
2018-04-09,162.48269653320312
2018-04-10,154.42393493652344
2018-04-11,155.6739044189453
2018-04-12,155.7307586669922
2018-04-13,155.81594848632812
2018-04-16,157.34059143066406
2018-04-17,158.8747100830078
2018-04-18,158.9409942626953
2018-04-19,156.8292236328125
2018-04-20,156.90499877929688
2018-04-23,157.0281219482422
2018-04-24,156.18527221679688
2018-04-25,155.7686309814453
2018-04-26,156.45993041992188
2018-04-27,150.5223846435547
2018-04-30,151.7344970703125
2018-05-01,149.14923095703125
2018-05-02,147.5867462158203
2018-05-03,147.8802947998047
2018-05-04,150.70228576660156
2018-05-07,149.24392700195312
2018-05-08,149.05455017089844
2018-05-09,150.5128936767578
2018-05-10,153.36329650878906
2018-05-11,151.61141967773438
2018-05-14,149.61326599121094
2018-05-15,149.31021118164062
2018-05-16,149.385986328125
2018-05-17,149.15872192382812
2018-05-18,149.3291778564453
2018-05-21,151.2989044189453
2018-05-22,148.9503173828125
2018-05-23,149.5753936767578
2018-05-24,148.48635864257812
2018-05-25,149.53749084472656
2018-05-29,150.28561401367188
2018-05-30,150.5413055419922
2018-05-31,149.6890106201172
2018-06-01,150.07725524902344
2018-06-04,151.4219512939453
2018-06-05,151.2041778564453
2018-06-06,149.4711456298828
2018-06-07,149.20603942871094
2018-06-08,148.9788055419922
2018-06-11,149.70797729492188
2018-06-12,152.22694396972656
2018-06-13,148.07911682128906
2018-06-14,148.6757049560547
2018-06-15,147.88973999023438
2018-06-18,149.48068237304688
2018-06-19,150.04884338378906
2018-06-20,150.3803253173828
2018-06-21,152.0564727783203
2018-06-22,153.4674530029297
2018-06-25,153.903076171875
2018-06-26,155.48452758789062
2018-06-27,155.54136657714844
2018-06-28,156.18527221679688
2018-06-29,156.36517333984375
2018-07-02,155.95803833007812
2018-07-03,154.09243774414062
2018-07-05,157.22695922851562
2018-07-06,156.68716430664062
2018-07-09,154.40496826171875
2018-07-10,156.715576171875
2018-07-11,156.00538635253906
2018-07-12,156.55462646484375
2018-07-13,155.88223266601562
2018-07-16,154.48072814941406
2018-07-17,155.0110321044922
2018-07-18,153.82730102539062
2018-07-19,154.00723266601562
2018-07-20,153.65687561035156
2018-07-23,152.94662475585938
2018-07-24,151.81971740722656
2018-07-25,152.16064453125
2018-07-26,152.87083435058594
2018-07-27,151.58297729492188
2018-07-30,149.82156372070312
2018-07-31,149.8594970703125
2018-08-01,153.00344848632812
2018-08-02,148.86512756347656
2018-08-03,150.0867156982422
2018-08-06,150.44656372070312
2018-08-07,149.67953491210938
2018-08-08,148.88406372070312
2018-08-09,148.62840270996094
2018-08-10,147.8234405517578
2018-08-13,146.97119140625
2018-08-14,146.5924072265625
2018-08-15,146.8291015625
2018-08-16,147.44468688964844
2018-08-17,149.4522705078125
2018-08-20,149.52801513671875
2018-08-21,148.306396484375
2018-08-22,145.92953491210938
2018-08-23,146.01470947265625
2018-08-24,147.75717163085938
2018-08-27,148.4958038330078
2018-08-28,148.33482360839844
2018-08-29,149.17762756347656
2018-08-30,146.0810089111328
2018-08-31,146.9995880126953
2018-09-04,147.65298461914062
2018-09-05,148.42005920410156
2018-09-06,149.67953491210938
2018-09-07,149.7931671142578
2018-09-10,150.6644287109375
2018-09-11,149.86892700195312
2018-09-12,150.0962371826172
2018-09-13,152.49208068847656
2018-09-14,151.19473266601562
2018-09-17,151.1189422607422
2018-09-18,152.27430725097656
2018-09-19,151.99961853027344
2018-09-20,152.29322814941406
2018-09-21,152.01856994628906
2018-09-24,150.98635864257812
2018-09-25,150.35189819335938
2018-09-26,150.10569763183594
2018-09-27,150.0962371826172
2018-09-28,152.11326599121094
2018-10-01,149.04505920410156
2018-10-02,148.12649536132812
2018-10-03,146.41249084472656
2018-10-04,145.11509704589844
2018-10-05,144.7174072265625
2018-10-08,146.6870574951172
2018-10-09,147.57725524902344
2018-10-10,144.88780212402344
2018-10-11,138.87449645996094
2018-10-12,139.78363037109375
2018-10-15,141.2230224609375
2018-10-16,144.774169921875
2018-10-17,144.26278686523438
2018-10-18,145.18138122558594
2018-10-19,146.19467163085938
2018-10-22,145.42762756347656
2018-10-23,145.80642700195312
2018-10-24,146.27041625976562
2018-10-25,147.8518829345703
2018-10-26,143.1927032470703
2018-10-29,146.5544891357422
2018-10-30,153.6189727783203
2018-10-31,153.5716094970703
2018-11-01,155.1436004638672
2018-11-02,156.12841796875
2018-11-05,157.78570556640625
2018-11-06,157.39743041992188
2018-11-07,161.5641326904297
2018-11-08,162.4259033203125
2018-11-09,162.4164276123047
2018-11-12,162.78575134277344
2018-11-13,163.3255157470703
2018-11-14,162.9182891845703
2018-11-15,161.14744567871094
2018-11-16,162.8993682861328
2018-11-19,163.9599609375
2018-11-20,159.8217010498047
2018-11-21,158.7231903076172
2018-11-23,156.85763549804688
2018-11-26,157.2458953857422
2018-11-27,156.4409942626953
2018-11-28,159.4334716796875
2018-11-29,159.6133575439453
2018-11-30,161.7535400390625
2018-12-03,160.9485626220703
2018-12-04,160.8254852294922
2018-12-06,162.4164276123047
