,ADP
2017-02-15,84.1497573852539
2017-02-16,84.3439712524414
2017-02-17,84.1750717163086
2017-02-21,83.78663635253906
2017-02-22,84.80000305175781
2017-02-23,85.83020782470703
2017-02-24,86.97867584228516
2017-02-27,86.72533416748047
2017-02-28,86.65779113769531
2017-03-01,88.27066802978516
2017-03-02,87.88225555419922
2017-03-03,88.24535369873047
2017-03-06,88.62535095214844
2017-03-07,88.0511245727539
2017-03-08,88.05960845947266
2017-03-09,87.79639434814453
2017-03-10,88.77285766601562
2017-03-13,89.01910400390625
2017-03-14,88.28038024902344
2017-03-15,88.87476348876953
2017-03-16,88.51811218261719
2017-03-17,89.24835205078125
2017-03-20,88.6879653930664
2017-03-21,87.55865478515625
2017-03-22,88.03416442871094
2017-03-23,87.89828491210938
2017-03-24,87.77941131591797
2017-03-27,87.38035583496094
2017-03-28,87.69448852539062
2017-03-29,86.71805572509766
2017-03-30,86.75201416015625
2017-03-31,86.93880462646484
2017-04-03,85.98782348632812
2017-04-04,86.14066314697266
2017-04-05,86.54821014404297
2017-04-06,86.3953857421875
2017-04-07,86.76900482177734
2017-04-10,86.72657012939453
2017-04-11,86.68408966064453
2017-04-12,86.5652084350586
2017-04-13,85.9793472290039
2017-04-17,86.48880767822266
2017-04-18,86.54821014404297
2017-04-19,86.66709899902344
2017-04-20,87.49073028564453
2017-04-21,87.19355773925781
2017-04-24,88.42471313476562
2017-04-25,89.16346740722656
2017-04-26,89.03607940673828
2017-04-27,89.29080200195312
2017-04-28,88.72191619873047
2017-05-01,88.28038024902344
2017-05-02,88.31436157226562
2017-05-03,82.79522705078125
2017-05-04,84.14530944824219
2017-05-05,84.30663299560547
2017-05-08,82.1074447631836
2017-05-09,82.43013000488281
2017-05-10,82.04802703857422
2017-05-11,81.9036865234375
2017-05-12,82.50654602050781
2017-05-15,83.59337615966797
2017-05-16,83.48299407958984
2017-05-17,82.6169204711914
2017-05-18,83.50847625732422
2017-05-19,83.73773956298828
2017-05-22,84.4424819946289
2017-05-23,84.5103988647461
2017-05-24,84.89250946044922
2017-05-25,85.8944320678711
2017-05-26,86.05574035644531
2017-05-30,86.2085952758789
2017-05-31,86.92182159423828
2017-06-01,87.7539291381836
2017-06-02,85.7416000366211
2017-06-05,85.8434829711914
2017-06-06,85.92838287353516
2017-06-07,86.1930923461914
2017-06-08,86.04794311523438
2017-06-09,85.48438262939453
2017-06-12,86.70545196533203
2017-06-13,86.98723602294922
2017-06-14,86.45781707763672
2017-06-15,87.24340057373047
2017-06-16,88.37055206298828
2017-06-19,88.89997863769531
2017-06-20,87.50814056396484
2017-06-21,87.52521514892578
2017-06-22,87.02137756347656
2017-06-23,86.59443664550781
2017-06-26,87.27755737304688
2017-06-27,86.6712875366211
2017-06-28,87.67890167236328
2017-06-29,86.63713836669922
2017-06-30,87.49102783203125
2017-07-03,87.45689392089844
2017-07-05,88.86583709716797
2017-07-06,88.327880859375
2017-07-07,89.77950286865234
2017-07-10,88.51573181152344
2017-07-11,86.96162414550781
2017-07-12,87.52521514892578
2017-07-13,86.78230285644531
2017-07-14,86.54318237304688
2017-07-17,86.84208679199219
2017-07-18,86.5090560913086
2017-07-19,87.73866271972656
2017-07-20,88.24246978759766
2017-07-21,89.30133819580078
2017-07-24,88.41325378417969
2017-07-25,88.10585021972656
2017-07-26,90.49678039550781
2017-07-27,98.73694610595703
2017-07-28,100.2313003540039
2017-07-31,101.53775024414062
2017-08-01,99.7189712524414
2017-08-02,98.41246032714844
2017-08-03,95.4408950805664
2017-08-04,95.11641693115234
2017-08-07,95.7824478149414
2017-08-08,92.65714263916016
2017-08-09,93.63915252685547
2017-08-10,92.99018859863281
2017-08-11,92.91334533691406
2017-08-14,93.66477966308594
2017-08-15,95.27864837646484
2017-08-16,94.86876678466797
2017-08-17,89.38673400878906
2017-08-18,89.15615844726562
