,RSG
2016-09-20,44.01557540893555
2016-09-21,44.50983428955078
2016-09-22,44.40579605102539
2016-09-23,44.032920837402344
2016-09-26,44.032920837402344
2016-09-27,44.024261474609375
2016-09-28,43.86817169189453
2016-09-29,43.693626403808594
2016-09-30,44.0252571105957
2016-10-03,43.98161315917969
2016-10-04,43.562740325927734
2016-10-05,43.50165939331055
2016-10-06,43.38821029663086
2016-10-07,43.18751525878906
2016-10-10,43.53656005859375
2016-10-11,43.28349685668945
2016-10-12,43.362037658691406
2016-10-13,43.3096923828125
2016-10-14,43.4754753112793
2016-10-17,43.763458251953125
2016-10-18,43.841983795166016
2016-10-19,43.7808952331543
2016-10-20,43.61510467529297
2016-10-21,43.57147216796875
2016-10-24,44.112510681152344
2016-10-25,44.46156311035156
2016-10-26,44.75827407836914
2016-10-27,44.4790153503418
2016-10-28,45.36040115356445
2016-10-31,45.92762756347656
2016-11-01,44.75827407836914
2016-11-02,44.63610076904297
2016-11-03,44.53137969970703
2016-11-04,44.70591354370117
2016-11-07,45.386573791503906
2016-11-08,45.5872917175293
2016-11-09,46.04105758666992
2016-11-10,46.16324234008789
2016-11-11,46.83517837524414
2016-11-14,47.210418701171875
2016-11-15,47.91727066040039
2016-11-16,47.62055969238281
2016-11-17,47.70782470703125
2016-11-18,47.65548324584961
2016-11-21,48.30122756958008
2016-11-22,48.37105178833008
2016-11-23,48.152889251708984
2016-11-25,48.54558181762695
2016-11-28,48.74628829956055
2016-11-29,48.78120422363281
2016-11-30,48.42341613769531
2016-12-01,48.405941009521484
2016-12-02,48.702667236328125
2016-12-05,48.24015426635742
2016-12-06,48.62411117553711
2016-12-07,49.121524810791016
2016-12-08,49.25243377685547
2016-12-09,49.32223129272461
2016-12-12,49.67129135131836
2016-12-13,49.78474426269531
2016-12-14,49.313507080078125
2016-12-15,49.43568420410156
2016-12-16,49.383331298828125
2016-12-19,50.098899841308594
2016-12-20,50.17744064331055
2016-12-21,49.99417495727539
2016-12-22,50.02035903930664
2016-12-23,50.05526351928711
2016-12-27,50.098899841308594
2016-12-28,50.02035903930664
2016-12-29,50.1519889831543
2016-12-30,50.06422805786133
2017-01-03,49.90627670288086
2017-01-04,49.9940299987793
2017-01-05,50.20463943481445
2017-01-06,50.04668426513672
2017-01-09,49.511375427246094
2017-01-10,49.74831008911133
2017-01-11,49.941375732421875
