,BXP
2021-01-12,75.46141052246094
2021-01-13,75.9811782836914
2021-01-14,78.0108871459961
2021-01-15,78.50592041015625
2021-01-19,76.9712905883789
2021-01-20,77.19405364990234
2021-01-21,75.89042663574219
2021-01-22,75.32937622070312
2021-01-25,75.31287384033203
2021-01-26,76.5009994506836
2021-01-27,74.02576446533203
2021-01-28,75.8409194946289
2021-01-29,75.30461883544922
2021-02-01,74.44654846191406
2021-02-02,74.66931915283203
2021-02-03,75.09835052490234
2021-02-04,76.25345611572266
2021-02-05,76.00595092773438
2021-02-08,78.67092895507812
2021-02-09,79.19074249267578
2021-02-10,78.10987091064453
2021-02-11,78.32440948486328
2021-02-12,77.63960266113281
2021-02-16,76.5009994506836
2021-02-17,76.52572631835938
2021-02-18,75.63465118408203
2021-02-19,76.10494232177734
2021-02-22,79.5867691040039
2021-02-23,83.44812774658203
2021-02-24,86.37713623046875
2021-02-25,84.75173950195312
2021-02-26,81.78971862792969
2021-03-01,83.57189178466797
2021-03-02,83.65440368652344
2021-03-03,86.25338745117188
2021-03-04,83.2666015625
2021-03-05,84.37220001220703
2021-03-08,88.9431381225586
2021-03-09,87.2682113647461
2021-03-10,87.8787841796875
2021-03-11,88.5223388671875
2021-03-12,89.59494018554688
2021-03-15,88.31607055664062
2021-03-16,87.4744873046875
2021-03-17,87.54875183105469
2021-03-18,87.20221710205078
2021-03-19,86.12962341308594
2021-03-22,84.52071380615234
2021-03-23,84.36395263671875
2021-03-24,84.77649688720703
2021-03-25,86.36063385009766
2021-03-26,88.34081268310547
2021-03-29,85.04876708984375
2021-03-30,85.80679321289062
2021-03-31,84.34905242919922
2021-04-01,86.84803009033203
2021-04-05,86.64812469482422
2021-04-06,86.84803009033203
2021-04-07,87.21456146240234
2021-04-08,86.52316284179688
2021-04-09,87.24787902832031
2021-04-12,87.62272644042969
2021-04-13,87.96424865722656
2021-04-14,88.05587005615234
2021-04-15,87.86429595947266
2021-04-16,87.83097076416016
2021-04-19,88.42240142822266
2021-04-20,88.4057388305664
2021-04-21,89.46365356445312
2021-04-22,88.29743957519531
2021-04-23,88.33910369873047
2021-04-26,89.40533447265625
2021-04-27,90.0467300415039
2021-04-28,89.58025360107422
2021-04-29,91.14630126953125
2021-04-30,91.08797454833984
2021-05-03,90.03006744384766
2021-05-04,90.31329345703125
2021-05-05,88.45572662353516
2021-05-06,89.55526733398438
2021-05-07,90.09671783447266
2021-05-10,90.13836669921875
2021-05-11,89.62191009521484
2021-05-12,86.47318267822266
2021-05-13,88.30577087402344
2021-05-14,90.13003540039062
2021-05-17,91.74605560302734
2021-05-18,93.63694763183594
2021-05-19,91.16294860839844
2021-05-20,92.04592895507812
2021-05-21,93.362060546875
2021-05-24,95.78607940673828
2021-05-25,95.31959533691406
2021-05-26,96.6773681640625
2021-05-27,97.16883087158203
2021-05-28,97.92686462402344
2021-06-01,99.9593734741211
2021-06-02,101.14222717285156
2021-06-03,100.059326171875
2021-06-04,100.18428802490234
2021-06-07,102.58330535888672
2021-06-08,101.91692352294922
2021-06-09,101.94188690185547
2021-06-10,102.20013427734375
2021-06-11,102.59996795654297
2021-06-14,103.31632995605469
2021-06-15,101.62535858154297
2021-06-16,100.87567901611328
2021-06-17,99.34295654296875
2021-06-18,97.6769790649414
2021-06-21,99.65117645263672
2021-06-22,98.09346771240234
2021-06-23,98.89314270019531
2021-06-24,99.18468475341797
2021-06-25,99.79277801513672
2021-06-28,97.2354965209961
2021-06-29,95.62258911132812
2021-06-30,96.26102447509766
2021-07-01,96.55504608154297
2021-07-02,97.50431060791016
2021-07-06,97.68070220947266
2021-07-07,96.08462524414062
2021-07-08,95.30337524414062
2021-07-09,98.4283447265625
2021-07-12,99.7220230102539
2021-07-13,97.71430206298828
2021-07-14,98.1175308227539
2021-07-15,97.95792388916016
2021-07-16,97.56309509277344
2021-07-19,93.00163269042969
2021-07-20,97.4791030883789
2021-07-21,98.31914520263672
2021-07-22,96.18543243408203
2021-07-23,96.52145385742188
2021-07-26,96.92465209960938
2021-07-27,97.64710235595703
2021-07-28,99.12557983398438
2021-07-29,99.47000122070312
2021-07-30,98.60475158691406
2021-08-02,97.73110961914062
2021-08-03,97.50431060791016
2021-08-04,96.34503173828125
2021-08-05,98.17633819580078
2021-08-06,99.04158782958984
2021-08-09,98.4703598022461
2021-08-10,97.67230224609375
