,OXY
2022-07-06,57.25044250488281
2022-07-07,59.53619384765625
2022-07-08,58.76136779785156
2022-07-11,57.64754867553711
2022-07-12,55.565181732177734
2022-07-13,56.1850471496582
2022-07-14,55.42958450317383
2022-07-15,56.8630256652832
2022-07-18,58.16086959838867
2022-07-19,60.84372329711914
2022-07-20,61.55076217651367
2022-07-21,60.04952621459961
2022-07-22,59.13909149169922
2022-07-25,62.38370895385742
2022-07-26,60.1173210144043
2022-07-27,60.80498504638672
2022-07-28,60.66938400268555
2022-07-29,63.68155288696289
2022-08-01,63.177921295166016
2022-08-02,63.01325607299805
2022-08-03,59.0713005065918
2022-08-04,55.652347564697266
2022-08-05,57.15358352661133
2022-08-08,58.151187896728516
2022-08-09,60.44662857055664
2022-08-10,60.88246536254883
2022-08-11,63.623435974121094
2022-08-12,63.66218566894531
2022-08-15,62.3159065246582
2022-08-16,61.51201629638672
2022-08-17,60.98900604248047
2022-08-18,62.83892059326172
2022-08-19,69.04727172851562
2022-08-22,66.85836791992188
2022-08-23,71.46862030029297
2022-08-24,72.55339050292969
2022-08-25,72.13690948486328
2022-08-26,71.23616790771484
2022-08-29,72.89237213134766
2022-08-30,69.74461364746094
2022-08-31,68.76639556884766
2022-09-01,66.24818420410156
2022-09-02,66.60653686523438
2022-09-06,64.77599334716797
2022-09-07,63.371620178222656
2022-09-08,62.577415466308594
2022-09-09,63.674076080322266
2022-09-12,64.82896423339844
2022-09-13,63.41203308105469
2022-09-14,65.21715545654297
2022-09-15,63.169410705566406
2022-09-16,62.509483337402344
2022-09-19,62.77151870727539
2022-09-20,62.38331604003906
2022-09-21,60.830528259277344
2022-09-22,60.05413055419922
2022-09-23,56.9970817565918
2022-09-26,56.17216110229492
2022-09-27,56.802974700927734
2022-09-28,59.597999572753906
2022-09-29,60.27734375
2022-09-30,59.63682174682617
2022-10-03,62.169803619384766
2022-10-04,64.21754455566406
2022-10-05,65.74120330810547
2022-10-06,68.41978454589844
2022-10-07,67.74044036865234
2022-10-10,63.693477630615234
2022-10-11,62.14069366455078
2022-10-12,63.1888313293457
2022-10-13,65.9935531616211
2022-10-14,64.7125015258789
2022-10-17,65.37244415283203
2022-10-18,65.78003692626953
2022-10-19,66.43997955322266
2022-10-20,66.81846618652344
2022-10-21,69.15736389160156
2022-10-24,68.74005126953125
2022-10-25,68.99237060546875
2022-10-26,70.38018798828125
2022-10-27,69.7493667602539
2022-10-28,69.7202377319336
2022-10-31,70.45781707763672
2022-11-01,71.6224136352539
2022-11-02,69.00208282470703
2022-11-03,70.03081512451172
2022-11-04,71.1080551147461
2022-11-07,73.72838592529297
2022-11-08,72.62203216552734
2022-11-09,65.92561340332031
2022-11-10,68.400390625
2022-11-11,72.13677215576172
2022-11-14,71.11775970458984
2022-11-15,72.23382568359375
2022-11-16,69.80760192871094
2022-11-17,69.35145568847656
2022-11-18,69.14764404296875
2022-11-21,67.53663635253906
2022-11-22,70.62279510498047
2022-11-23,69.021484375
2022-11-25,68.20628356933594
2022-11-28,66.2167739868164
2022-11-29,67.07079315185547
2022-11-30,67.43959045410156
2022-12-01,66.76995849609375
2022-12-02,66.19734191894531
2022-12-05,64.4019546508789
2022-12-06,62.2474479675293
2022-12-07,62.06305694580078
2022-12-08,61.830135345458984
2022-12-09,60.877105712890625
2022-12-12,62.26774597167969
2022-12-13,62.5108642578125
2022-12-14,61.92738723754883
2022-12-15,61.42169189453125
2022-12-16,60.80904006958008
2022-12-19,60.69233703613281
2022-12-20,60.653438568115234
2022-12-21,61.97600173950195
2022-12-22,60.099124908447266
2022-12-23,62.18994903564453
2022-12-27,62.55949783325195
2022-12-28,60.37141799926758
2022-12-29,60.565914154052734
2022-12-30,61.256378173828125
2023-01-03,59.36975860595703
2023-01-04,59.42811584472656
2023-01-05,60.507564544677734
2023-01-06,61.995452880859375
2023-01-09,62.316375732421875
2023-01-10,62.38444900512695
2023-01-11,62.32609939575195
2023-01-12,63.930694580078125
2023-01-13,63.51252365112305
2023-01-17,62.93876266479492
2023-01-18,62.647010803222656
2023-01-19,63.862613677978516
2023-01-20,65.0684814453125
2023-01-23,64.66975402832031
2023-01-24,62.65673828125
2023-01-25,62.74427032470703
2023-01-26,65.24351501464844
2023-01-27,64.70867156982422
2023-01-30,62.36499786376953
2023-01-31,63.0068244934082
2023-02-01,61.75233459472656
2023-02-02,60.75068283081055
2023-02-03,59.55453872680664
2023-02-06,59.85600280761719
2023-02-07,62.822059631347656
2023-02-08,62.17050552368164
2023-02-09,61.460594177246094
2023-02-10,63.82371139526367
2023-02-13,62.977664947509766
2023-02-14,64.51416778564453
2023-02-15,61.168853759765625
2023-02-16,60.77985763549805
2023-02-17,59.05857467651367
2023-02-21,58.17361831665039
2023-02-22,56.8121452331543
2023-02-23,57.59013366699219
2023-02-24,57.35673522949219
2023-02-27,57.33728790283203
2023-02-28,56.94830322265625
2023-03-01,58.066650390625
2023-03-02,58.611228942871094
2023-03-03,59.56426239013672
2023-03-06,59.98242950439453
2023-03-07,59.175270080566406
2023-03-08,60.439491271972656
2023-03-09,59.06431198120117
2023-03-10,58.38160705566406
2023-03-13,57.68913650512695
2023-03-14,58.70344924926758
