,SYY
2017-10-11,45.017940521240234
2017-10-12,45.43648147583008
2017-10-13,45.57878112792969
2017-10-16,45.82990264892578
2017-10-17,45.89686965942383
2017-10-18,45.93035888671875
2017-10-19,45.8215446472168
2017-10-20,45.947105407714844
2017-10-23,45.997314453125
2017-10-24,45.8215446472168
2017-10-25,45.66249465942383
2017-10-26,45.92198181152344
2017-10-27,45.871761322021484
2017-10-30,45.77967834472656
2017-10-31,46.55815887451172
2017-11-01,46.50794219970703
2017-11-02,46.74232482910156
2017-11-03,47.4287223815918
2017-11-06,45.34440231323242
2017-11-07,44.021827697753906
2017-11-08,45.185359954833984
2017-11-09,45.21884536743164
2017-11-10,45.36114501953125
2017-11-13,45.21884536743164
2017-11-14,45.9805793762207
2017-11-15,45.285804748535156
2017-11-16,45.6038932800293
2017-11-17,45.947105407714844
2017-11-20,46.014068603515625
2017-11-21,45.7462043762207
2017-11-22,45.955474853515625
2017-11-24,45.97220993041992
2017-11-27,46.17311096191406
2017-11-28,47.152496337890625
2017-11-29,48.299285888671875
2017-11-30,48.324405670166016
2017-12-01,48.36625289916992
2017-12-04,49.83112335205078
2017-12-05,49.62187194824219
2017-12-06,49.82276153564453
2017-12-07,50.98629379272461
2017-12-08,52.43444061279297
2017-12-11,51.881961822509766
2017-12-12,51.764774322509766
2017-12-13,51.58061599731445
2017-12-14,50.97792053222656
2017-12-15,51.019779205322266
2017-12-18,51.34624481201172
2017-12-19,51.0783805847168
2017-12-20,50.877479553222656
2017-12-21,50.71843338012695
2017-12-22,50.82725524902344
2017-12-26,50.860740661621094
2017-12-27,50.9444465637207
2017-12-28,51.11185836791992
2017-12-29,50.835628509521484
2018-01-02,50.643089294433594
2018-01-03,50.751922607421875
2018-01-04,51.231895446777344
2018-01-05,51.74556350708008
2018-01-08,51.85504150390625
2018-01-09,51.686622619628906
2018-01-10,51.661354064941406
2018-01-11,51.5518913269043
2018-01-12,51.686622619628906
2018-01-16,51.97291946411133
2018-01-17,52.37712097167969
2018-01-18,52.39396286010742
2018-01-19,53.227622985839844
