,CDW
2020-11-12,129.21556091308594
2020-11-13,131.15057373046875
2020-11-16,132.57083129882812
2020-11-17,130.3784942626953
2020-11-18,129.3776397705078
2020-11-19,126.5656967163086
2020-11-20,125.77454376220703
2020-11-23,125.0787353515625
2020-11-24,130.81541442871094
2020-11-25,126.14958953857422
2020-11-27,126.4268569946289
2020-11-30,124.76321411132812
2020-12-01,126.22607421875
2020-12-02,125.45159912109375
2020-12-03,125.4898452758789
2020-12-04,127.64107513427734
2020-12-07,127.10567474365234
2020-12-08,127.10567474365234
2020-12-09,126.15912628173828
2020-12-10,125.92964935302734
2020-12-11,124.96397399902344
2020-12-14,125.94876861572266
2020-12-15,127.0005111694336
2020-12-16,126.45552062988281
2020-12-17,129.3047332763672
2020-12-18,128.47291564941406
2020-12-21,125.24127960205078
2020-12-22,125.01178741455078
2020-12-23,124.15128326416016
2020-12-24,123.55847930908203
2020-12-28,125.30819702148438
2020-12-29,123.7879409790039
2020-12-30,124.29471588134766
2020-12-31,126.00614166259766
2021-01-04,121.57935333251953
2021-01-05,122.2295150756836
2021-01-06,123.24295806884766
2021-01-07,126.17823791503906
2021-01-08,128.6832733154297
2021-01-11,127.78450012207031
2021-01-12,128.52069091796875
2021-01-13,129.02748107910156
2021-01-14,128.88401794433594
2021-01-15,127.79409790039062
2021-01-19,127.13435363769531
2021-01-20,130.1748046875
2021-01-21,131.6280975341797
2021-01-22,129.38124084472656
2021-01-25,129.29518127441406
2021-01-26,128.34861755371094
2021-01-27,127.18217468261719
2021-01-28,128.59722900390625
2021-01-29,125.88185119628906
2021-02-01,132.09661865234375
2021-02-02,135.23263549804688
2021-02-03,134.80238342285156
2021-02-04,143.39784240722656
2021-02-05,144.34439086914062
2021-02-08,143.78985595703125
2021-02-09,144.9084930419922
2021-02-10,150.434814453125
2021-02-11,150.02369689941406
2021-02-12,148.5799560546875
2021-02-16,149.08668518066406
2021-02-17,150.93202209472656
2021-02-18,149.775146484375
2021-02-19,153.6951904296875
2021-02-22,152.32789611816406
2021-02-23,150.2818145751953
2021-02-24,155.38136291503906
2021-02-25,150.3872833251953
2021-02-26,150.3872833251953
2021-03-01,153.914794921875
2021-03-02,150.588623046875
2021-03-03,149.20826721191406
2021-03-04,145.16322326660156
2021-03-05,148.07720947265625
2021-03-08,148.70982360839844
2021-03-09,148.067626953125
2021-03-10,149.9559783935547
