,PRU
2016-07-01,48.693599700927734
2016-07-05,47.143646240234375
2016-07-06,47.417972564697266
2016-07-07,47.34939193725586
2016-07-08,48.68674087524414
2016-07-11,49.24913024902344
2016-07-12,50.401309967041016
2016-07-13,50.133846282958984
2016-07-14,51.45061111450195
2016-07-15,51.51233673095703
2016-07-18,51.71122741699219
2016-07-19,51.553497314453125
2016-07-20,51.80724334716797
2016-07-21,51.73180389404297
2016-07-22,51.9581413269043
2016-07-25,51.80724334716797
2016-07-26,52.04729461669922
2016-07-27,51.724937438964844
2016-07-28,51.96498489379883
2016-07-29,51.635799407958984
2016-08-01,51.33403778076172
2016-08-02,50.73051452636719
2016-08-03,52.22561264038086
2016-08-04,49.95553207397461
2016-08-05,52.14330291748047
2016-08-08,53.01430892944336
2016-08-09,53.137760162353516
2016-08-10,52.246185302734375
2016-08-11,52.47251510620117
2016-08-12,51.793540954589844
2016-08-15,52.609676361083984
2016-08-16,52.62339401245117
2016-08-17,52.83600997924805
2016-08-18,52.479366302490234
2016-08-19,52.72854232788086
2016-08-22,52.65241241455078
2016-08-23,52.9223518371582
2016-08-24,53.09538269042969
2016-08-25,53.49683380126953
2016-08-26,53.69064712524414
2016-08-29,54.41047668457031
2016-08-30,55.06804275512695
2016-08-31,54.94343185424805
2016-09-01,54.56967544555664
2016-09-02,55.01958084106445
2016-09-06,54.39665222167969
2016-09-07,54.34126663208008
2016-09-08,54.46584701538086
2016-09-09,54.80501174926758
2016-09-12,55.192626953125
2016-09-13,54.611202239990234
2016-09-14,55.06804275512695
2016-09-15,55.684051513671875
2016-09-16,54.971126556396484
2016-09-19,55.26182556152344
2016-09-20,55.337974548339844
2016-09-21,55.85707092285156
2016-09-22,55.469482421875
2016-09-23,55.60791778564453
2016-09-26,54.96418762207031
2016-09-27,55.82939147949219
2016-09-28,56.51464080810547
2016-09-29,55.35182189941406
2016-09-30,56.51464080810547
2016-10-03,56.36238479614258
2016-10-04,57.16526794433594
2016-10-05,58.6879997253418
2016-10-06,58.84029006958008
2016-10-07,58.508026123046875
2016-10-10,58.791831970214844
2016-10-11,58.397315979003906
2016-10-12,58.480377197265625
2016-10-13,57.91971206665039
2016-10-14,58.438838958740234
2016-10-17,58.49420166015625
2016-10-18,58.397315979003906
2016-10-19,58.487281799316406
2016-10-20,58.08583068847656
2016-10-21,57.55287551879883
2016-10-24,57.82281494140625
2016-10-25,57.3729248046875
2016-10-26,58.07197189331055
2016-10-27,58.67416763305664
2016-10-28,58.487281799316406
2016-10-31,58.6879997253418
2016-11-01,58.26582717895508
2016-11-02,57.99586486816406
2016-11-03,59.989261627197266
2016-11-04,59.38017654418945
2016-11-07,61.4774169921875
2016-11-08,61.4289436340332
2016-11-09,64.72364807128906
2016-11-10,67.65145111083984
2016-11-11,67.782958984375
2016-11-14,68.30207061767578
2016-11-15,68.33668518066406
2016-11-16,67.58223724365234
2016-11-17,68.63432312011719
2016-11-18,69.11529541015625
2016-11-21,70.10517120361328
2016-11-22,69.90996551513672
2016-11-23,70.15393829345703
2016-11-25,70.25851440429688
2016-11-28,69.2895736694336
2016-11-29,69.54750061035156
2016-11-30,70.12605285644531
2016-12-01,71.42960357666016
2016-12-02,70.91375732421875
2016-12-05,71.59687805175781
2016-12-06,72.24518585205078
2016-12-07,73.52082824707031
2016-12-08,74.28761291503906
2016-12-09,73.90422058105469
2016-12-12,72.85860443115234
2016-12-13,73.07470703125
2016-12-14,72.48914337158203
2016-12-15,74.64312744140625
2016-12-16,73.72994995117188
2016-12-19,73.8275375366211
2016-12-20,74.65705871582031
2016-12-21,74.2179183959961
2016-12-22,73.64630126953125
2016-12-23,74.02969360351562
2016-12-27,74.25275421142578
2016-12-28,73.16532897949219
2016-12-29,72.44036102294922
2016-12-30,72.5379409790039
2017-01-03,73.09562683105469
2017-01-04,73.98787689208984
2017-01-05,72.87953186035156
2017-01-06,73.2977523803711
2017-01-09,73.01195526123047
2017-01-10,73.59052276611328
2017-01-11,74.2318344116211
2017-01-12,72.64947509765625
2017-01-13,73.3535385131836
2017-01-17,72.44036102294922
2017-01-18,73.60446166992188
2017-01-19,73.02590942382812
2017-01-20,73.60446166992188
2017-01-23,72.83768463134766
2017-01-24,73.67418670654297
2017-01-25,74.83830261230469
2017-01-26,74.82437896728516
2017-01-27,74.30156707763672
2017-01-30,73.59052276611328
2017-01-31,73.26988220214844
2017-02-01,73.58356475830078
2017-02-02,72.79588317871094
2017-02-03,74.12033081054688
2017-02-06,73.96694946289062
2017-02-07,74.30156707763672
2017-02-08,73.34657287597656
2017-02-09,75.55630493164062
2017-02-10,75.8072280883789
2017-02-13,76.53917694091797
2017-02-14,76.99226379394531
2017-02-15,77.92635345458984
2017-02-16,78.14942169189453
2017-02-17,77.97399139404297
2017-02-21,78.0511703491211
2017-02-22,77.5458984375
2017-02-23,77.79855346679688
2017-02-24,77.16693878173828
2017-02-27,77.8616943359375
2017-02-28,77.573974609375
2017-03-01,79.87578582763672
2017-03-02,78.45820617675781
2017-03-03,78.99154663085938
2017-03-06,78.4371337890625
2017-03-07,78.06521606445312
2017-03-08,77.9599380493164
2017-03-09,77.88977813720703
2017-03-10,77.93888854980469
2017-03-13,78.32488250732422
2017-03-14,77.94590759277344
2017-03-15,78.17050170898438
2017-03-16,78.33189392089844
2017-03-17,77.13888549804688
2017-03-20,76.57747650146484
2017-03-21,74.27564239501953
2017-03-22,73.98089599609375
2017-03-23,74.03702545166016
2017-03-24,73.99493408203125
2017-03-27,73.33526611328125
2017-03-28,74.24757385253906
2017-03-29,73.79842376708984
2017-03-30,75.30024719238281
2017-03-31,74.86515045166016
2017-04-03,74.69670104980469
2017-04-04,74.5212631225586
2017-04-05,74.02301025390625
2017-04-06,74.5914535522461
2017-04-07,74.2896957397461
2017-04-10,74.19845581054688
2017-04-11,73.96686553955078
2017-04-12,72.87210083007812
2017-04-13,72.22644805908203
2017-04-17,73.19491577148438
2017-04-18,72.68260955810547
2017-04-19,73.10366821289062
2017-04-20,74.27564239501953
2017-04-21,74.1423110961914
2017-04-24,75.70023345947266
2017-04-25,75.71428680419922
2017-04-26,75.23004150390625
2017-04-27,75.14583587646484
2017-04-28,75.1107406616211
2017-05-01,75.41251373291016
2017-05-02,75.48269653320312
2017-05-03,76.12832641601562
2017-05-04,76.58446502685547
2017-05-05,76.30377197265625
2017-05-08,75.97392272949219
2017-05-09,75.70726776123047
2017-05-10,76.11430358886719
2017-05-11,75.64409637451172
2017-05-12,74.53529357910156
2017-05-15,75.39848327636719
2017-05-16,75.65110778808594
2017-05-17,72.57734680175781
2017-05-18,72.59840393066406
2017-05-19,73.51029968261719
2017-05-22,73.70824432373047
2017-05-23,74.3302993774414
2017-05-24,74.19599914550781
2017-05-25,74.94532012939453
2017-05-26,74.27376556396484
2017-05-30,74.12531280517578
2017-05-31,74.11824035644531
2017-06-01,75.4260025024414
2017-06-02,75.22807312011719
2017-06-05,74.627197265625
2017-06-06,72.95183563232422
2017-06-07,73.19926452636719
2017-06-08,74.51409912109375
2017-06-09,76.1682357788086
2017-06-12,76.59945678710938
2017-06-13,76.38031768798828
2017-06-14,76.41566467285156
2017-06-15,76.54287719726562
2017-06-16,76.13996887207031
2017-06-19,76.68427276611328
2017-06-20,75.9420166015625
2017-06-21,74.1465072631836
2017-06-22,73.02961730957031
2017-06-23,73.06495666503906
2017-06-26,73.2840805053711
2017-06-27,73.94152069091797
2017-06-28,75.82184600830078
2017-06-29,76.61355590820312
2017-06-30,76.44391632080078
2017-07-03,77.8860092163086
2017-07-05,77.91427612304688
2017-07-06,78.32428741455078
2017-07-07,78.72016143798828
2017-07-10,78.70600128173828
2017-07-11,78.21823120117188
2017-07-12,78.6141128540039
2017-07-13,79.1230697631836
2017-07-14,78.75548553466797
2017-07-17,78.66358184814453
2017-07-18,78.18289947509766
2017-07-19,78.6777114868164
2017-07-20,78.50806427001953
2017-07-21,78.98875427246094
2017-07-24,79.26445770263672
2017-07-25,80.2470474243164
2017-07-26,79.306884765625
2017-07-27,79.6956558227539
2017-07-28,80.02083587646484
2017-07-31,80.04204559326172
2017-08-01,80.86911010742188
2017-08-02,81.4558334350586
2017-08-03,77.94962310791016
2017-08-04,79.51893615722656
2017-08-07,78.95343017578125
2017-08-08,78.80497741699219
2017-08-09,77.71633911132812
2017-08-10,74.97357940673828
2017-08-11,74.71202850341797
2017-08-14,75.45426177978516
2017-08-15,75.1078872680664
2017-08-16,74.37273406982422
2017-08-17,72.57012176513672
2017-08-18,72.59859466552734
2017-08-21,71.97908782958984
2017-08-22,72.56299591064453
2017-08-23,71.99332427978516
2017-08-24,72.41348266601562
2017-08-25,73.21812438964844
2017-08-28,73.11844635009766
2017-08-29,72.14999389648438
2017-08-30,72.7339096069336
2017-08-31,72.69116973876953
2017-09-01,73.45313262939453
2017-09-05,71.7369613647461
2017-09-06,71.62303161621094
2017-09-07,70.24868774414062
2017-09-08,70.43382263183594
2017-09-11,71.87226867675781
2017-09-12,72.76240539550781
2017-09-13,72.89057159423828
2017-09-14,72.61285400390625
2017-09-15,73.18965911865234
2017-09-18,73.61691284179688
2017-09-19,74.2791748046875
2017-09-20,74.8915786743164
2017-09-21,74.6138687133789
2017-09-22,74.7705307006836
2017-09-25,75.0268783569336
2017-09-26,75.43989562988281
2017-09-27,76.03804779052734
2017-09-28,75.48262023925781
2017-09-29,75.71049499511719
2017-10-02,76.39411163330078
2017-10-03,76.79288482666016
2017-10-04,76.79998016357422
2017-10-05,77.80408477783203
2017-10-06,78.08177185058594
2017-10-09,77.6616439819336
2017-10-10,78.3310317993164
2017-10-11,78.3381576538086
2017-10-12,77.86817169189453
2017-10-13,77.69723510742188
2017-10-16,77.88239288330078
2017-10-17,77.46939086914062
2017-10-18,77.54057312011719
2017-10-19,78.04617309570312
2017-10-20,78.8864517211914
2017-10-23,78.89356994628906
2017-10-24,79.87627410888672
2017-10-25,79.22115325927734
2017-10-26,79.67688751220703
2017-10-27,79.76946258544922
2017-10-30,79.47038269042969
2017-10-31,78.65858459472656
