,CTRA
2022-11-18,24.803560256958008
2022-11-21,24.598419189453125
2022-11-22,25.642780303955078
2022-11-23,25.680076599121094
2022-11-25,25.745351791381836
2022-11-28,25.316417694091797
2022-11-29,26.174283981323242
2022-11-30,26.02509117126465
2022-12-01,25.57750701904297
2022-12-02,25.418989181518555
2022-12-05,24.430574417114258
2022-12-06,24.057586669921875
2022-12-07,23.759201049804688
2022-12-08,23.264995574951172
2022-12-09,22.826738357543945
2022-12-12,23.171749114990234
2022-12-13,23.218372344970703
2022-12-14,23.031877517700195
2022-12-15,23.61933135986328
2022-12-16,23.069177627563477
2022-12-19,22.668216705322266
2022-12-20,22.826738357543945
2022-12-21,23.37689208984375
2022-12-22,22.854707717895508
2022-12-23,23.498111724853516
2022-12-27,23.852447509765625
2022-12-28,22.724163055419922
2022-12-29,22.86403465270996
2022-12-30,22.91065788269043
2023-01-03,21.64250373840332
2023-01-04,22.360502243041992
2023-01-05,22.07143783569336
2023-01-06,22.621593475341797
2023-01-09,23.115800857543945
2023-01-10,23.386213302612305
2023-01-11,23.022554397583008
2023-01-12,23.675277709960938
2023-01-13,23.404863357543945
2023-01-17,23.62865447998047
2023-01-18,23.013227462768555
2023-01-19,23.591352462768555
2023-01-20,23.889745712280273
2023-01-23,24.0389404296875
2023-01-24,23.498111724853516
2023-01-25,23.404863357543945
2023-01-26,23.554058074951172
2023-01-27,23.61933135986328
2023-01-30,22.994577407836914
2023-01-31,23.33959197998047
2023-02-01,22.8826847076416
2023-02-02,23.059850692749023
2023-02-03,22.621593475341797
2023-02-06,22.20198631286621
2023-02-07,22.621593475341797
2023-02-08,22.51902198791504
2023-02-09,22.7148380279541
2023-02-10,23.37689208984375
2023-02-13,23.320940017700195
2023-02-14,23.824474334716797
2023-02-15,23.237018585205078
2023-02-16,22.947956085205078
2023-02-17,21.81967544555664
2023-02-21,21.446685791015625
2023-02-22,21.689130783081055
2023-02-23,23.003902435302734
2023-02-24,23.833797454833984
2023-02-27,23.665952682495117
2023-02-28,23.283641815185547
2023-03-01,23.535409927368164
2023-03-02,24.066913604736328
2023-03-03,24.561119079589844
2023-03-06,23.927045822143555
2023-03-07,24.122861862182617
2023-03-08,23.451486587524414
2023-03-09,23.414186477661133
2023-03-10,22.92930793762207
2023-03-13,22.817411422729492
2023-03-14,23.20904541015625
2023-03-15,21.73939323425293
2023-03-16,22.43604850769043
2023-03-17,22.130664825439453
2023-03-20,22.512393951416016
2023-03-21,23.027725219726562
2023-03-22,22.42650604248047
2023-03-23,22.044776916503906
2023-03-24,22.59827995300293
2023-03-27,22.67462730407715
2023-03-28,22.88457679748535
2023-03-29,23.00864028930664
2023-03-30,22.941837310791016
2023-03-31,23.41899871826172
2023-04-03,23.972503662109375
2023-04-04,23.94387435913086
2023-04-05,24.24925422668457
2023-04-06,23.800724029541016
2023-04-10,24.478290557861328
2023-04-11,24.77412986755371
2023-04-12,24.583267211914062
2023-04-13,24.564180374145508
2023-04-14,24.583267211914062
2023-04-17,24.506919860839844
2023-04-18,24.583267211914062
2023-04-19,24.526010513305664
2023-04-20,24.39240074157715
2023-04-21,24.296972274780273
2023-04-24,24.526010513305664
2023-04-25,24.001131057739258
2023-04-26,23.56214714050293
2023-04-27,24.01067352294922
2023-04-28,24.430574417114258
2023-05-01,24.27788543701172
2023-05-02,23.19950294494629
2023-05-03,22.999094009399414
2023-05-04,23.037267684936523
2023-05-05,23.94387435913086
2023-05-08,23.72437858581543
2023-05-09,23.705293655395508
2023-05-10,23.342649459838867
2023-05-11,23.24721908569336
2023-05-12,23.6671199798584
2023-05-15,24.39240074157715
2023-05-16,23.648033142089844
2023-05-17,23.514429092407227
2023-05-18,24.28742790222168
2023-05-19,24.459203720092773
2023-05-22,24.70732879638672
2023-05-23,24.59280776977539
2023-05-24,24.344682693481445
2023-05-25,23.882991790771484
2023-05-26,23.315494537353516
2023-05-30,22.651811599731445
2023-05-31,22.363252639770508
