,WAB
2017-04-20,77.84732818603516
2017-04-21,77.50350189208984
2017-04-24,78.49678039550781
2017-04-25,80.58839416503906
2017-04-26,82.08781433105469
2017-04-27,80.83667755126953
2017-04-28,80.12039947509766
2017-05-01,78.66868591308594
2017-05-02,78.181640625
2017-05-03,78.71644592285156
2017-05-04,78.37261199951172
2017-05-05,79.2703857421875
2017-05-08,78.3535385131836
2017-05-09,77.64677429199219
2017-05-10,77.809326171875
2017-05-11,77.11126708984375
2017-05-12,76.60447692871094
2017-05-15,76.81484985351562
2017-05-16,76.43233489990234
2017-05-17,75.8586196899414
2017-05-18,75.93510437011719
2017-05-19,78.27791595458984
2017-05-22,78.17271423339844
2017-05-23,78.42133331298828
2017-05-24,78.33525848388672
2017-05-25,78.88031768798828
2017-05-26,77.69458770751953
2017-05-30,78.7846908569336
2017-05-31,78.17271423339844
2017-06-01,79.35845947265625
2017-06-02,80.48680114746094
2017-06-05,80.0851821899414
2017-06-06,78.65080261230469
2017-06-07,79.7122573852539
2017-06-08,81.17527770996094
2017-06-09,82.30365753173828
2017-06-12,83.48939514160156
2017-06-13,84.63691711425781
2017-06-14,84.17790222167969
2017-06-15,84.197021484375
2017-06-16,85.0289535522461
2017-06-19,85.30624389648438
2017-06-20,84.62732696533203
2017-06-21,84.35002136230469
2017-06-22,84.48388671875
2017-06-23,84.64643096923828
2017-06-26,85.0767593383789
2017-06-27,84.58907318115234
2017-06-28,86.25294494628906
2017-06-29,86.33900451660156
2017-06-30,87.49606323242188
2017-07-03,88.46186828613281
2017-07-05,87.72554779052734
2017-07-06,86.62588500976562
2017-07-07,87.0179443359375
2017-07-10,86.539794921875
2017-07-11,86.9031753540039
2017-07-12,87.94548797607422
2017-07-13,86.29117584228516
2017-07-14,85.90869903564453
2017-07-17,85.35407257080078
2017-07-18,85.64093780517578
2017-07-19,86.25294494628906
2017-07-20,84.40739440917969
2017-07-21,83.66151428222656
2017-07-24,83.14514923095703
2017-07-25,75.04581451416016
2017-07-26,70.78096008300781
2017-07-27,72.31097412109375
2017-07-28,71.7658920288086
2017-07-31,72.06231689453125
2017-08-01,70.60882568359375
2017-08-02,70.40800476074219
2017-08-03,70.21680450439453
2017-08-04,71.37383270263672
2017-08-07,71.07738494873047
2017-08-08,70.01597595214844
2017-08-09,69.88209533691406
2017-08-10,69.22118377685547
2017-08-11,69.73843383789062
2017-08-14,68.96258544921875
2017-08-15,68.69439697265625
2017-08-16,69.12541961669922
2017-08-17,68.33041381835938
2017-08-18,67.87068939208984
2017-08-21,67.28642272949219
2017-08-22,67.76533508300781
2017-08-23,67.12358093261719
2017-08-24,67.19064331054688
2017-08-25,67.2385025024414
2017-08-28,67.48758697509766
2017-08-29,67.69830322265625
2017-08-30,67.44926452636719
2017-08-31,67.59294128417969
2017-09-01,69.02008056640625
2017-09-05,69.0967025756836
2017-09-06,66.75961303710938
2017-09-07,67.27684783935547
2017-09-08,67.31515502929688
2017-09-11,68.22506713867188
2017-09-12,69.02963256835938
2017-09-13,68.88597869873047
2017-09-14,68.46451568603516
2017-09-15,69.29785919189453
2017-09-18,70.78242492675781
2017-09-19,71.21345520019531
2017-09-20,71.88391876220703
2017-09-21,72.0467529296875
2017-09-22,73.03331756591797
2017-09-25,72.89921569824219
2017-09-26,72.31492614746094
2017-09-27,72.27664947509766
2017-09-28,72.54483032226562
2017-09-29,72.55439758300781
2017-10-02,73.18655395507812
2017-10-03,73.20570373535156
2017-10-04,72.91835021972656
2017-10-05,72.85131072998047
2017-10-06,72.41075134277344
2017-10-09,72.1712646484375
2017-10-10,71.86477661132812
2017-10-11,71.96054077148438
2017-10-12,72.39157104492188
2017-10-13,71.36669921875
2017-10-16,71.74982452392578
2017-10-17,72.16167449951172
2017-10-18,72.31492614746094
2017-10-19,72.46821594238281
2017-10-20,73.62713623046875
2017-10-23,73.16739654541016
2017-10-24,77.33386993408203
2017-10-25,74.37427520751953
2017-10-26,72.81300354003906
2017-10-27,73.05245971679688
2017-10-30,73.3302230834961
2017-10-31,73.27273559570312
2017-11-01,73.40686798095703
2017-11-02,73.20570373535156
2017-11-03,73.7803955078125
2017-11-06,73.7995376586914
2017-11-07,72.98539733886719
2017-11-08,73.78998565673828
2017-11-09,72.19998931884766
2017-11-10,73.39917755126953
2017-11-13,72.19998931884766
2017-11-14,70.54035186767578
2017-11-15,69.92638397216797
2017-11-16,70.67465209960938
2017-11-17,70.96245574951172
2017-11-20,71.04878997802734
2017-11-21,70.34847259521484
2017-11-22,70.108642578125
2017-11-24,70.17579650878906
2017-11-27,69.75369262695312
2017-11-28,71.81626892089844
2017-11-29,73.86927032470703
2017-11-30,73.77330780029297
2017-12-01,73.19774627685547
2017-12-04,74.44485473632812
2017-12-05,73.8021240234375
2017-12-06,71.81626892089844
2017-12-07,72.4014663696289
2017-12-08,73.13054656982422
2017-12-11,74.15705108642578
2017-12-12,73.61023712158203
2017-12-13,74.8765640258789
2017-12-14,73.74456024169922
2017-12-15,73.55268096923828
2017-12-18,74.8765640258789
2017-12-19,75.70157623291016
2017-12-20,77.12142944335938
2017-12-21,76.61297607421875
2017-12-22,76.392333984375
2017-12-26,77.50517272949219
2017-12-27,78.06157684326172
2017-12-28,78.1958999633789
2017-12-29,78.119140625
2018-01-02,79.55815124511719
2018-01-03,78.91539764404297
2018-01-04,79.98026275634766
2018-01-05,78.50286865234375
2018-01-08,79.02092742919922
2018-01-09,79.711669921875
2018-01-10,79.03050231933594
2018-01-11,80.60379791259766
2018-01-12,81.73583984375
2018-01-16,80.77651977539062
2018-01-17,79.35668182373047
2018-01-18,78.51243591308594
2018-01-19,79.43343353271484
