,WEC
2015-05-14,35.225128173828125
2015-05-15,35.558494567871094
2015-05-18,35.751102447509766
2015-05-19,35.728885650634766
2015-05-20,36.099281311035156
2015-05-21,36.07705307006836
2015-05-22,35.81035614013672
2015-05-26,35.73627853393555
2015-05-27,35.78072738647461
2015-05-28,35.80295944213867
2015-05-29,35.76592254638672
2015-06-01,35.81777572631836
2015-06-02,35.15104293823242
2015-06-03,34.61026382446289
2015-06-04,34.284305572509766
2015-06-05,33.713897705078125
2015-06-08,33.49165344238281
2015-06-09,33.484256744384766
2015-06-10,33.54351043701172
2015-06-11,33.98057556152344
2015-06-12,33.75834655761719
2015-06-15,33.72871398925781
2015-06-16,34.113929748535156
2015-06-17,34.3361701965332
2015-06-18,34.81769943237305
2015-06-19,34.50655746459961
2015-06-22,34.284305572509766
2015-06-23,33.99540328979492
2015-06-24,33.91392135620117
2015-06-25,33.92131805419922
2015-06-26,34.232460021972656
2015-06-29,33.454612731933594
2015-06-30,33.46726989746094
2015-07-01,34.181724548339844
2015-07-02,34.71754837036133
2015-07-06,34.7845344543457
2015-07-07,35.625484466552734
2015-07-08,35.290584564208984
2015-07-09,34.83662414550781
2015-07-10,35.17151641845703
2015-07-13,35.134307861328125
2015-07-14,35.141754150390625
2015-07-15,35.26826858520508
2015-07-16,36.03480911254883
2015-07-17,35.618038177490234
2015-07-20,35.42455291748047
2015-07-21,35.36500930786133
2015-07-22,35.74456024169922
2015-07-23,35.05243682861328
2015-07-24,35.067317962646484
2015-07-27,35.484092712402344
2015-07-28,35.76688003540039
2015-07-29,35.841312408447266
2015-07-30,36.2952766418457
2015-07-31,36.46644973754883
2015-08-03,36.74181365966797
2015-08-04,36.19853591918945
2015-08-05,36.220848083496094
2015-08-06,36.65250015258789
2015-08-07,37.24043273925781
2015-08-10,37.01716995239258
2015-08-11,37.575321197509766
2015-08-12,38.1016960144043
2015-08-13,38.1016960144043
2015-08-14,38.38581085205078
2015-08-17,38.34842300415039
2015-08-18,38.33346939086914
2015-08-19,38.527862548828125
2015-08-20,38.48300552368164
2015-08-21,38.355899810791016
2015-08-24,36.46426773071289
2015-08-25,35.20070266723633
2015-08-26,35.6792106628418
2015-08-27,36.030616760253906
2015-08-28,36.03810119628906
2015-08-31,35.62687683105469
2015-09-01,34.96143341064453
2015-09-02,34.91659164428711
2015-09-03,35.15584182739258
2015-09-04,34.81938171386719
2015-09-08,35.342750549316406
2015-09-09,35.04368209838867
2015-09-10,35.3203239440918
2015-09-11,35.79884719848633
2015-09-14,36.06053161621094
2015-09-15,36.09042739868164
2015-09-16,36.20258712768555
2015-09-17,36.77830505371094
2015-09-18,36.88298034667969
2015-09-21,37.017555236816406
2015-09-22,36.82316589355469
2015-09-23,36.99512481689453
2015-09-24,37.52598190307617
2015-09-25,38.139060974121094
2015-09-28,38.116641998291016
2015-09-29,38.2213249206543
2015-09-30,39.04376983642578
2015-10-01,38.9390983581543
2015-10-02,39.342830657958984
2015-10-05,39.440040588378906
2015-10-06,38.976470947265625
2015-10-07,38.625064849853516
2015-10-08,39.215721130371094
2015-10-09,39.148433685302734
2015-10-12,39.454978942871094
2015-10-13,39.208251953125
2015-10-14,39.06619644165039
2015-10-15,39.62696075439453
2015-10-16,39.85124969482422
2015-10-19,39.978370666503906
2015-10-20,39.903594970703125
2015-10-21,39.74657440185547
2015-10-22,40.17275619506836
2015-10-23,39.48488998413086
2015-10-26,39.51480484008789
2015-10-27,39.387691497802734
2015-10-28,38.80451583862305
2015-10-29,38.355899810791016
2015-10-30,38.550296783447266
2015-11-02,38.662445068359375
2015-11-03,38.789554595947266
2015-11-04,38.87179946899414
2015-11-05,38.6400146484375
2015-11-06,37.017555236816406
2015-11-09,36.77830505371094
2015-11-10,37.410743713378906
2015-11-11,37.727725982666016
2015-11-12,37.350372314453125
2015-11-13,36.99565887451172
2015-11-16,38.01450729370117
2015-11-17,37.38810729980469
2015-11-18,37.7880973815918
2015-11-19,37.931488037109375
2015-11-20,38.12016296386719
2015-11-23,37.674888610839844
2015-11-24,37.26735305786133
2015-11-25,37.03339385986328
2015-11-27,37.38810729980469
2015-11-30,37.22206115722656
2015-12-01,37.6673469543457
2015-12-02,36.74659729003906
2015-12-03,36.31642532348633
2015-12-04,37.320186614990234
2015-12-07,37.79563903808594
2015-12-08,38.11262130737305
2015-12-09,37.68998718261719
2015-12-10,36.64849090576172
2015-12-11,36.64849090576172
2015-12-14,37.38810729980469
2015-12-15,37.674888610839844
2015-12-16,38.656002044677734
2015-12-17,38.68619155883789
2015-12-18,37.91640090942383
2015-12-21,38.029605865478516
2015-12-22,38.29375457763672
2015-12-23,38.89751434326172
2015-12-24,38.92015838623047
2015-12-28,39.161651611328125
2015-12-29,39.47108840942383
2015-12-30,39.41826248168945
2015-12-31,38.72394561767578
2016-01-04,38.73147964477539
2016-01-05,39.14656448364258
2016-01-06,39.04090118408203
2016-01-07,39.033355712890625
2016-01-08,38.844688415527344
2016-01-11,39.161651611328125
2016-01-12,38.905059814453125
2016-01-13,39.123931884765625
2016-01-14,39.999385833740234
2016-01-15,39.81070327758789
2016-01-19,40.89747619628906
2016-01-20,39.9541015625
2016-01-21,39.599395751953125
2016-01-22,40.46730422973633
2016-01-25,40.157867431640625
2016-01-26,40.6484260559082
2016-01-27,40.43711471557617
2016-01-28,41.282386779785156
2016-01-29,41.68238067626953
2016-02-01,42.331424713134766
2016-02-02,42.36161422729492
2016-02-03,42.754058837890625
2016-02-04,42.565391540527344
2016-02-05,43.05593490600586
2016-02-08,43.36536407470703
2016-02-09,43.31254196166992
2016-02-10,42.966163635253906
2016-02-11,42.43327713012695
2016-02-12,42.37997817993164
2016-02-16,42.425655364990234
2016-02-17,42.27339172363281
2016-02-18,43.0955810546875
2016-02-19,43.03468322753906
2016-02-22,43.46860122680664
2016-02-23,43.658912658691406
2016-02-24,43.689369201660156
2016-02-25,44.13852310180664
2016-02-26,42.966163635253906
2016-02-29,42.89764404296875
2016-03-01,42.89764404296875
2016-03-02,42.806297302246094
2016-03-03,42.98899841308594
2016-03-04,43.42292022705078
2016-03-07,43.32396697998047
2016-03-08,43.97865676879883
2016-03-09,44.21464157104492
2016-03-10,44.09283447265625
2016-03-11,44.267940521240234
2016-03-14,44.19180679321289
2016-03-15,44.41257858276367
2016-03-16,44.739933013916016
2016-03-17,45.0672721862793
2016-03-18,44.534393310546875
2016-03-21,44.580055236816406
2016-03-22,44.336456298828125
2016-03-23,44.785606384277344
2016-03-24,44.831260681152344
2016-03-28,44.671409606933594
2016-03-29,45.36416244506836
2016-03-30,45.37937927246094
2016-03-31,45.72957992553711
2016-04-01,45.65345764160156
2016-04-04,45.76003646850586
2016-04-05,44.89979553222656
2016-04-06,44.770381927490234
2016-04-07,44.846500396728516
2016-04-08,44.86173629760742
2016-04-11,44.70948028564453
2016-04-12,45.01398849487305
2016-04-13,44.610504150390625
2016-04-14,44.44302749633789
2016-04-15,44.75514602661133
2016-04-18,45.0215950012207
2016-04-19,45.0215950012207
2016-04-20,43.48381805419922
2016-04-21,42.555084228515625
2016-04-22,43.126033782958984
2016-04-25,43.255435943603516
2016-04-26,43.17170715332031
2016-04-27,43.92536926269531
2016-04-28,44.21464157104492
2016-04-29,44.3136100769043
2016-05-02,44.473480224609375
2016-05-03,44.876953125
2016-05-04,45.752410888671875
2016-05-05,45.65345764160156
2016-05-06,45.105342864990234
2016-05-09,45.73720169067383
2016-05-10,45.69912338256836
2016-05-11,46.10212326049805
2016-05-12,46.19422912597656
2016-05-13,45.986968994140625
2016-05-16,46.17120361328125
2016-05-17,45.211692810058594
2016-05-18,44.43640899658203
2016-05-19,44.84324645996094
2016-05-20,44.912322998046875
2016-05-23,44.513179779052734
2016-05-24,45.18866729736328
2016-05-25,45.096561431884766
2016-05-26,45.80275344848633
2016-05-27,45.84880447387695
2016-05-31,46.16352081298828
2016-06-01,46.40147018432617
2016-06-02,46.19422912597656
2016-06-03,47.222808837890625
2016-06-06,46.9080924987793
2016-06-07,46.74689865112305
2016-06-08,47.32260513305664
2016-06-09,47.83688735961914
2016-06-10,47.99809265136719
2016-06-13,47.99042510986328
2016-06-14,48.50469970703125
2016-06-15,48.021121978759766
2016-06-16,48.46632385253906
2016-06-17,48.58914566040039
2016-06-20,48.31281280517578
2016-06-21,48.282108306884766
2016-06-22,48.266761779785156
2016-06-23,48.18998718261719
2016-06-24,48.604496002197266
2016-06-27,49.49491500854492
2016-06-28,49.37208557128906
2016-06-29,49.24929428100586
2016-06-30,50.12434768676758
2016-07-01,49.93245315551758
2016-07-05,50.52350616455078
2016-07-06,50.39300537109375
2016-07-07,49.41815185546875
2016-07-08,49.9171028137207
2016-07-11,49.824981689453125
2016-07-12,48.90385055541992
2016-07-13,49.32604217529297
2016-07-14,49.118797302246094
2016-07-15,49.09575271606445
2016-07-18,49.318363189697266
2016-07-19,49.25695037841797
2016-07-20,49.141822814941406
2016-07-21,49.679134368896484
2016-07-22,50.19342041015625
2016-07-25,50.23948669433594
2016-07-26,49.6407585144043
2016-07-27,49.118797302246094
2016-07-28,49.25695037841797
2016-07-29,49.824981689453125
2016-08-01,49.94780349731445
2016-08-02,49.602386474609375
2016-08-03,48.896183013916016
2016-08-04,49.01131820678711
2016-08-05,48.03648376464844
2016-08-08,47.88294982910156
2016-08-09,47.959712982177734
2016-08-10,48.19569778442383
2016-08-11,48.28081512451172
2016-08-12,48.327232360839844
2016-08-15,47.32912063598633
2016-08-16,46.43932342529297
2016-08-17,47.104736328125
2016-08-18,47.924903869628906
2016-08-19,47.43743896484375
2016-08-22,47.66181564331055
2016-08-23,47.360069274902344
2016-08-24,47.25174331665039
2016-08-25,47.39101028442383
2016-08-26,46.17626190185547
2016-08-29,46.68690872192383
2016-08-30,46.083404541015625
2016-08-31,46.33100891113281
2016-09-01,46.28458023071289
2016-09-02,46.857147216796875
2016-09-06,47.553504943847656
2016-09-07,47.2827033996582
2016-09-08,47.51482009887695
2016-09-09,45.719757080078125
2016-09-12,46.56311798095703
2016-09-13,46.01377487182617
2016-09-14,46.400634765625
2016-09-15,46.56311798095703
2016-09-16,47.03510284423828
2016-09-19,47.561241149902344
2016-09-20,47.39875030517578
2016-09-21,48.358177185058594
2016-09-22,48.59804153442383
2016-09-23,48.721839904785156
2016-09-26,48.559356689453125
2016-09-27,47.72372055053711
2016-09-28,47.43743896484375
2016-09-29,46.71786880493164
2016-09-30,46.33100891113281
2016-10-03,45.67333984375
2016-10-04,44.43537139892578
2016-10-05,44.334781646728516
2016-10-06,44.34251403808594
2016-10-07,44.17230224609375
2016-10-10,44.40442657470703
2016-10-11,43.78542709350586
2016-10-12,44.42762756347656
2016-10-13,45.01567077636719
2016-10-14,44.67523193359375
2016-10-17,44.9073486328125
2016-10-18,45.1085205078125
2016-10-19,45.01567077636719
2016-10-20,44.922821044921875
2016-10-21,44.63653564453125
2016-10-24,44.72164535522461
2016-10-25,44.97698211669922
2016-10-26,45.51859664916992
2016-10-27,45.10078048706055
2016-10-28,45.27873229980469
2016-10-31,46.20720291137695
2016-11-01,45.27873229980469
2016-11-02,44.86091995239258
2016-11-03,45.062095642089844
2016-11-04,44.65974426269531
2016-11-07,45.32515335083008
