,KR
2024-01-29,45.711734771728516
2024-01-30,45.829627990722656
2024-01-31,45.32859420776367
2024-02-01,45.88856887817383
2024-02-02,45.32859420776367
2024-02-05,45.18123245239258
2024-02-06,44.19881820678711
2024-02-07,43.83531951904297
2024-02-08,44.64090347290039
2024-02-09,44.61143112182617
2024-02-12,45.03386688232422
2024-02-13,44.76861572265625
2024-02-14,45.17398452758789
2024-02-15,46.34065628051758
2024-02-16,47.101959228515625
2024-02-20,47.4578971862793
2024-02-21,47.27004623413086
2024-02-22,47.299705505371094
2024-02-23,47.665523529052734
2024-02-26,46.726253509521484
2024-02-27,47.82371520996094
