,HLT
2022-04-27,155.56253051757812
2022-04-28,159.682861328125
2022-04-29,153.8094024658203
2022-05-02,153.92828369140625
2022-05-03,147.53976440429688
2022-05-04,149.94656372070312
2022-05-05,148.4608612060547
2022-05-06,142.11199951171875
2022-05-09,132.03897094726562
2022-05-10,136.47622680664062
2022-05-11,133.2274932861328
2022-05-12,131.1673583984375
2022-05-13,135.2876739501953
2022-05-16,131.58335876464844
2022-05-17,133.79208374023438
2022-05-18,127.43329620361328
2022-05-19,130.45423889160156
2022-05-20,129.03785705566406
2022-05-23,131.088134765625
2022-05-24,127.05693054199219
2022-05-25,130.48394775390625
2022-05-26,137.3061065673828
2022-05-27,141.05433654785156
2022-05-31,139.676025390625
2022-06-01,137.25653076171875
2022-06-02,141.09402465820312
2022-06-03,140.9750213623047
2022-06-06,143.20608520507812
2022-06-07,142.61114501953125
2022-06-08,139.5272674560547
2022-06-09,134.65853881835938
2022-06-10,126.39857482910156
2022-06-13,119.83421325683594
2022-06-14,118.13859558105469
2022-06-15,120.86547088623047
2022-06-16,114.4498519897461
2022-06-17,115.30261993408203
2022-06-21,113.47808837890625
2022-06-22,111.07842254638672
2022-06-23,109.59103393554688
2022-06-24,115.72901153564453
2022-06-27,116.04631805419922
2022-06-28,114.31104278564453
2022-06-29,112.10969543457031
2022-06-30,110.50331115722656
2022-07-01,112.04027557373047
2022-07-05,111.08834838867188
2022-07-06,108.8275146484375
2022-07-07,112.942626953125
2022-07-08,110.65204620361328
2022-07-11,110.65204620361328
2022-07-12,111.6932144165039
2022-07-13,113.16078186035156
2022-07-14,112.35758972167969
2022-07-15,115.36212158203125
2022-07-18,116.43303680419922
2022-07-19,120.3895034790039
2022-07-20,121.65873718261719
2022-07-21,120.94480895996094
2022-07-22,119.81438446044922
2022-07-25,121.1629409790039
2022-07-26,119.20951080322266
2022-07-27,128.16360473632812
2022-07-28,126.92411041259766
2022-07-29,126.99353790283203
2022-08-01,127.60832214355469
2022-08-02,127.5984115600586
2022-08-03,129.869140625
2022-08-04,129.94845581054688
2022-08-05,129.22462463378906
2022-08-08,129.6212615966797
2022-08-09,130.3450927734375
2022-08-10,132.53656005859375
2022-08-11,133.5579071044922
2022-08-12,136.28477478027344
2022-08-15,135.86831665039062
2022-08-16,137.8514862060547
2022-08-17,136.30462646484375
2022-08-18,137.6035614013672
2022-08-19,134.3412322998047
2022-08-22,130.47401428222656
2022-08-23,131.1681365966797
2022-08-24,132.1795654296875
2022-08-25,135.0882110595703
2022-08-26,130.1345977783203
2022-08-29,128.52638244628906
2022-08-30,125.90562438964844
2022-08-31,126.43177032470703
2022-09-01,126.73951721191406
2022-09-02,126.5608139038086
2022-09-06,125.9453353881836
2022-09-07,130.2239227294922
2022-09-08,132.00086975097656
2022-09-09,134.91946411132812
