,MKC
2021-09-16,80.77198791503906
2021-09-17,80.92208099365234
2021-09-20,80.34050750732422
2021-09-21,80.17166900634766
2021-09-22,80.04035186767578
2021-09-23,79.5244369506836
2021-09-24,79.30870819091797
2021-09-27,79.12108612060547
2021-09-28,78.09866333007812
2021-09-29,78.50201416015625
2021-09-30,76.00690460205078
2021-10-01,75.70675659179688
2021-10-04,75.68799591064453
2021-10-05,75.08766174316406
2021-10-06,75.30339813232422
2021-10-07,75.4441146850586
2021-10-08,74.70933532714844
2021-10-11,73.8709716796875
2021-10-12,73.56952667236328
2021-10-13,74.31370544433594
2021-10-14,75.604248046875
2021-10-15,75.01078796386719
2021-10-18,74.80354309082031
2021-10-19,75.24627685546875
2021-10-20,76.0093002319336
2021-10-21,75.65133666992188
2021-10-22,76.0469741821289
2021-10-25,75.99987030029297
2021-10-26,76.35782623291016
2021-10-27,75.80206298828125
2021-10-28,76.47086334228516
2021-10-29,75.57598876953125
2021-11-01,76.0093002319336
2021-11-02,76.64043426513672
2021-11-03,77.47879791259766
2021-11-04,76.59333801269531
2021-11-05,76.51795959472656
2021-11-08,75.66075897216797
2021-11-09,76.282470703125
2021-11-10,77.53531646728516
2021-11-11,76.73462677001953
2021-11-12,77.0172348022461
2021-11-15,77.89329528808594
2021-11-16,78.63746643066406
2021-11-17,79.0802001953125
2021-11-18,78.70339965820312
2021-11-19,79.09903717041016
2021-11-22,79.85263061523438
2021-11-23,80.45551300048828
2021-11-24,80.53085327148438
2021-11-26,80.57796478271484
2021-11-29,81.94385528564453
2021-11-30,80.84172058105469
