,DFS
2022-04-26,102.39993286132812
2022-04-27,100.17200469970703
2022-04-28,108.56880950927734
2022-04-29,105.27374267578125
2022-05-02,106.04134368896484
2022-05-03,108.1756591796875
2022-05-04,112.87488555908203
2022-05-05,108.06333923339844
2022-05-06,103.9164047241211
2022-05-09,100.41539764404297
2022-05-10,98.4870376586914
2022-05-11,97.944091796875
2022-05-12,94.8736801147461
2022-05-13,98.19683074951172
2022-05-16,96.41826629638672
2022-05-17,101.05193328857422
2022-05-18,98.3840560913086
2022-05-19,97.42923736572266
2022-05-20,97.18585205078125
2022-05-23,101.20172119140625
2022-05-24,97.74750518798828
2022-05-25,101.37232208251953
2022-05-26,104.3004150390625
2022-05-27,105.6373519897461
2022-05-31,106.85189819335938
2022-06-01,104.69585418701172
2022-06-02,106.17401885986328
2022-06-03,103.82965087890625
2022-06-06,104.50756072998047
2022-06-07,106.57887268066406
2022-06-08,103.9238052368164
2022-06-09,99.9223861694336
2022-06-10,92.39973449707031
2022-06-13,86.487060546875
2022-06-14,86.46821594238281
2022-06-15,89.1421127319336
2022-06-16,84.29334259033203
2022-06-17,88.89730834960938
2022-06-21,88.95381164550781
2022-06-22,88.52072143554688
2022-06-23,88.5960464477539
2022-06-24,93.3694839477539
2022-06-27,92.86106872558594
2022-06-28,91.61827850341797
2022-06-29,89.9988784790039
2022-06-30,89.0479736328125
2022-07-01,91.97605895996094
2022-07-05,92.23967742919922
2022-07-06,91.96664428710938
2022-07-07,93.84965515136719
2022-07-08,94.34866333007812
2022-07-11,93.68018341064453
2022-07-12,93.99089050292969
2022-07-13,93.83084106445312
2022-07-14,93.50129699707031
2022-07-15,97.9263916015625
2022-07-18,99.10328674316406
2022-07-19,102.4550552368164
2022-07-20,103.37773895263672
2022-07-21,94.15093994140625
2022-07-22,94.15093994140625
2022-07-25,94.16976928710938
2022-07-26,92.60685729980469
2022-07-27,94.42398071289062
2022-07-28,93.66136932373047
2022-07-29,95.09244537353516
2022-08-01,96.24109649658203
2022-08-02,94.30159759521484
2022-08-03,96.74950408935547
2022-08-04,96.3729019165039
2022-08-05,96.36349487304688
2022-08-08,96.86248779296875
2022-08-09,95.92096710205078
2022-08-10,101.66419219970703
2022-08-11,102.16319274902344
2022-08-12,103.1894302368164
2022-08-15,102.46448516845703
2022-08-16,104.008544921875
2022-08-17,102.17259216308594
2022-08-18,102.12553405761719
2022-08-19,100.65678405761719
2022-08-22,97.27674865722656
2022-08-23,98.52896118164062
2022-08-24,98.85091400146484
2022-08-25,100.73532104492188
2022-08-26,97.25059509277344
2022-08-29,95.6502685546875
2022-08-30,95.51770782470703
2022-08-31,95.15785217285156
2022-09-01,94.73172760009766
2022-09-02,94.2488021850586
2022-09-06,92.31703186035156
2022-09-07,94.63703918457031
2022-09-08,95.68815612792969
2022-09-09,97.08013916015625
2022-09-12,97.80928802490234
2022-09-13,93.28292083740234
2022-09-14,93.79426574707031
2022-09-15,95.55557250976562
2022-09-16,95.55557250976562
2022-09-19,96.74871063232422
2022-09-20,94.9684829711914
2022-09-21,92.6768798828125
2022-09-22,89.9307632446289
2022-09-23,88.75654602050781
2022-09-26,86.21874237060547
2022-09-27,86.17139434814453
2022-09-28,88.6145248413086
2022-09-29,86.56912994384766
2022-09-30,86.09566497802734
2022-10-03,88.90807342529297
2022-10-04,92.2318115234375
2022-10-05,91.55001831054688
2022-10-06,90.2621841430664
2022-10-07,88.4440689086914
2022-10-10,87.00472259521484
2022-10-11,86.06725311279297
2022-10-12,86.70169830322266
2022-10-13,89.09745025634766
2022-10-14,86.36079406738281
2022-10-17,87.85696411132812
2022-10-18,91.18071746826172
2022-10-19,88.47247314453125
2022-10-20,87.83802032470703
2022-10-21,89.65614318847656
2022-10-24,90.7735366821289
2022-10-25,94.66544342041016
2022-10-26,96.79606628417969
2022-10-27,97.35475158691406
2022-10-28,100.03458404541016
2022-10-31,98.91720581054688
2022-11-01,98.37744903564453
2022-11-02,95.66920471191406
2022-11-03,92.7810287475586
2022-11-04,94.55181121826172
2022-11-07,95.6502685546875
2022-11-08,97.04227447509766
2022-11-09,94.73172760009766
2022-11-10,102.57238006591797
2022-11-11,103.00798797607422
2022-11-14,100.30919647216797
2022-11-15,98.1312484741211
2022-11-16,100.48912811279297
2022-11-17,101.36031341552734
2022-11-18,101.5686264038086
2022-11-21,102.40193176269531
2022-11-22,103.03993225097656
2022-11-23,103.46842956542969
2022-11-25,103.53508758544922
2022-11-28,101.74490356445312
