,ESS
2016-01-20,169.37417602539062
2016-01-21,166.74838256835938
2016-01-22,169.65328979492188
2016-01-25,168.34043884277344
2016-01-26,170.76242065429688
2016-01-27,166.32589721679688
2016-01-28,159.0372314453125
2016-01-29,160.79527282714844
2016-02-01,161.640380859375
2016-02-02,157.18118286132812
2016-02-03,158.7354278564453
2016-02-04,159.14288330078125
2016-02-05,152.789794921875
2016-02-08,149.52279663085938
2016-02-09,145.99163818359375
2016-02-10,148.48155212402344
2016-02-11,145.06356811523438
2016-02-12,147.5384063720703
2016-02-16,149.86988830566406
2016-02-17,152.088134765625
2016-02-18,152.4352264404297
2016-02-19,156.27569580078125
2016-02-22,158.09413146972656
2016-02-23,157.8224639892578
2016-02-24,156.50205993652344
2016-02-25,159.20323181152344
2016-02-26,158.4336395263672
2016-02-29,157.9054718017578
2016-03-01,163.4209747314453
2016-03-02,164.48486328125
2016-03-03,166.7861785888672
2016-03-04,167.87261962890625
2016-03-07,168.38571166992188
2016-03-08,167.45013427734375
2016-03-09,167.68399047851562
2016-03-10,166.49942016601562
2016-03-11,169.33639526367188
2016-03-14,166.8313751220703
2016-03-15,166.98983764648438
2016-03-16,167.5179901123047
2016-03-17,170.80770874023438
2016-03-18,170.57382202148438
2016-03-21,170.7095947265625
2016-03-22,172.39219665527344
2016-03-23,172.41482543945312
2016-03-24,170.67947387695312
2016-03-28,172.2338104248047
2016-03-29,177.55264282226562
2016-03-30,176.54965209960938
2016-03-31,177.69700622558594
2016-04-01,176.90679931640625
2016-04-04,177.64382934570312
2016-04-05,176.17733764648438
2016-04-06,176.587646484375
2016-04-07,175.21994018554688
2016-04-08,175.85060119628906
2016-04-11,172.59091186523438
2016-04-12,173.73828125
2016-04-13,169.4071807861328
2016-04-14,166.32217407226562
2016-04-15,170.8660125732422
2016-04-18,172.0589599609375
2016-04-19,174.20936584472656
2016-04-20,169.3007354736328
2016-04-21,168.91323852539062
2016-04-22,170.592529296875
2016-04-25,172.83401489257812
2016-04-26,171.29153442382812
2016-04-27,170.69888305664062
2016-04-28,170.4557647705078
2016-04-29,167.50753784179688
2016-05-02,169.39193725585938
2016-05-03,169.84024047851562
2016-05-04,171.65626525878906
2016-05-05,173.90542602539062
2016-05-06,176.40533447265625
2016-05-09,177.43109130859375
2016-05-10,179.40667724609375
2016-05-11,175.21994018554688
2016-05-12,174.7108612060547
2016-05-13,173.05435180664062
2016-05-16,174.37655639648438
2016-05-17,170.417724609375
2016-05-18,169.84024047851562
2016-05-19,168.16859436035156
2016-05-20,169.31594848632812
2016-05-23,168.814453125
2016-05-24,169.8174591064453
2016-05-25,171.72463989257812
2016-05-26,172.54530334472656
2016-05-27,172.40855407714844
2016-05-31,172.65931701660156
2016-06-01,166.35252380371094
2016-06-02,165.68389892578125
2016-06-03,162.029052734375
2016-06-06,159.567138671875
2016-06-07,158.9593048095703
2016-06-08,158.95172119140625
2016-06-09,159.0048828125
2016-06-10,159.065673828125
2016-06-13,160.6005401611328
2016-06-14,161.29202270507812
2016-06-15,164.4149627685547
2016-06-16,165.24319458007812
2016-06-17,165.67628479003906
2016-06-20,166.13218688964844
2016-06-21,167.0744171142578
2016-06-22,167.332763671875
2016-06-23,165.9878387451172
2016-06-24,164.81008911132812
2016-06-27,166.06382751464844
2016-06-28,170.8707733154297
2016-06-29,171.8582763671875
2016-06-30,174.59088134765625
2016-07-01,175.01959228515625
2016-07-05,176.9791259765625
2016-07-06,176.09884643554688
2016-07-07,175.10374450683594
2016-07-08,177.0709991455078
2016-07-11,177.0709991455078
2016-07-12,177.6373748779297
2016-07-13,179.313720703125
2016-07-14,175.70082092285156
2016-07-15,173.45037841796875
2016-07-18,172.7079315185547
2016-07-19,173.44276428222656
2016-07-20,173.259033203125
2016-07-21,173.32789611816406
2016-07-22,173.74888610839844
2016-07-25,173.2973175048828
2016-07-26,170.4881134033203
2016-07-27,167.48756408691406
2016-07-28,168.85003662109375
2016-07-29,179.02284240722656
2016-08-01,179.5893096923828
2016-08-02,177.20875549316406
2016-08-03,176.382080078125
2016-08-04,175.6778564453125
2016-08-05,176.5198516845703
2016-08-08,178.50234985351562
2016-08-09,178.80087280273438
2016-08-10,178.1272735595703
2016-08-11,175.04254150390625
2016-08-12,175.60897827148438
2016-08-15,177.31590270996094
2016-08-16,176.12948608398438
2016-08-17,174.54498291015625
2016-08-18,174.20819091796875
2016-08-19,171.9042510986328
2016-08-22,171.47555541992188
2016-08-23,171.47555541992188
2016-08-24,170.83255004882812
2016-08-25,172.62368774414062
2016-08-26,169.94464111328125
2016-08-29,172.53189086914062
2016-08-30,172.79977416992188
2016-08-31,173.83311462402344
2016-09-01,173.64939880371094
2016-09-02,172.90695190429688
2016-09-06,176.04525756835938
2016-09-07,175.9916534423828
2016-09-08,173.62643432617188
2016-09-09,168.37548828125
2016-09-12,172.24098205566406
2016-09-13,167.63302612304688
2016-09-14,169.17926025390625
2016-09-15,169.8987579345703
2016-09-16,169.9063720703125
2016-09-19,172.24864196777344
2016-09-20,173.0218048095703
2016-09-21,176.22898864746094
2016-09-22,176.95616149902344
2016-09-23,176.75714111328125
2016-09-26,176.71121215820312
2016-09-27,174.6827850341797
2016-09-28,175.29945373535156
2016-09-29,173.9273681640625
2016-09-30,171.66876220703125
2016-10-03,167.96865844726562
2016-10-04,167.76051330566406
2016-10-05,164.43812561035156
2016-10-06,163.78294372558594
2016-10-07,163.62876892089844
2016-10-10,163.66729736328125
2016-10-11,162.08705139160156
2016-10-12,163.1431427001953
2016-10-13,160.77662658691406
2016-10-14,160.89219665527344
2016-10-17,159.77452087402344
2016-10-18,160.10598754882812
2016-10-19,160.77662658691406
2016-10-20,159.95179748535156
2016-10-21,159.31199645996094
2016-10-24,158.2944793701172
2016-10-25,157.73171997070312
2016-10-26,159.93637084960938
2016-10-27,158.67994689941406
2016-10-28,161.30850219726562
2016-10-31,165.0316925048828
2016-11-01,164.41497802734375
2016-11-02,166.0646514892578
2016-11-03,168.31553649902344
2016-11-04,169.68759155273438
2016-11-07,169.61058044433594
2016-11-08,171.6918487548828
2016-11-09,167.1053009033203
2016-11-10,164.5075225830078
2016-11-11,165.98757934570312
2016-11-14,169.718505859375
2016-11-15,165.5713348388672
2016-11-16,165.93360900878906
2016-11-17,163.95248413085938
2016-11-18,164.15292358398438
2016-11-21,162.12557983398438
2016-11-22,165.17816162109375
2016-11-23,163.11231994628906
2016-11-25,164.0604705810547
2016-11-28,166.0106964111328
2016-11-29,166.4038543701172
2016-11-30,166.44236755371094
2016-12-01,163.5979461669922
2016-12-02,165.3477783203125
2016-12-05,164.9468994140625
2016-12-06,165.0933837890625
2016-12-07,167.78367614746094
2016-12-08,168.9861602783203
2016-12-09,168.62388610839844
2016-12-12,168.77037048339844
2016-12-13,168.81658935546875
2016-12-14,169.41014099121094
2016-12-15,170.72833251953125
2016-12-16,174.9833984375
2016-12-19,176.50970458984375
2016-12-20,176.995361328125
2016-12-21,175.4304656982422
2016-12-22,176.97991943359375
2016-12-23,177.81240844726562
2016-12-27,176.7486572265625
2016-12-28,176.6399688720703
2016-12-29,178.16920471191406
2016-12-30,180.48251342773438
2017-01-03,177.95962524414062
2017-01-04,179.34140014648438
2017-01-05,180.68429565429688
2017-01-06,181.44508361816406
2017-01-09,179.1085205078125
2017-01-10,178.6194610595703
2017-01-11,176.1121368408203
2017-01-12,177.3230438232422
2017-01-13,176.98931884765625
2017-01-17,178.21578979492188
2017-01-18,176.9116668701172
2017-01-19,175.9569091796875
2017-01-20,177.40847778320312
2017-01-23,179.4034881591797
2017-01-24,175.9878692626953
2017-01-25,175.32034301757812
2017-01-26,174.9554901123047
2017-01-27,174.978759765625
2017-01-30,173.29428100585938
2017-01-31,174.11709594726562
2017-02-01,172.11431884765625
2017-02-02,175.70068359375
2017-02-03,173.17005920410156
2017-02-06,173.23992919921875
2017-02-07,173.85317993164062
2017-02-08,177.0436553955078
2017-02-09,175.8636932373047
2017-02-10,177.28427124023438
2017-02-13,175.9878692626953
2017-02-14,175.45233154296875
2017-02-15,174.9943084716797
2017-02-16,176.89614868164062
2017-02-17,177.06692504882812
2017-02-21,179.2948455810547
2017-02-22,178.15371704101562
2017-02-23,179.76834106445312
2017-02-24,180.36607360839844
2017-02-27,181.89532470703125
2017-02-28,182.1903076171875
2017-03-01,180.57566833496094
2017-03-02,179.89251708984375
2017-03-03,178.96876525878906
2017-03-06,179.64414978027344
2017-03-07,181.41403198242188
2017-03-08,179.01535034179688
2017-03-09,175.38241577148438
2017-03-10,174.0782928466797
2017-03-13,173.9152374267578
2017-03-14,174.7458953857422
2017-03-15,180.19525146484375
2017-03-16,180.839599609375
2017-03-17,180.98712158203125
2017-03-20,180.95602416992188
2017-03-21,181.3363800048828
2017-03-22,182.663818359375
2017-03-23,183.7971954345703
2017-03-24,183.7040252685547
2017-03-27,181.22772216796875
2017-03-28,180.87062072753906
2017-03-29,181.45724487304688
2017-03-30,181.90304565429688
2017-03-31,181.08966064453125
2017-04-03,180.57339477539062
2017-04-04,180.6516571044922
2017-04-05,180.9644775390625
2017-04-06,181.63717651367188
2017-04-07,182.56788635253906
2017-04-10,184.01483154296875
