,UHS
2015-11-06,121.04927825927734
2015-11-09,119.68355560302734
2015-11-10,120.31832885742188
2015-11-11,116.19229888916016
2015-11-12,113.12423706054688
2015-11-13,115.18243408203125
2015-11-16,115.6344985961914
2015-11-17,117.97161102294922
2015-11-18,119.68355560302734
2015-11-19,114.5284194946289
2015-11-20,117.81769561767578
2015-11-23,118.68330383300781
2015-11-24,119.55850982666016
2015-11-25,119.01994323730469
2015-11-27,119.92472076416016
2015-11-30,116.96968078613281
2015-12-01,120.63703155517578
2015-12-02,118.3365249633789
2015-12-03,113.73548126220703
2015-12-04,114.9771957397461
2015-12-07,112.70555877685547
2015-12-08,115.77615356445312
2015-12-09,114.30342102050781
2015-12-10,116.57505798339844
2015-12-11,115.01570129394531
2015-12-14,111.81040954589844
2015-12-15,113.8798828125
2015-12-16,112.37828826904297
2015-12-17,111.77188873291016
2015-12-18,110.65533447265625
2015-12-21,114.67882537841797
2015-12-22,113.36009979248047
2015-12-23,116.56542205810547
2015-12-24,116.12263488769531
2015-12-28,114.88094329833984
2015-12-29,116.85417175292969
2015-12-30,115.52584838867188
2015-12-31,115.01570129394531
2016-01-04,113.50448608398438
2016-01-05,113.9953842163086
2016-01-06,111.36759948730469
2016-01-07,108.67247009277344
2016-01-08,108.17191314697266
2016-01-11,110.1740493774414
2016-01-12,108.09492492675781
2016-01-13,105.01473999023438
2016-01-14,107.01685333251953
2016-01-15,105.08213806152344
2016-01-19,103.34954833984375
2016-01-20,103.36876678466797
2016-01-21,102.94527435302734
2016-01-22,103.4939193725586
2016-01-25,104.39871215820312
2016-01-26,107.70991516113281
2016-01-27,106.92060852050781
2016-01-28,103.97518157958984
2016-01-29,108.42219543457031
2016-02-01,110.76121520996094
2016-02-02,107.90240478515625
2016-02-03,107.40189361572266
2016-02-04,107.66175842285156
2016-02-05,104.9570083618164
2016-02-08,100.55812072753906
2016-02-09,101.56879425048828
2016-02-10,104.90885162353516
2016-02-11,97.84371185302734
