,ADI
2020-04-01,77.16267395019531
2020-04-02,80.47528076171875
2020-04-03,79.42919921875
2020-04-06,87.90798950195312
2020-04-07,88.32093048095703
2020-04-08,93.04668426513672
2020-04-09,90.65167999267578
2020-04-13,91.45919036865234
2020-04-14,94.53321838378906
2020-04-15,92.17491912841797
2020-04-16,93.44124603271484
2020-04-17,94.33133697509766
2020-04-20,92.59703826904297
2020-04-21,88.52281188964844
2020-04-22,93.70735931396484
2020-04-23,93.42289733886719
2020-04-24,97.19432067871094
2020-04-27,99.1304931640625
2020-04-28,98.7451171875
2020-04-29,104.00304412841797
2020-04-30,100.5711669921875
2020-05-01,95.10213470458984
2020-05-04,94.88191986083984
2020-05-05,97.21267700195312
2020-05-06,96.57951354980469
2020-05-07,97.5888671875
2020-05-08,100.78221130371094
2020-05-11,99.48834991455078
2020-05-12,97.81830596923828
2020-05-13,95.24897003173828
2020-05-14,96.79973602294922
2020-05-15,93.41374206542969
2020-05-18,99.41495513916016
2020-05-19,97.5705337524414
2020-05-20,105.13174438476562
2020-05-21,101.86499786376953
2020-05-22,101.910888671875
2020-05-26,103.41578674316406
2020-05-27,105.23267364501953
2020-05-28,102.3725814819336
2020-05-29,104.20857238769531
2020-06-01,104.05171966552734
2020-06-02,107.7606201171875
2020-06-03,112.20759582519531
2020-06-04,112.90874481201172
2020-06-05,114.94772338867188
2020-06-08,114.13583374023438
2020-06-09,113.84059143066406
2020-06-10,113.37005615234375
2020-06-11,106.69963073730469
2020-06-12,109.24600982666016
2020-06-15,109.32903289794922
2020-06-16,113.19479370117188
2020-06-17,113.04715728759766
2020-06-18,113.30548095703125
2020-06-19,110.8790283203125
2020-06-22,111.17426300048828
2020-06-23,113.7114486694336
2020-06-24,110.22399139404297
2020-06-25,110.80521392822266
2020-06-26,108.74778747558594
2020-06-29,109.79035186767578
2020-06-30,113.14863586425781
2020-07-01,111.05432891845703
2020-07-02,111.85698699951172
2020-07-06,114.05280303955078
2020-07-07,113.13019561767578
2020-07-08,113.35160827636719
2020-07-09,114.57868957519531
2020-07-10,114.86467742919922
2020-07-13,108.17578887939453
2020-07-14,108.87696075439453
2020-07-15,108.77548217773438
2020-07-16,107.00408172607422
2020-07-17,107.71448516845703
2020-07-20,108.00048828125
2020-07-21,105.71243286132812
2020-07-22,105.06658172607422
2020-07-23,103.2767333984375
2020-07-24,103.52584075927734
2020-07-27,106.83800506591797
2020-07-28,106.49663543701172
2020-07-29,108.43411254882812
2020-07-30,107.29930877685547
2020-07-31,105.96151733398438
2020-08-03,107.54843139648438
2020-08-04,108.1112060546875
2020-08-05,107.17937469482422
2020-08-06,107.70526123046875
2020-08-07,107.31775665283203
2020-08-10,107.72372436523438
2020-08-11,107.53919982910156
2020-08-12,109.99332427978516
2020-08-13,108.96923065185547
2020-08-14,108.1112060546875
2020-08-17,108.35107421875
2020-08-18,108.75701904296875
2020-08-19,109.00613403320312
2020-08-20,108.36029052734375
2020-08-21,107.04096984863281
2020-08-24,108.15733337402344
2020-08-25,110.62069702148438
2020-08-26,111.1834945678711
2020-08-27,110.39521026611328
2020-08-28,110.89599609375
2020-08-31,108.39205932617188
2020-09-01,110.13555145263672
2020-09-02,112.98258972167969
2020-09-03,108.61463165283203
2020-09-04,108.91141510009766
2020-09-08,104.72891235351562
2020-09-09,107.07520294189453
2020-09-10,105.97160339355469
2020-09-11,105.53575134277344
2020-09-14,106.29619598388672
2020-09-15,107.63162994384766
2020-09-16,107.16793060302734
2020-09-17,107.10301971435547
2020-09-18,106.56513977050781
2020-09-21,105.65630340576172
2020-09-22,106.3703842163086
2020-09-23,104.33016967773438
2020-09-24,104.4970703125
2020-09-25,105.23900604248047
2020-09-28,108.55897521972656
2020-09-29,108.17877960205078
2020-09-30,108.2622299194336
2020-10-01,110.3488540649414
2020-10-02,105.73049926757812
2020-10-05,108.13241577148438
2020-10-06,107.1493911743164
2020-10-07,110.05207824707031
2020-10-08,111.6008071899414
2020-10-09,114.37367248535156
2020-10-12,116.95177459716797
2020-10-13,114.6147689819336
2020-10-14,114.10472869873047
2020-10-15,114.97647094726562
2020-10-16,114.6611557006836
2020-10-19,113.70597076416016
2020-10-20,114.64261627197266
2020-10-21,115.69982147216797
2020-10-22,115.69055938720703
2020-10-23,115.18048858642578
2020-10-26,112.33345794677734
2020-10-27,111.554443359375
2020-10-28,108.0118408203125
2020-10-29,109.8758773803711
2020-10-30,109.92225646972656
2020-11-02,109.8758773803711
2020-11-03,111.05365753173828
2020-11-04,116.79412078857422
2020-11-05,120.93024444580078
2020-11-06,123.80511474609375
2020-11-09,125.95662689208984
2020-11-10,124.99217224121094
2020-11-11,127.40335845947266
2020-11-12,125.64132690429688
2020-11-13,126.37393951416016
2020-11-16,127.98758697509766
2020-11-17,126.00301361083984
2020-11-18,123.55469512939453
2020-11-19,126.28117370605469
2020-11-20,125.08488464355469
2020-11-23,127.1158676147461
2020-11-24,126.94892883300781
2020-11-25,126.07719421386719
2020-11-27,127.74646759033203
2020-11-30,128.97991943359375
2020-12-01,130.5100860595703
2020-12-02,130.44515991210938
2020-12-03,130.17501831054688
2020-12-04,134.1058807373047
2020-12-07,133.8636932373047
2020-12-08,136.11790466308594
2020-12-09,132.06593322753906
2020-12-10,131.60018920898438
2020-12-11,131.4791259765625
2020-12-14,132.5782470703125
2020-12-15,134.18971252441406
2020-12-16,133.01602172851562
2020-12-17,133.92889404296875
2020-12-18,134.6554718017578
2020-12-21,132.82040405273438
2020-12-22,134.39463806152344
2020-12-23,133.40725708007812
2020-12-24,134.57162475585938
2020-12-28,134.76724243164062
2020-12-29,133.817138671875
2020-12-30,136.16444396972656
2020-12-31,137.60826110839844
2021-01-04,136.0154266357422
2021-01-05,138.4466094970703
2021-01-06,139.0707244873047
2021-01-07,144.94837951660156
2021-01-08,146.00094604492188
2021-01-11,147.4541015625
2021-01-12,148.1898956298828
2021-01-13,147.62168884277344
2021-01-14,148.53460693359375
2021-01-15,146.94174194335938
2021-01-19,149.5405731201172
2021-01-20,148.87921142578125
2021-01-21,148.37620544433594
2021-01-22,144.92044067382812
2021-01-25,143.18788146972656
2021-01-26,144.32427978515625
2021-01-27,137.3753662109375
2021-01-28,138.9868621826172
2021-01-29,137.23565673828125
2021-02-01,141.47389221191406
2021-02-02,141.464599609375
2021-02-03,137.46853637695312
2021-02-04,140.20709228515625
2021-02-05,138.56765747070312
