,JNJ
2022-08-01,161.47418212890625
2022-08-02,160.5550079345703
2022-08-03,162.10562133789062
2022-08-04,159.50582885742188
2022-08-05,158.8744354248047
2022-08-08,158.02951049804688
2022-08-09,158.0109405517578
2022-08-10,158.46591186523438
2022-08-11,155.18832397460938
2022-08-12,153.4799346923828
2022-08-15,154.21339416503906
2022-08-16,155.5876007080078
2022-08-17,155.59686279296875
2022-08-18,154.84481811523438
2022-08-19,157.20315551757812
2022-08-22,156.6516571044922
2022-08-23,155.28697204589844
2022-08-24,154.77285766601562
2022-08-25,156.22169494628906
2022-08-26,153.54837036132812
2022-08-29,152.3612518310547
2022-08-30,151.8284454345703
2022-08-31,150.80960083007812
2022-09-01,154.54852294921875
2022-09-02,152.11825561523438
2022-09-06,152.5294952392578
2022-09-07,153.3614501953125
2022-09-08,154.59527587890625
2022-09-09,154.89437866210938
2022-09-12,154.82894897460938
2022-09-13,150.80026245117188
2022-09-14,153.91293334960938
2022-09-15,154.30551147460938
2022-09-16,156.66102600097656
2022-09-19,155.42718505859375
2022-09-20,154.2026824951172
2022-09-21,152.62298583984375
2022-09-22,155.3336944580078
2022-09-23,155.83847045898438
2022-09-26,154.885009765625
2022-09-27,154.17462158203125
2022-09-28,155.501953125
2022-09-29,153.79136657714844
2022-09-30,152.69773864746094
2022-10-03,152.5481719970703
2022-10-04,154.8102264404297
2022-10-05,154.33352661132812
2022-10-06,151.34239196777344
2022-10-07,149.7440185546875
2022-10-10,149.9403076171875
2022-10-11,152.10888671875
2022-10-12,152.0714874267578
2022-10-13,154.37091064453125
2022-10-14,153.7259521484375
2022-10-17,155.71693420410156
2022-10-18,155.1748046875
2022-10-19,153.94094848632812
2022-10-20,154.33352661132812
2022-10-21,157.69857788085938
2022-10-24,159.82041931152344
2022-10-25,159.5680694580078
2022-10-26,160.9701385498047
2022-10-27,161.06362915039062
2022-10-28,163.45652770996094
2022-10-31,162.61526489257812
2022-11-01,161.79269409179688
2022-11-02,159.3063201904297
2022-11-03,159.57737731933594
2022-11-04,160.2877655029297
2022-11-07,161.6898651123047
2022-11-08,162.49374389648438
2022-11-09,161.1944580078125
2022-11-10,163.08261108398438
2022-11-11,158.2033233642578
2022-11-14,160.68971252441406
2022-11-15,161.13839721679688
2022-11-16,162.13856506347656
2022-11-17,163.44715881347656
2022-11-18,164.69970703125
2022-11-21,165.54638671875
2022-11-22,166.3460693359375
2022-11-23,166.52479553222656
2022-11-25,166.7411651611328
2022-11-28,166.8258514404297
2022-11-29,165.65927124023438
2022-11-30,167.45614624023438
2022-12-01,168.15232849121094
2022-12-02,168.28402709960938
2022-12-05,168.18995666503906
2022-12-06,165.66873168945312
2022-12-07,166.6753387451172
2022-12-08,166.70352172851562
2022-12-09,165.33001708984375
2022-12-12,167.30560302734375
2022-12-13,168.594482421875
2022-12-14,169.11190795898438
2022-12-15,166.97634887695312
2022-12-16,165.26416015625
2022-12-19,165.0854034423828
2022-12-20,165.26416015625
2022-12-21,167.15512084960938
2022-12-22,166.54360961914062
2022-12-23,166.96694946289062
2022-12-27,166.91989135742188
2022-12-28,166.19554138183594
2022-12-29,167.0421905517578
