,COO
2021-08-12,109.99300384521484
2021-08-13,109.21076202392578
2021-08-16,109.84806060791016
2021-08-17,109.61064147949219
2021-08-18,108.11613464355469
2021-08-19,110.47284698486328
2021-08-20,111.00767517089844
2021-08-23,111.17261505126953
2021-08-24,111.90986633300781
2021-08-25,111.64744567871094
2021-08-26,111.48001098632812
2021-08-27,111.60746765136719
2021-08-30,112.30723571777344
2021-08-31,112.63961791992188
2021-09-01,112.70459747314453
2021-09-02,112.55464172363281
2021-09-03,113.94168853759766
2021-09-07,111.91986083984375
2021-09-08,113.46683502197266
2021-09-09,111.9973373413086
2021-09-10,112.80206298828125
2021-09-13,110.10547637939453
2021-09-14,110.33039093017578
2021-09-15,111.22010040283203
2021-09-16,110.65028381347656
2021-09-17,109.11329650878906
2021-09-20,107.4388656616211
2021-09-21,106.6516342163086
2021-09-22,108.4035415649414
2021-09-23,109.79808044433594
2021-09-24,109.80807495117188
2021-09-27,107.83373260498047
2021-09-28,105.96437072753906
2021-09-29,105.53950500488281
2021-09-30,103.29275512695312
2021-10-01,104.1849594116211
2021-10-04,102.11065673828125
2021-10-05,103.70512390136719
2021-10-06,103.62516021728516
2021-10-07,103.68512725830078
2021-10-08,102.61299133300781
2021-10-11,100.9660415649414
2021-10-12,100.42622375488281
2021-10-13,100.24128723144531
2021-10-14,100.29127502441406
2021-10-15,99.54402160644531
2021-10-18,99.14166259765625
2021-10-19,100.51619720458984
2021-10-20,102.61549377441406
2021-10-21,102.85540771484375
2021-10-22,104.21995544433594
2021-10-25,103.70262908935547
2021-10-26,104.09999084472656
2021-10-27,102.952880859375
2021-10-28,104.14997863769531
2021-10-29,104.19496154785156
2021-11-01,105.44953918457031
2021-11-02,105.12464904785156
2021-11-03,105.594482421875
2021-11-04,105.12964630126953
2021-11-05,106.01934814453125
