,CHRW
2018-08-08,81.7451171875
2018-08-09,80.6219253540039
2018-08-10,80.74958038330078
2018-08-13,79.93272399902344
2018-08-14,79.95823669433594
2018-08-15,80.46879577636719
2018-08-16,82.02591705322266
2018-08-17,82.65558624267578
2018-08-20,82.85128021240234
2018-08-21,82.71516418457031
2018-08-22,82.76618957519531
2018-08-23,82.02591705322266
2018-08-24,82.11100006103516
2018-08-27,82.37480163574219
2018-08-28,81.95783996582031
2018-08-29,81.7451171875
2018-08-30,81.32820129394531
2018-08-31,81.7536392211914
2018-09-04,81.76213836669922
2018-09-05,82.17057037353516
2018-09-06,83.10245513916016
2018-09-07,82.45270538330078
2018-09-10,85.65027618408203
2018-09-11,85.2057113647461
2018-09-12,84.73546600341797
2018-09-13,84.23957061767578
2018-09-14,85.57331085205078
2018-09-17,82.68354034423828
2018-09-18,83.09393310546875
2018-09-19,82.81181335449219
2018-09-20,82.38431549072266
2018-09-21,83.4188003540039
2018-09-24,82.38431549072266
2018-09-25,82.23898315429688
2018-09-26,83.12814331054688
2018-09-27,83.26494598388672
2018-09-28,83.71803283691406
2018-10-01,83.64965057373047
2018-10-02,82.97423553466797
2018-10-03,83.72659301757812
2018-10-04,83.3931655883789
2018-10-05,83.17086791992188
2018-10-08,83.5812759399414
2018-10-09,82.29025268554688
2018-10-10,79.12689971923828
2018-10-11,77.89576721191406
2018-10-12,78.38307189941406
2018-10-15,79.5201644897461
2018-10-16,80.5375747680664
2018-10-17,80.093017578125
2018-10-18,79.80232238769531
2018-10-19,77.6820068359375
2018-10-22,78.34889221191406
2018-10-23,75.57880401611328
2018-10-24,73.77484130859375
2018-10-25,74.73237609863281
2018-10-26,73.68934631347656
2018-10-29,74.43314361572266
2018-10-30,75.48475646972656
2018-10-31,76.11741638183594
2018-11-01,77.71619415283203
2018-11-02,75.83528900146484
2018-11-05,75.34794616699219
2018-11-06,75.9464340209961
2018-11-07,77.69056701660156
2018-11-08,78.1180419921875
2018-11-09,76.61328887939453
2018-11-12,75.36503601074219
2018-11-13,75.39924621582031
2018-11-14,76.94674682617188
2018-11-15,78.02400207519531
2018-11-16,77.63069915771484
2018-11-19,77.43407440185547
2018-11-20,75.27101135253906
2018-11-21,76.2969741821289
2018-11-23,76.28841400146484
2018-11-26,77.54521942138672
2018-11-27,77.82735443115234
2018-11-28,78.56261444091797
2018-11-29,78.44291687011719
2018-11-30,78.93881225585938
2018-12-03,78.20350646972656
2018-12-04,75.98062133789062
2018-12-06,76.98947143554688
2018-12-07,74.97179412841797
2018-12-10,75.08293151855469
2018-12-11,75.2966537475586
2018-12-12,75.33941650390625
2018-12-13,72.52657318115234
2018-12-14,72.80179595947266
2018-12-17,72.9651870727539
2018-12-18,73.08560943603516
2018-12-19,72.1395492553711
2018-12-20,71.03011322021484
2018-12-21,69.55087280273438
2018-12-24,67.99418640136719
2018-12-26,70.71192932128906
2018-12-27,71.66654205322266
2018-12-28,71.5633316040039
2018-12-31,72.32017517089844
2019-01-02,71.36553192138672
2019-01-03,68.73384857177734
2019-01-04,71.1161117553711
2019-01-07,71.46014404296875
2019-01-08,72.03636169433594
2019-01-09,72.86199188232422
2019-01-10,73.48121643066406
2019-01-11,73.64462280273438
2019-01-14,73.8338394165039
2019-01-15,73.30062103271484
2019-01-16,73.12000274658203
2019-01-17,73.99722290039062
2019-01-18,76.25910949707031
2019-01-22,74.77987670898438
2019-01-23,74.8056640625
2019-01-24,74.42724609375
2019-01-25,74.86585998535156
2019-01-28,74.62505340576172
2019-01-29,74.4874496459961
2019-01-30,74.59066009521484
2019-01-31,74.62505340576172
2019-02-01,75.44209289550781
2019-02-04,76.21612548828125
2019-02-05,77.16214752197266
2019-02-06,78.08238983154297
2019-02-07,77.71259307861328
2019-02-08,77.71259307861328
2019-02-11,77.48036193847656
2019-02-12,78.2716064453125
2019-02-13,78.17698669433594
2019-02-14,78.0049819946289
2019-02-15,78.64999389648438
2019-02-19,79.08000946044922
2019-02-20,79.14024353027344
