,AMP
2018-02-26,141.42135620117188
2018-02-27,139.19967651367188
2018-02-28,136.29840087890625
2018-03-01,133.87637329101562
2018-03-02,131.4804229736328
2018-03-05,135.583984375
2018-03-06,135.54046630859375
2018-03-07,135.68858337402344
2018-03-08,136.2722930908203
2018-03-09,140.36715698242188
2018-03-12,139.2955322265625
2018-03-13,138.45040893554688
2018-03-14,136.79501342773438
2018-03-15,135.38360595703125
2018-03-16,136.87344360351562
2018-03-19,135.9499053955078
2018-03-20,136.90829467773438
2018-03-21,137.53558349609375
2018-03-22,131.61106872558594
2018-03-23,126.2354965209961
2018-03-26,130.2954864501953
2018-03-27,128.34390258789062
2018-03-28,128.03897094726562
2018-03-29,128.8927764892578
2018-04-02,124.30130004882812
2018-04-03,126.06993865966797
2018-04-04,126.94119262695312
2018-04-05,127.17646026611328
2018-04-06,123.11636352539062
2018-04-09,123.17738342285156
2018-04-10,125.71273040771484
2018-04-11,123.16866302490234
2018-04-12,125.05057525634766
2018-04-13,123.39521789550781
2018-04-16,125.10279846191406
2018-04-17,125.52104949951172
2018-04-18,126.00023651123047
2018-04-19,126.83663940429688
2018-04-20,125.18997955322266
2018-04-23,126.75821685791016
2018-04-24,124.29258728027344
2018-04-25,123.2296371459961
2018-04-26,123.8743896484375
2018-04-27,123.49105834960938
2018-04-30,122.15802764892578
2018-05-01,121.14736938476562
2018-05-02,115.86759948730469
2018-05-03,114.56074523925781
2018-05-04,118.05216217041016
2018-05-07,117.639892578125
2018-05-08,117.8240966796875
2018-05-09,117.76272583007812
2018-05-10,118.87682342529297
2018-05-11,120.24533081054688
2018-05-14,121.90336608886719
2018-05-15,121.20154571533203
2018-05-16,122.73675537109375
2018-05-17,124.08769226074219
2018-05-18,123.70172882080078
2018-05-21,125.00005340576172
2018-05-22,126.5352554321289
2018-05-23,124.71934509277344
2018-05-24,125.11410522460938
2018-05-25,124.77195739746094
2018-05-29,119.54352569580078
2018-05-30,122.38583374023438
2018-05-31,121.61383819580078
2018-06-01,123.03500366210938
2018-06-04,123.07886505126953
2018-06-05,122.51744842529297
2018-06-06,124.57020568847656
2018-06-07,124.63162231445312
2018-06-08,125.12289428710938
2018-06-11,129.36001586914062
2018-06-12,128.84242248535156
2018-06-13,128.21958923339844
2018-06-14,129.5266876220703
2018-06-15,129.2459716796875
2018-06-18,130.49168395996094
2018-06-19,130.096923828125
2018-06-20,128.91256713867188
2018-06-21,128.47396850585938
2018-06-22,128.39501953125
2018-06-25,127.00015258789062
2018-06-26,124.33332061767578
2018-06-27,121.3769760131836
2018-06-28,121.49103546142578
2018-06-29,122.71038818359375
2018-07-02,123.57886505126953
2018-07-03,122.14895629882812
2018-07-05,123.66665649414062
2018-07-06,124.28945922851562
2018-07-09,127.86868286132812
2018-07-10,127.05282592773438
2018-07-11,125.35096740722656
2018-07-12,124.80705261230469
2018-07-13,124.57897186279297
2018-07-16,124.78073120117188
2018-07-17,125.4123764038086
2018-07-18,127.38616180419922
2018-07-19,123.92981719970703
2018-07-20,122.40338134765625
2018-07-23,125.46501922607422
2018-07-24,124.97371673583984
2018-07-25,127.42124938964844
2018-07-26,130.2109375
2018-07-27,130.49168395996094
2018-07-30,128.93016052246094
2018-07-31,127.78968811035156
2018-08-01,125.34217834472656
2018-08-02,123.01744842529297
2018-08-03,124.3683090209961
2018-08-06,124.0063247680664
2018-08-07,124.2888412475586
2018-08-08,124.89807891845703
2018-08-09,123.308837890625
2018-08-10,121.06620025634766
2018-08-13,120.3156967163086
2018-08-14,122.42586517333984
2018-08-15,121.18981170654297
2018-08-16,122.47000122070312
2018-08-17,123.14108276367188
2018-08-20,124.65084838867188
2018-08-21,125.26891326904297
2018-08-22,124.45661926269531
2018-08-23,122.71726989746094
2018-08-24,124.7126693725586
2018-08-27,127.31727600097656
2018-08-28,127.1495361328125
2018-08-29,126.97294616699219
2018-08-30,125.4013442993164
2018-08-31,125.33951568603516
2018-09-04,126.36370086669922
2018-09-05,127.070068359375
2018-09-06,126.42552947998047
2018-09-07,125.79866027832031
2018-09-10,126.4078140258789
2018-09-11,126.01937866210938
2018-09-12,124.85392761230469
2018-09-13,126.5844497680664
2018-09-14,130.2044677734375
2018-09-17,127.21133422851562
2018-09-18,128.91539001464844
2018-09-19,131.05203247070312
2018-09-20,131.92613220214844
2018-09-21,132.42941284179688
2018-09-24,131.30810546875
2018-09-25,130.7076873779297
2018-09-26,129.48043823242188
2018-09-27,131.54649353027344
2018-09-28,130.37222290039062
2018-10-01,131.40518188476562
2018-10-02,131.33460998535156
2018-10-03,132.870849609375
2018-10-04,134.17758178710938
2018-10-05,132.21749877929688
2018-10-08,133.3387908935547
2018-10-09,131.57298278808594
2018-10-10,126.73456573486328
2018-10-11,119.52992248535156
2018-10-12,119.88309478759766
2018-10-15,119.84778594970703
2018-10-16,120.96905517578125
2018-10-17,122.16985321044922
2018-10-18,118.31148529052734
2018-10-19,119.95372009277344
2018-10-22,117.57865905761719
2018-10-23,116.81935119628906
2018-10-24,108.23735809326172
2018-10-25,111.4158706665039
2018-10-26,107.71642303466797
2018-10-29,108.67880249023438
2018-10-30,111.77787017822266
2018-10-31,112.34293365478516
2018-11-01,114.62088012695312
2018-11-02,112.42481994628906
2018-11-05,112.7448959350586
2018-11-06,113.40282440185547
2018-11-07,115.19879150390625
2018-11-08,115.40327453613281
2018-11-09,113.5006103515625
2018-11-12,111.18901824951172
2018-11-13,112.4515151977539
2018-11-14,111.02007293701172
2018-11-15,112.61154174804688
2018-11-16,112.49595642089844
2018-11-19,111.98917388916016
2018-11-20,108.65511322021484
2018-11-21,109.92650604248047
2018-11-23,109.89984130859375
2018-11-26,113.77622985839844
2018-11-27,112.18477630615234
2018-11-28,117.66152954101562
2018-11-29,113.42950439453125
2018-11-30,115.35881805419922
2018-12-03,116.43460083007812
2018-12-04,107.96160888671875
2018-12-06,106.09452819824219
2018-12-07,102.9738540649414
2018-12-10,99.98651885986328
2018-12-11,99.23970794677734
2018-12-12,100.20879364013672
2018-12-13,99.72870635986328
2018-12-14,97.96831512451172
2018-12-17,96.60801696777344
2018-12-18,96.37684631347656
2018-12-19,93.77181243896484
2018-12-20,92.8027114868164
2018-12-21,89.18413543701172
2018-12-24,86.75694274902344
2018-12-26,91.3090591430664
2018-12-27,92.53601837158203
2018-12-28,91.70913696289062
2018-12-31,92.79381561279297
2019-01-02,95.98564147949219
2019-01-03,93.44287872314453
2019-01-04,98.44841766357422
2019-01-07,98.90182495117188
2019-01-08,99.52420043945312
2019-01-09,100.55554962158203
2019-01-10,100.85783386230469
2019-01-11,100.85783386230469
2019-01-14,101.39128112792969
2019-01-15,102.40483856201172
2019-01-16,105.14322662353516
2019-01-17,105.43661499023438
2019-01-18,107.67713165283203
2019-01-22,106.05008697509766
2019-01-23,105.63223266601562
2019-01-24,106.49462127685547
2019-01-25,107.68599700927734
2019-01-28,108.2817153930664
2019-01-29,107.91717529296875
2019-01-30,106.85025787353516
2019-01-31,112.5582046508789
2019-02-01,112.81603240966797
2019-02-04,112.99385833740234
2019-02-05,111.73131561279297
2019-02-06,112.63821411132812
2019-02-07,111.33126068115234
2019-02-08,111.6424331665039
2019-02-11,111.98028564453125
2019-02-12,114.54086303710938
2019-02-13,115.40327453613281
2019-02-14,113.845458984375
2019-02-15,116.99686431884766
2019-02-19,118.14286041259766
2019-02-20,118.97550201416016
2019-02-21,117.90113830566406
2019-02-22,120.76608276367188
2019-02-25,118.12499237060547
2019-02-26,117.28337097167969
2019-02-27,118.06226348876953
2019-02-28,117.84742736816406
2019-03-01,118.33981323242188
2019-03-04,116.91632080078125
2019-03-05,116.50447845458984
2019-03-06,114.47215270996094
2019-03-07,111.83106994628906
2019-03-08,111.32969665527344
2019-03-11,111.3386459350586
2019-03-12,111.56245422363281
2019-03-13,111.78628540039062
2019-03-14,111.97428894042969
2019-03-15,115.53756713867188
2019-03-18,116.71038818359375
2019-03-19,115.37638854980469
2019-03-20,115.60916137695312
2019-03-21,115.98518371582031
2019-03-22,111.1327133178711
2019-03-25,110.83726501464844
2019-03-26,112.69052124023438
2019-03-27,112.4398422241211
2019-03-28,113.69325256347656
2019-03-29,114.68701934814453
2019-04-01,118.78749084472656
2019-04-02,121.86729431152344
2019-04-03,122.26121520996094
2019-04-04,122.90580749511719
2019-04-05,123.49673461914062
2019-04-08,124.03388977050781
2019-04-09,122.1806411743164
2019-04-10,124.03388977050781
2019-04-11,125.02763366699219
2019-04-12,127.61505889892578
2019-04-15,126.47806549072266
2019-04-16,128.98484802246094
2019-04-17,128.25070190429688
2019-04-18,128.26864624023438
2019-04-22,128.12538146972656
2019-04-23,129.6832275390625
2019-04-24,128.92218017578125
2019-04-25,129.8712158203125
2019-04-26,131.27676391601562
2019-04-29,132.25267028808594
2019-04-30,131.4021759033203
2019-05-01,131.2499542236328
2019-05-02,131.93931579589844
2019-05-03,133.24612426757812
2019-05-06,132.732421875
2019-05-07,130.01974487304688
2019-05-08,128.90219116210938
2019-05-09,128.7219696044922
2019-05-10,130.28106689453125
2019-05-13,125.61273193359375
2019-05-14,128.4425811767578
2019-05-15,128.19923400878906
2019-05-16,130.6505889892578
